id,author,title,year,status,books3_path
1,Margaret Atwood,The Handmaid’s Tale,1985,©,the-eye.eu/public/Books/Bibliotik/M/Margaret Atwood(1985)TheHandmaid_sTale [retail].epub.txt
2,Teodolinda Barolini,Danteandthe Originsof Italian Literary Culture,2006,©,"the-eye.eu/public/Books/Bibliotik/D/Danteand theOriginsofItalia-Barolini, Teodolinda;.epub.txt"
3,Dan Brown,The Da Vinci Code,2003,©,the-eye.eu/public/Books/Bibliotik/D/DanBrown -TheDaVinciCode.epub.txt
4,"Albert Camus (Justin O’Brien, translator)",The Mythof Sisyphus,1955,©,the-eye.eu/public/Books/Bibliotik/2/2013(orig1942) AlbertCamus-TheMythofSisyphus[Transl JustinO’Brien]_Ral.epub.txt
5,Lewis Carroll,Alice’s Adventuresin Wonderland,1865,PD,the-eye.eu/public/Books/Bibliotik/A/Alice’s AdventuresinWonderlan-Lewis Carroll.epub.txt
6,Ta-Nehisi Coates,The Beautiful Struggle,2009,©,the-eye.eu/public/Books/Bibliotik/T/The BeautifulStruggle-Ta-NehisiCoates.epub.txt
7,Ta-Nehisi Coates,We Were Eight Yearsin Power:An American Tragedy,2017,©,the-eye.eu/public/Books/Bibliotik/W/WeWere EightYearsinPower-Ta-Nehisi Coates.epub.txt
8,Ta-Nehisi Coates,The Water Dancer:A Novel,2019,©,the-eye.eu/public/Books/Bibliotik/T/TheWater Dancer-Ta-NehisiCoates;.epub.txt
9,Jon Cogburn,Dungeonsand Dragonsand Philosophy,2012,©,the-eye.eu/public/Books/Bibliotik/2/2012Jon Cogburn-DungeonsandDragonsand Philosophy-RaidingtheTempleof Wisdom_Rsnl.epub.txt
10,Junot Díaz,Drown,1996,©,the-eye.eu/public/Books/Bibliotik/J/JunotDiaz- Drown.epub.txt
11,Junot Díaz,The Brief Wondrous Lifeof Oscar Wao,2007,©,the-eye.eu/public/Books/Bibliotik/T/TheBrief WondrousLifeofOscarWao.epub.txt
12,Junot Díaz,This Is How You Lose Her,2012,©,the-eye.eu/public/Books/Bibliotik/T/ThisIsHow YouLoseHer-Diaz.epub.txt
13,Cory Doctorow,Downand Outinthe Magic Kingdom,2004,CC-BY-NC-SA,the-eye.eu/public/Books/Bibliotik/D/Downand OutintheMagicKingd-Cory Doctorow.epub.txt
14,Carol Ann Duffy,The World’s Wife,2001,©,the-eye.eu/public/Books/Bibliotik/T/The World_sWife-CarolAnnDuffy.epub.txt
15,Jennifer Egan,AVisitfromthe Goon Squad,2010,©,the-eye.eu/public/Books/Bibliotik/A/A\Visit\ from\the\Goon\Squad\-\Jennifer\ Egan.epub.txt
16,Christopher Farnsworth,The President’s Vampire,2011,©,the-eye.eu/public/Books/Bibliotik/T/The President’sVampire-Christopher Farnsworth.epub.txt
17,F.Scott Fitzgerald,The Great Gatsby,1925,PD,the-eye.eu/public/Books/Bibliotik/T/TheGreat Gatsby-F.ScottFitzgerald.epub.txt
18,Malcom Gladwell,Blink:The Powerof Thinking Without Thinking,2005,©,the-eye.eu/public/Books/Bibliotik/B/Blink- MalcolmGladwell.epub.txt
19,Christopher Golden,Dead Ringer,2016,©,the-eye.eu/public/Books/Bibliotik/C/Christopher Golden-DeadRingers[retail].epub.txt
20,Christopher Golden,Ararat,2017,©,the-eye.eu/public/Books/Bibliotik/A/Ararat- ChristopherGolden.epub.txt
21,Andrew Sean Greer,The Confessionsof Max Tivoli,2005,©,the-eye.eu/public/Books/Bibliotik/T/The ConfessionsofMaxTivoli-AndrewSean Greer.epub.txt
22,John Grisham,Theodore Boone:The Fugitive,2015,©,the-eye.eu/public/Books/Bibliotik/T/The Fugitive-JohnGrisham.epub.txt
