window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.851654166020278e-60,0,,193,100
1,10,810,1.3483515742171498e-65,0,,190,100
2,20,820,9.399025756718113e-68,0,,188,100
3,30,830,2.0170714166955528e-64,0,,189,100
4,40,840,7.051046026864323e-61,0,,187,100
5,50,850,3.0987891639022257e-61,0,,188,100
6,60,860,2.947958363121266e-60,0,,188,100
7,70,870,2.398532436614064e-56,0,,188,100
8,80,880,4.2153152402115096e-64,0,,190,100
9,90,890,3.020882781642343e-67,0,,187,100
10,100,900,8.790167939598842e-67,0,,187,100
11,110,910,8.689887295257752e-73,0,,187,100
12,120,920,1.9107979770749809e-62,0,,185,100
13,130,930,1.4938743234455169e-58,0,,188,100
14,140,940,2.7303237866377987e-62,0,,187,100
15,150,950,1.735275083645584e-63,0,,187,100
16,160,960,8.393856037050444e-61,0,,189,100
17,170,970,1.0206761816438456e-61,0,,188,100
18,180,980,3.2998586200232167e-59,0,,186,100
19,190,990,3.747240619242718e-57,0,,189,100
20,200,1000,1.7175730896335395e-55,0,,189,100
21,210,1010,3.5426787786273766e-56,0,,190,100
22,220,1020,4.799888848200579e-53,0,,190,100
23,230,1030,2.768919435301218e-53,0,,190,100
24,240,1040,8.638533949396823e-58,0,,190,100
25,250,1050,3.6726005330680705e-59,0,,191,100
26,260,1060,3.2511692587672885e-59,0,,191,100
27,270,1070,1.6586985908171852e-63,0,,191,100
28,280,1080,9.899780911020244e-68,0,,193,100
29,290,1090,5.895274455369716e-67,0,,193,100
30,300,1100,5.145354753865065e-63,0,,194,100
31,310,1110,4.677997180776689e-59,0,,192,100
32,320,1120,1.2318176827000734e-59,0,,193,100
33,330,1130,5.701670862215918e-63,0,,191,100
34,340,1140,8.27237491115494e-62,0,,191,100
35,350,1150,3.045858331209373e-64,0,,193,100
36,360,1160,3.799861478790122e-64,0,,193,100
37,370,1170,1.9177854335716025e-63,0,,192,100
38,380,1180,3.7028611254698936e-62,0,,191,100
39,390,1190,2.0670275103601673e-69,0,,190,100
40,400,1200,9.933920989162537e-72,0,,189,100
41,410,1210,4.1117845406986245e-70,0,,188,100
42,420,1220,2.3790182167083307e-71,0,,188,100
43,430,1230,1.6448674396276749e-71,0,,189,100
44,440,1240,8.350479968484344e-66,0,,191,100
45,450,1250,4.0328461364542134e-67,0,,191,100
46,460,1260,7.81322577421624e-65,0,,190,100
