window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.903586753410762e-47,0,,204,100
1,10,810,1.4926680242599624e-45,0,,204,100
2,20,820,3.984940506505497e-51,0,,204,100
3,30,830,5.348495687889846e-50,0,,203,100
4,40,840,1.7592895305404227e-56,0,,201,100
5,50,850,1.8706985695681217e-55,0,,201,100
6,60,860,6.028944634054337e-52,0,,201,100
7,70,870,2.628400787301842e-52,0,,203,100
8,80,880,2.1518688253225673e-52,0,,202,100
9,90,890,1.9580190842278552e-56,0,,202,100
10,100,900,6.369707746069206e-55,0,,202,100
11,110,910,8.441619610628075e-52,0,,201,100
12,120,920,1.281470290186586e-50,0,,202,100
13,130,930,1.296455260776491e-51,0,,203,100
14,140,940,2.745062799967006e-54,0,,201,100
15,150,950,1.7012953405401853e-53,0,,201,100
16,160,960,1.1806246396841765e-48,0,,200,100
17,170,970,2.7096999915642e-50,0,,200,100
18,180,980,5.437449410265716e-50,0,,200,100
19,190,990,1.1156613219690131e-49,0,,201,100
20,200,1000,3.0310860228667884e-47,0,,202,100
21,210,1010,1.952859541254119e-48,0,,201,100
22,220,1020,1.8043464425210587e-47,0,,201,100
23,230,1030,3.368652512998907e-45,0,,201,100
24,240,1040,4.448656818350119e-49,0,,203,100
25,250,1050,2.3095475423296682e-52,0,,202,100
26,260,1060,2.786234382726583e-48,0,,201,100
27,270,1070,5.098316429017912e-50,0,,199,100
28,280,1080,1.0569091673745118e-48,0,,199,100
29,290,1090,1.001412935672044e-44,0,,200,100
30,300,1100,1.9770938757433192e-51,0,,199,100
31,310,1110,1.9282668703598155e-55,0,,199,100
32,320,1120,3.658987929995095e-53,0,,199,100
33,330,1130,1.049997524441655e-53,0,,202,100
34,340,1140,5.908844368007674e-56,0,,198,100
35,350,1150,1.8710009284859834e-56,0,,201,100
36,360,1160,5.825688250766736e-59,0,,200,100
37,370,1170,2.859504143011002e-59,0,,200,100
38,380,1180,1.98745626204911e-52,0,,198,100
39,390,1190,1.0850744762733987e-51,0,,199,100
40,400,1200,4.573545734632927e-50,0,,199,100
41,410,1210,2.233517434571581e-52,0,,199,100
42,420,1220,4.595190557977541e-56,0,,199,100
43,430,1230,3.1316388933632803e-53,0,,199,100
44,440,1240,1.2808202131588157e-52,0,,200,100
45,450,1250,1.8699290952716744e-52,0,,200,100
46,460,1260,2.1968003566449564e-50,0,,200,100
47,470,1270,1.6390877744700252e-54,0,,201,100
48,480,1280,5.569069183004624e-45,0,,201,100
49,490,1290,3.7866271709062405e-46,0,,200,100
50,500,1300,2.0540671302132495e-49,0,,199,100
51,510,1310,1.0911779030685666e-48,0,,199,100
52,520,1320,6.201775617680803e-49,0,,201,100
53,530,1330,1.227183722101752e-46,0,,200,100
54,540,1340,6.848232283793032e-50,0,,202,100
55,550,1350,1.2811423198158116e-47,0,,201,100
