window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.697958404251512e-50,0,,196,100
1,10,810,2.812373550569228e-51,0,,197,100
2,20,820,7.117289373357906e-55,0,,194,100
3,30,830,2.9508249416181335e-56,0,,194,100
4,40,840,6.734501867511713e-56,0,,189,100
5,50,850,2.266121898300501e-59,0,,187,100
6,60,860,1.7875638350155117e-52,0,,185,100
7,70,870,1.359723135319235e-57,0,,185,100
8,80,880,2.9403594237211593e-57,0,,183,100
9,90,890,2.327654293301315e-60,0,,182,100
10,100,900,1.262613588994826e-60,0,,183,100
11,110,910,5.770085706563183e-61,0,,183,100
12,120,920,7.381318975497089e-61,0,,185,100
13,130,930,1.5791170666329613e-57,0,,185,100
14,140,940,4.93163148398152e-56,0,,184,100
15,150,950,1.889430279508701e-58,0,,184,100
16,160,960,4.367795744787926e-58,0,,183,100
17,170,970,2.2704408016508624e-58,0,,185,100
18,180,980,7.651923459064647e-56,0,,185,100
19,190,990,3.1290527966012654e-61,0,,186,100
20,200,1000,1.9090729358481006e-64,0,,187,100
21,210,1010,2.150334884593812e-59,0,,189,100
22,220,1020,1.9794214505188944e-59,0,,189,100
23,230,1030,1.193544016783027e-61,0,,190,100
24,240,1040,5.613176153290532e-60,0,,191,100
25,250,1050,2.928187773917692e-60,0,,192,100
26,260,1060,2.7858556662661048e-64,0,,194,100
27,270,1070,1.7933690607677266e-58,0,,194,100
28,280,1080,1.8873373887209643e-62,0,,193,100
29,290,1090,1.0330036173759884e-60,0,,195,100
30,300,1100,1.1408214455512171e-63,0,,192,100
31,310,1110,1.6938348069789636e-63,0,,189,100
32,320,1120,1.0848687741917975e-60,0,,188,100
33,330,1130,1.4286671661320906e-58,0,,189,100
34,340,1140,1.3026628512182476e-59,0,,191,100
35,350,1150,4.173143285780675e-57,0,,188,100
36,360,1160,2.8839732161691145e-56,0,,188,100
37,370,1170,2.9146411481068176e-53,0,,191,100
38,380,1180,4.140614715165942e-54,0,,190,100
39,390,1190,1.6207290333479167e-52,0,,189,100
40,400,1200,1.0551551830830203e-51,0,,188,100
41,410,1210,7.5792857807756e-53,0,,190,100
42,420,1220,2.0434282439002874e-53,0,,190,100
43,430,1230,2.3219048129863226e-53,0,,191,100
44,440,1240,6.913247064476348e-54,0,,191,100
45,450,1250,1.281668692777635e-55,0,,189,100
46,460,1260,7.35855783539571e-58,0,,189,100
47,470,1270,2.6608038470858315e-56,0,,188,100
48,480,1280,6.2429835957924405e-56,0,,186,100
49,490,1290,1.2583118649595746e-48,0,,186,100
50,500,1300,8.148461282032098e-52,0,,188,100
51,510,1310,1.2133897894456597e-48,0,,189,100
52,520,1320,1.4874533122694888e-50,0,,189,100
53,530,1330,3.3497062613720376e-49,0,,189,100
54,540,1340,7.7016965488328e-55,0,,191,100
55,550,1350,2.0512168038006333e-51,0,,190,100
56,560,1360,2.038674896806638e-53,0,,191,100
57,570,1370,7.0621828149691865e-50,0,,192,100
58,580,1380,6.934823911657166e-51,0,,191,100
59,590,1390,1.1216130719609592e-49,0,,193,100
60,600,1400,2.4177921045926084e-50,0,,192,100
61,610,1410,1.2775222218049018e-51,0,,191,100
62,620,1420,4.396587438057152e-48,0,,191,100
63,630,1430,1.801254367851803e-46,0,,191,100
64,640,1440,4.631252588285461e-45,0,,191,100
65,650,1450,2.2637438805266564e-42,0,,193,100
66,660,1460,3.995969878294588e-45,0,,191,100
67,670,1470,1.2076546001601277e-46,0,,190,100
68,680,1480,1.51666235286341e-42,0,,189,100
69,690,1490,3.4145298007415093e-43,0,,190,100
70,700,1500,1.599894004864499e-43,0,,190,100
71,710,1510,1.4204340622868347e-49,0,,193,100
72,720,1520,7.777568130574264e-47,0,,195,100
73,730,1530,4.0933267109929903e-45,0,,197,100
74,740,1540,3.349112131705783e-49,0,,197,100
75,750,1550,2.12616187567789e-54,0,,199,100
76,760,1560,1.0338506037952709e-48,0,,196,100
77,770,1570,1.0045506299469255e-49,0,,194,100
78,780,1580,3.4019875042463866e-50,0,,195,100
79,790,1590,3.533115742114957e-51,0,,195,100
80,800,1600,2.6874209148452286e-50,0,,195,100
81,810,1610,1.68546684209129e-50,0,,194,100
82,820,1620,7.026650968019581e-50,0,,194,100
83,830,1630,7.175520712333437e-49,0,,194,100
84,840,1640,2.5621500050808025e-50,0,,194,100
85,850,1650,4.624646961695238e-50,0,,193,100
86,860,1660,2.614328892210837e-50,0,,195,100
87,870,1670,2.5884472732080687e-51,0,,192,100
88,880,1680,1.8879681851107726e-50,0,,193,100
89,890,1690,2.046525358148571e-51,0,,191,100
90,900,1700,1.224631851279155e-53,0,,191,100
91,910,1710,8.104190010417905e-53,0,,190,100
92,920,1720,6.964000665317502e-54,0,,190,100
93,930,1730,1.0540155551091796e-55,0,,192,100
94,940,1740,4.583206564169844e-47,0,,194,100
95,950,1750,1.5034929965852336e-47,0,,195,100
96,960,1760,1.0548725253216149e-49,0,,194,100
97,970,1770,1.6401061244683952e-46,0,,193,100
98,980,1780,3.7392831915599457e-44,0,,193,100
99,990,1790,5.704471897536537e-48,0,,191,100
100,1000,1800,7.114815504339687e-56,0,,191,100
101,1010,1810,6.66030024898608e-55,0,,194,100
102,1020,1820,1.9913331962347434e-53,0,,191,100
103,1030,1830,9.859037634262604e-50,0,,192,100
104,1040,1840,3.284926055497633e-53,0,,192,100
105,1050,1850,1.276297808782954e-50,0,,191,100
106,1060,1860,6.710099503456534e-53,0,,188,100
107,1070,1870,9.75133751882022e-55,0,,189,100
108,1080,1880,3.167139789663463e-53,0,,188,100
109,1090,1890,4.8365498207451374e-54,0,,191,100
110,1100,1900,4.7812941024987804e-55,0,,191,100
111,1110,1910,1.7204640874534228e-56,0,,192,100
112,1120,1920,4.780202002883884e-56,0,,192,100
113,1130,1930,1.2055823801547567e-55,0,,193,100
114,1140,1940,9.54663344327314e-54,0,,193,100
115,1150,1950,2.8406364974441357e-49,0,,192,100
116,1160,1960,7.579415888955669e-53,0,,195,100
117,1170,1970,1.7070921508002353e-61,0,,194,100
118,1180,1980,1.5405232869081816e-62,0,,194,100
119,1190,1990,8.422293043236247e-64,0,,196,100
120,1200,2000,1.2859954044178453e-59,0,,195,100
121,1210,2010,7.5610008349789e-60,0,,194,100
122,1220,2020,1.1314604908287386e-64,0,,195,100
123,1230,2030,2.077757692248627e-63,0,,197,100
124,1240,2040,4.0364922762134184e-64,0,,198,100
125,1250,2050,1.8018536326062655e-67,0,,200,100
126,1260,2060,8.454753819647208e-61,0,,199,100
