window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.6431877089885788e-20,0,,182,100
1,10,810,2.867813763984633e-23,0,,184,100
2,20,820,3.180632189761506e-21,0,,185,100
3,30,830,5.793176750819532e-20,0,,182,100
4,40,840,2.024161666188222e-22,0,,180,100
5,50,850,7.6067042795507e-25,0,,178,100
6,60,860,1.842927017553809e-22,0,,177,100
7,70,870,5.471906935761689e-22,0,,174,100
8,80,880,9.57117032739664e-21,0,,172,100
9,90,890,3.426969640280627e-21,0,,171,100
10,100,900,1.358594978997622e-23,0,,167,100
11,110,910,4.70555392949796e-22,0,,165,100
12,120,920,7.197619861878675e-21,0,,164,100
13,130,930,8.095179731344615e-22,0,,162,100
14,140,940,7.710935666338988e-21,0,,158,100
15,150,950,6.08867561961045e-22,0,,157,100
16,160,960,1.4832250768393497e-18,0,,153,100
17,170,970,1.0702974224219605e-25,0,,151,100
18,180,980,6.427051071282176e-23,0,,150,100
19,190,990,8.433022289768039e-21,0,,146,100
20,200,1000,6.936232560733819e-22,0,,144,100
21,210,1010,4.647282748593499e-25,0,,141,100
22,220,1020,2.487850461279607e-25,0,,140,100
23,230,1030,3.613541015024512e-24,0,,137,100
24,240,1040,1.295455985639087e-22,0,,136,100
25,250,1050,3.161385101136569e-23,0,,135,100
26,260,1060,1.0408412694938724e-22,0,,132,100
27,270,1070,2.0220875592391983e-22,0,,129,100
28,280,1080,1.933438710159871e-21,0,,129,100
29,290,1090,9.766545278117019e-24,0,,127,100
30,300,1100,9.269360140661434e-23,0,,124,100
31,310,1110,3.479761368676603e-23,0,,122,100
32,320,1120,6.776901432456994e-26,0,,120,100
33,330,1130,6.699005380640038e-26,0,,120,100
34,340,1140,7.00572041346014e-23,0,,116,100
35,350,1150,3.993071392498842e-26,0,,116,100
36,360,1160,1.5318520944859552e-27,0,,114,100
37,370,1170,3.1451536165014894e-25,0,,109,100
38,380,1180,9.07048554005915e-26,0,,109,100
39,390,1190,1.2728685835923867e-25,0,,106,100
40,400,1200,5.0349121221920776e-26,0,,103,100
41,410,1210,3.444230888652042e-27,0,,103,100
42,420,1220,1.7888281953497151e-25,0,,100,100
