window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.1293227777432895e-47,0,,204,100
1,10,810,4.144064511242275e-46,0,,204,100
2,20,820,8.135284597306417e-52,0,,204,100
3,30,830,1.923378316331556e-47,0,,203,100
4,40,840,7.504451926537869e-54,0,,201,100
5,50,850,1.0429411559055378e-56,0,,201,100
6,60,860,2.548111850243423e-50,0,,201,100
7,70,870,5.376879063287759e-54,0,,203,100
8,80,880,1.0601140460300485e-54,0,,202,100
9,90,890,5.71708933442807e-56,0,,202,100
10,100,900,1.6636495904319281e-57,0,,202,100
11,110,910,5.3701743914523234e-49,0,,201,100
12,120,920,8.218713111322434e-51,0,,202,100
13,130,930,2.3715807729035395e-49,0,,203,100
14,140,940,4.827616916569244e-53,0,,201,100
15,150,950,8.047432354031531e-54,0,,201,100
16,160,960,3.76775666591532e-49,0,,200,100
17,170,970,6.347668749077721e-50,0,,200,100
18,180,980,2.972775509475273e-48,0,,200,100
19,190,990,2.9900682542299e-50,0,,201,100
20,200,1000,1.446951073961045e-46,0,,202,100
21,210,1010,8.62553375665131e-49,0,,201,100
22,220,1020,1.517194625161292e-44,0,,201,100
23,230,1030,3.038676192583599e-48,0,,201,100
24,240,1040,3.8291331739037775e-46,0,,203,100
25,250,1050,1.6522318368064648e-50,0,,202,100
26,260,1060,3.186952841556671e-45,0,,201,100
27,270,1070,2.0949065316654756e-50,0,,199,100
28,280,1080,4.1263357987122964e-47,0,,199,100
29,290,1090,5.654449286265382e-49,0,,200,100
30,300,1100,2.0161885408083205e-51,0,,199,100
31,310,1110,2.4985141042601552e-58,0,,199,100
32,320,1120,8.308050113262712e-52,0,,199,100
33,330,1130,2.10351268699993e-54,0,,202,100
34,340,1140,4.91222685443594e-56,0,,198,100
35,350,1150,2.0530142883929443e-52,0,,201,100
36,360,1160,9.972410711374596e-59,0,,200,100
37,370,1170,3.719744385580233e-58,0,,200,100
38,380,1180,1.1427546699526223e-51,0,,198,100
39,390,1190,5.093762644906512e-50,0,,199,100
40,400,1200,2.4263074229529954e-49,0,,199,100
41,410,1210,2.2857394531315037e-49,0,,199,100
42,420,1220,1.5233131746754984e-53,0,,199,100
43,430,1230,8.129153623905377e-53,0,,199,100
44,440,1240,8.001321229653483e-55,0,,200,100
45,450,1250,1.6245729733268457e-52,0,,200,100
46,460,1260,3.2836076426304155e-51,0,,200,100
47,470,1270,3.386310945678273e-52,0,,201,100
48,480,1280,1.2141428065350202e-47,0,,201,100
49,490,1290,5.511624748244695e-49,0,,200,100
50,500,1300,9.636671004634323e-50,0,,199,100
51,510,1310,2.075239676109383e-49,0,,199,100
52,520,1320,4.142398643591718e-49,0,,201,100
53,530,1330,2.1277951817235024e-48,0,,200,100
54,540,1340,3.8089643225014925e-51,0,,202,100
55,550,1350,4.045016625743493e-47,0,,201,100
56,560,1360,2.081019963606645e-46,0,,199,100
57,570,1370,1.8890447172914305e-43,0,,199,100
58,580,1380,2.3354164707553717e-47,0,,200,100
59,590,1390,5.247258467188716e-46,0,,201,100
60,600,1400,3.758208920669996e-50,0,,200,100
61,610,1410,9.551783663646667e-53,0,,200,100
62,620,1420,3.267125513785549e-54,0,,200,100
63,630,1430,6.048661307928445e-49,0,,197,100
64,640,1440,4.3486467684535845e-49,0,,195,100
65,650,1450,1.9987109709938148e-46,0,,197,100
66,660,1460,4.69836255195407e-44,0,,197,100
67,670,1470,1.504583973780094e-44,0,,197,100
68,680,1480,7.19636767708274e-49,0,,197,100
69,690,1490,1.716276608483332e-49,0,,199,100
70,700,1500,1.5105567789962472e-49,0,,198,100
71,710,1510,4.677924916348784e-50,0,,194,100
72,720,1520,1.1957159573771087e-49,0,,195,100
73,730,1530,5.726711185932521e-48,0,,194,100
74,740,1540,4.101181974183477e-50,0,,194,100
75,750,1550,1.1795653871977457e-54,0,,195,100
76,760,1560,3.580084552728578e-57,0,,197,100
77,770,1570,2.4555638998236113e-45,0,,192,100
78,780,1580,8.292015911866223e-42,0,,193,100
79,790,1590,2.818393946923732e-43,0,,190,100
80,800,1600,1.4994460332569894e-40,0,,189,100
81,810,1610,7.379703400523251e-47,0,,189,100
82,820,1620,2.641090686406648e-42,0,,189,100
83,830,1630,5.596443327519369e-44,0,,191,100
84,840,1640,1.0673967410966321e-45,0,,188,100
85,850,1650,1.8712337428537806e-42,0,,188,100
86,860,1660,6.803989086819352e-45,0,,188,100
87,870,1670,4.780001435190868e-41,0,,187,100
88,880,1680,2.517504944834327e-45,0,,185,100
89,890,1690,5.5512232258104865e-46,0,,187,100
90,900,1700,5.122872435186449e-40,0,,187,100
91,910,1710,7.199190300448553e-43,0,,187,100
92,920,1720,1.3195808888212094e-45,0,,187,100
93,930,1730,1.0679181264702354e-43,0,,188,100
94,940,1740,3.10373170512082e-42,0,,190,100
95,950,1750,3.8141960705287046e-43,0,,189,100
96,960,1760,7.542715918950738e-41,0,,190,100
97,970,1770,7.39764162414078e-40,0,,192,100
98,980,1780,2.2573507108087e-43,0,,191,100
99,990,1790,4.4098589880405565e-49,0,,190,100
100,1000,1800,8.093281265854062e-50,0,,190,100
101,1010,1810,1.19469906844193e-53,0,,190,100
102,1020,1820,4.561309315829857e-56,0,,190,100
103,1030,1830,2.5887351219193765e-48,0,,190,100
104,1040,1840,1.5766954307447543e-50,0,,189,100
105,1050,1850,1.7042390130826934e-46,0,,190,100
106,1060,1860,4.080946793328552e-49,0,,188,100
107,1070,1870,2.0444439335033654e-51,0,,188,100
108,1080,1880,5.039630505892544e-50,0,,190,100
109,1090,1890,2.3634503035104705e-49,0,,188,100
110,1100,1900,6.224843062320016e-51,0,,189,100
111,1110,1910,3.8760150989236026e-53,0,,190,100
112,1120,1920,9.022246995397186e-53,0,,190,100
113,1130,1930,1.1374217521893662e-47,0,,189,100
114,1140,1940,5.680135140339499e-50,0,,191,100
115,1150,1950,1.7113390456701805e-49,0,,192,100
116,1160,1960,1.6144184175152865e-46,0,,192,100
117,1170,1970,1.1987821828851262e-50,0,,193,100
118,1180,1980,1.201983657635992e-47,0,,193,100
119,1190,1990,1.580652995719029e-45,0,,192,100
120,1200,2000,4.1446199493190465e-45,0,,190,100
121,1210,2010,4.0158452384329784e-44,0,,191,100
122,1220,2020,1.396338420155206e-40,0,,190,100
123,1230,2030,2.5464363056985894e-42,0,,190,100
124,1240,2040,6.868468127864791e-39,0,,191,100
