window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.2849331122713565e-45,0,,204,100
1,10,810,2.5060104028927778e-48,0,,204,100
2,20,820,1.2526902868444423e-50,0,,204,100
3,30,830,7.096392213954583e-48,0,,203,100
4,40,840,6.379854778956268e-53,0,,201,100
5,50,850,1.2691008306700334e-53,0,,201,100
6,60,860,1.0530316019632691e-50,0,,201,100
7,70,870,6.597748585438966e-54,0,,203,100
8,80,880,1.8051265714007923e-54,0,,202,100
9,90,890,4.020353654084821e-58,0,,202,100
10,100,900,1.722300314417263e-55,0,,202,100
11,110,910,1.768677788121952e-49,0,,201,100
12,120,920,1.3931072243949003e-48,0,,202,100
13,130,930,3.3272633344079984e-51,0,,203,100
14,140,940,6.144929552529475e-54,0,,201,100
15,150,950,7.415537143116443e-54,0,,201,100
16,160,960,3.192614029124366e-45,0,,200,100
17,170,970,3.923558838732242e-46,0,,200,100
18,180,980,6.275810997708398e-48,0,,200,100
19,190,990,2.28313920799822e-50,0,,201,100
20,200,1000,5.175285155692214e-52,0,,202,100
21,210,1010,1.0467721821038164e-51,0,,201,100
22,220,1020,1.7999820353864384e-44,0,,201,100
23,230,1030,1.2901878366710627e-48,0,,201,100
24,240,1040,1.6676078407649234e-46,0,,203,100
25,250,1050,2.1482098895664262e-51,0,,202,100
26,260,1060,7.38080889513067e-45,0,,201,100
27,270,1070,2.542016116785523e-49,0,,199,100
28,280,1080,1.5711717832596663e-48,0,,199,100
29,290,1090,3.565667584534857e-46,0,,200,100
30,300,1100,1.3636719663097556e-48,0,,199,100
31,310,1110,1.264459814105067e-56,0,,199,100
32,320,1120,4.9337580907155943e-54,0,,199,100
33,330,1130,1.5398165915667837e-51,0,,202,100
34,340,1140,7.055705792176612e-54,0,,198,100
35,350,1150,2.77143552877381e-56,0,,201,100
36,360,1160,3.2357373225591495e-59,0,,200,100
37,370,1170,3.75564094432654e-57,0,,200,100
38,380,1180,4.0669380158673247e-54,0,,198,100
39,390,1190,2.229427231645484e-52,0,,199,100
40,400,1200,7.431421365002908e-49,0,,199,100
41,410,1210,5.382002462090591e-49,0,,199,100
42,420,1220,4.093749106322043e-54,0,,199,100
43,430,1230,2.4251817356278504e-52,0,,199,100
44,440,1240,6.057974902782543e-54,0,,200,100
45,450,1250,1.0021296476984223e-53,0,,200,100
46,460,1260,2.861478474617997e-52,0,,200,100
47,470,1270,1.4748738027655058e-53,0,,201,100
48,480,1280,5.387448592344882e-48,0,,201,100
49,490,1290,6.494634092734503e-49,0,,200,100
50,500,1300,7.046306486205745e-48,0,,199,100
51,510,1310,3.169769050798293e-49,0,,199,100
52,520,1320,5.6557080334041006e-52,0,,201,100
53,530,1330,3.183290747174539e-48,0,,200,100
54,540,1340,9.815081073429461e-51,0,,202,100
55,550,1350,8.424161012154796e-48,0,,201,100
56,560,1360,3.4544211850879925e-48,0,,199,100
57,570,1370,1.859811710798051e-46,0,,199,100
58,580,1380,1.4088043770090018e-48,0,,200,100
59,590,1390,1.69102403936741e-47,0,,201,100
60,600,1400,1.246600352739652e-52,0,,200,100
61,610,1410,6.020590436940362e-52,0,,200,100
62,620,1420,6.550926510144022e-52,0,,200,100
63,630,1430,2.1893861481258638e-48,0,,197,100
64,640,1440,1.1530759308741268e-47,0,,195,100
65,650,1450,6.768807732241894e-43,0,,197,100
66,660,1460,3.427753105140838e-45,0,,197,100
67,670,1470,4.619133423256669e-46,0,,197,100
68,680,1480,2.0109251920338373e-49,0,,197,100
69,690,1490,7.077578770404413e-51,0,,199,100
70,700,1500,1.0049823401739811e-48,0,,198,100
71,710,1510,8.203508974037896e-54,0,,194,100
72,720,1520,2.165701984796857e-48,0,,195,100
73,730,1530,9.070738671543876e-48,0,,194,100
74,740,1540,4.3928925174108875e-51,0,,194,100
75,750,1550,2.481445491464672e-56,0,,195,100
