window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.593376936658637e-48,0,,204,100
1,10,810,2.3630896971268442e-49,0,,204,100
2,20,820,2.5688613451167347e-48,0,,204,100
3,30,830,6.994909456540741e-49,0,,203,100
4,40,840,4.6500847359151955e-54,0,,201,100
5,50,850,2.4362585976957523e-55,0,,201,100
6,60,860,3.704919996021994e-51,0,,201,100
7,70,870,9.830514752607482e-50,0,,203,100
8,80,880,9.28450674253081e-52,0,,202,100
9,90,890,1.5160695367116802e-55,0,,202,100
10,100,900,8.217030723787377e-56,0,,202,100
11,110,910,2.544022898620458e-50,0,,201,100
12,120,920,2.0932747830800874e-52,0,,202,100
13,130,930,1.0306215864717418e-52,0,,203,100
14,140,940,6.484767901098597e-53,0,,201,100
15,150,950,1.457048333901043e-50,0,,201,100
16,160,960,2.0502351611659557e-49,0,,200,100
17,170,970,9.300121897843402e-50,0,,200,100
18,180,980,9.28244921419431e-49,0,,200,100
19,190,990,2.1005232366248048e-47,0,,201,100
20,200,1000,1.8530397219505068e-48,0,,202,100
21,210,1010,1.112932370637797e-49,0,,201,100
22,220,1020,4.260122418413123e-45,0,,201,100
23,230,1030,8.199701399078723e-48,0,,201,100
24,240,1040,6.227417254499808e-50,0,,203,100
25,250,1050,1.3363443284544848e-51,0,,202,100
26,260,1060,2.493277515349078e-43,0,,201,100
27,270,1070,6.591048386618745e-51,0,,199,100
28,280,1080,2.45974508435635e-47,0,,199,100
29,290,1090,4.2257139598351226e-48,0,,200,100
30,300,1100,3.067713140991078e-51,0,,199,100
31,310,1110,2.9364840349845403e-55,0,,199,100
32,320,1120,1.3710676850891154e-49,0,,199,100
33,330,1130,2.9036392947950377e-54,0,,202,100
34,340,1140,2.903695598202738e-59,0,,198,100
35,350,1150,2.9936801154624046e-54,0,,201,100
36,360,1160,2.716344963413423e-57,0,,200,100
37,370,1170,3.0443981729692816e-58,0,,200,100
38,380,1180,2.0616334161087803e-52,0,,198,100
39,390,1190,5.926153697066087e-50,0,,199,100
40,400,1200,4.7540778286506526e-49,0,,199,100
41,410,1210,1.9409902302857615e-51,0,,199,100
42,420,1220,1.613730758140057e-53,0,,199,100
43,430,1230,1.1344419308223596e-52,0,,199,100
44,440,1240,2.172567544719432e-52,0,,200,100
45,450,1250,2.938114724729672e-51,0,,200,100
46,460,1260,1.4468783986477498e-51,0,,200,100
47,470,1270,1.4108483964776153e-55,0,,201,100
48,480,1280,1.263749428812565e-49,0,,201,100
49,490,1290,7.925186429541943e-48,0,,200,100
50,500,1300,4.879339603066039e-50,0,,199,100
51,510,1310,1.4530318752724587e-49,0,,199,100
52,520,1320,9.45303913937596e-50,0,,201,100
53,530,1330,1.2422095154647478e-48,0,,200,100
54,540,1340,5.982906017267348e-50,0,,202,100
55,550,1350,7.955684742277452e-49,0,,201,100
56,560,1360,7.431347663102468e-46,0,,199,100
57,570,1370,1.5842334686880063e-44,0,,199,100
58,580,1380,1.008011753181935e-46,0,,200,100
59,590,1390,1.1453722775574973e-47,0,,201,100
60,600,1400,2.4556268153807206e-49,0,,200,100
61,610,1410,8.98038133183205e-53,0,,200,100
62,620,1420,7.295029955558525e-54,0,,200,100
63,630,1430,1.5604345443460728e-47,0,,197,100
64,640,1440,8.260356397324101e-48,0,,195,100
65,650,1450,4.224628701975484e-43,0,,197,100
66,660,1460,4.756724822109625e-44,0,,197,100
67,670,1470,1.5988224537910096e-44,0,,197,100
68,680,1480,2.4236814810810174e-48,0,,197,100
69,690,1490,1.0885741707133758e-50,0,,199,100
70,700,1500,8.484429020981253e-48,0,,198,100
71,710,1510,2.3065914028815284e-52,0,,194,100
72,720,1520,1.5835565531590433e-48,0,,195,100
73,730,1530,3.9615502073571984e-49,0,,194,100
74,740,1540,9.420725402372228e-51,0,,194,100
75,750,1550,3.831880996256665e-55,0,,195,100
76,760,1560,1.2956443557432393e-53,0,,197,100
77,770,1570,4.627032140941609e-45,0,,192,100
78,780,1580,7.620347099300972e-41,0,,193,100
79,790,1590,1.2368359306060246e-42,0,,190,100
80,800,1600,4.844092523780281e-39,0,,189,100
