window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.897333474329203e-46,0,,208,100
1,10,810,4.653093007124343e-50,0,,203,100
2,20,820,7.286155807719055e-49,0,,202,100
3,30,830,5.968741758086407e-47,0,,201,100
4,40,840,6.119777363664338e-48,0,,201,100
5,50,850,5.41333558159871e-51,0,,198,100
6,60,860,3.5465401051795154e-48,0,,202,100
7,70,870,3.1381823150258276e-48,0,,203,100
8,80,880,6.396041681693632e-51,0,,202,100
9,90,890,2.674015509518598e-53,0,,202,100
10,100,900,5.89437199384218e-53,0,,202,100
11,110,910,4.325479439450092e-55,0,,200,100
12,120,920,3.5926308140699586e-49,0,,197,100
13,130,930,4.7507121868943085e-52,0,,199,100
14,140,940,1.243486367921885e-55,0,,198,100
15,150,950,2.693602778608917e-57,0,,197,100
16,160,960,7.479868579379954e-57,0,,196,100
17,170,970,1.863552081623021e-54,0,,195,100
18,180,980,3.505558183599425e-58,0,,194,100
19,190,990,1.7831631533319445e-55,0,,195,100
20,200,1000,5.954934713602967e-59,0,,193,100
21,210,1010,2.0783852652552052e-58,0,,192,100
22,220,1020,6.797964521261256e-56,0,,192,100
23,230,1030,1.1907331938364152e-56,0,,191,100
24,240,1040,2.177637778589806e-59,0,,192,100
25,250,1050,4.0010343988174813e-56,0,,191,100
26,260,1060,9.072601601939173e-53,0,,192,100
27,270,1070,7.676200590808753e-55,0,,192,100
28,280,1080,3.1452046905940804e-54,0,,193,100
29,290,1090,3.3490239776368866e-52,0,,192,100
30,300,1100,1.100898160470808e-51,0,,196,100
31,310,1110,9.351669427930117e-54,0,,196,100
32,320,1120,8.118640197535464e-53,0,,196,100
33,330,1130,1.7535881568069028e-46,0,,195,100
34,340,1140,3.2472368337215952e-46,0,,194,100
35,350,1150,8.598104443923737e-43,0,,196,100
36,360,1160,1.3786036947102248e-44,0,,195,100
37,370,1170,1.8947762677457366e-38,0,,193,100
38,380,1180,1.3467580227165027e-35,0,,193,100
39,390,1190,1.0103411449339495e-36,0,,196,100
40,400,1200,1.9432849458312222e-38,0,,195,100
41,410,1210,2.9085224190571553e-41,0,,195,100
42,420,1220,1.1782297408526788e-39,0,,196,100
43,430,1230,6.568254003744516e-41,0,,195,100
44,440,1240,3.993044724802268e-41,0,,194,100
45,450,1250,2.487485021360253e-41,0,,195,100
46,460,1260,8.154787250965256e-45,0,,196,100
47,470,1270,9.212616706595573e-44,0,,195,100
48,480,1280,6.549719206044073e-45,0,,195,100
49,490,1290,3.9853319602787187e-51,0,,193,100
50,500,1300,1.243742070849995e-52,0,,194,100
51,510,1310,3.00134014728992e-51,0,,193,100
52,520,1320,1.9174285830181026e-52,0,,192,100
53,530,1330,2.262034118930107e-50,0,,194,100
54,540,1340,1.8551268940955203e-51,0,,195,100
55,550,1350,3.515617451594322e-55,0,,194,100
56,560,1360,4.255327521228591e-56,0,,195,100
57,570,1370,6.524838841502584e-54,0,,197,100
58,580,1380,6.532251646066164e-51,0,,199,100
59,590,1390,2.301384937260105e-53,0,,202,100
60,600,1400,3.4151687505385175e-52,0,,202,100
61,610,1410,3.2090448398782574e-55,0,,203,100
62,620,1420,4.78843033430475e-59,0,,202,100
63,630,1430,3.250905514237892e-61,0,,201,100
64,640,1440,9.617621919124617e-59,0,,198,100
65,650,1450,6.923707486733597e-57,0,,200,100
66,660,1460,9.90820981664581e-56,0,,201,100
67,670,1470,4.811171662042509e-55,0,,201,100
68,680,1480,4.4733375867450046e-54,0,,201,100
69,690,1490,1.1310274489258826e-46,0,,198,100
70,700,1500,8.297813354978437e-46,0,,197,100
71,710,1510,7.989615233540763e-46,0,,195,100
72,720,1520,2.748043063150183e-45,0,,196,100
73,730,1530,1.9537781662712162e-44,0,,195,100
74,740,1540,2.7390724483609824e-46,0,,193,100
75,750,1550,2.1946027906218834e-49,0,,192,100
76,760,1560,6.451179726073485e-46,0,,190,100
77,770,1570,6.769758431568665e-50,0,,189,100
78,780,1580,1.93745999533906e-47,0,,190,100
79,790,1590,2.583233392065926e-44,0,,188,100
80,800,1600,1.0023273087269224e-44,0,,188,100
81,810,1610,3.5128366653781904e-47,0,,188,100
82,820,1620,1.1734296593009142e-42,0,,188,100
83,830,1630,1.1840873676183555e-50,0,,186,100
