window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.612198560554647e-44,0,,208,100
1,10,810,2.1857905724658697e-47,0,,203,100
2,20,820,3.776084142597099e-49,0,,202,100
3,30,830,1.4586639787758505e-48,0,,201,100
4,40,840,2.5105636627006496e-49,0,,201,100
5,50,850,6.759938442575304e-54,0,,198,100
6,60,860,3.993637805422714e-49,0,,202,100
7,70,870,4.247823512133272e-48,0,,203,100
8,80,880,1.5348837476401965e-52,0,,202,100
9,90,890,7.056843961276212e-50,0,,202,100
10,100,900,8.87238450922577e-52,0,,202,100
11,110,910,9.252072027315349e-53,0,,200,100
12,120,920,7.885105012140409e-51,0,,197,100
13,130,930,2.132031946393564e-54,0,,199,100
14,140,940,3.614771245537512e-56,0,,198,100
15,150,950,3.9738372306845844e-58,0,,197,100
16,160,960,6.195431048052058e-57,0,,196,100
17,170,970,1.033979507704676e-56,0,,195,100
18,180,980,1.9432179756114613e-57,0,,194,100
19,190,990,9.813657141971044e-55,0,,195,100
20,200,1000,7.860230151530208e-55,0,,193,100
21,210,1010,3.3382422256549886e-58,0,,192,100
22,220,1020,1.4425401315338933e-58,0,,192,100
23,230,1030,4.899288640416933e-55,0,,191,100
24,240,1040,8.378676815924594e-59,0,,192,100
25,250,1050,7.790742437832711e-57,0,,191,100
26,260,1060,1.876146015003211e-55,0,,192,100
27,270,1070,8.702294001957444e-58,0,,192,100
28,280,1080,6.377734547526017e-54,0,,193,100
29,290,1090,1.317503898907274e-52,0,,192,100
30,300,1100,2.636117330537723e-54,0,,196,100
31,310,1110,1.1901509402730641e-52,0,,196,100
32,320,1120,7.877643860250741e-56,0,,196,100
33,330,1130,3.4680174757617015e-48,0,,195,100
34,340,1140,1.597580260530327e-44,0,,194,100
35,350,1150,7.443445236331575e-43,0,,196,100
36,360,1160,1.2191484188504605e-43,0,,195,100
37,370,1170,3.46853964394674e-37,0,,193,100
38,380,1180,5.333802715146474e-36,0,,193,100
39,390,1190,1.796083183737123e-36,0,,196,100
40,400,1200,6.84987482318874e-36,0,,195,100
41,410,1210,1.650745581624175e-40,0,,195,100
42,420,1220,3.347920148610641e-42,0,,196,100
43,430,1230,7.51955462491382e-35,0,,195,100
44,440,1240,2.0969930723228236e-39,0,,194,100
45,450,1250,1.5772657211921758e-44,0,,195,100
46,460,1260,9.938658401311545e-44,0,,196,100
47,470,1270,5.412226783524102e-45,0,,195,100
48,480,1280,1.253986684563717e-47,0,,195,100
49,490,1290,1.945691838150629e-55,0,,193,100
50,500,1300,4.2873641540957916e-49,0,,194,100
51,510,1310,1.8085151409966786e-53,0,,193,100
52,520,1320,1.346181374842112e-52,0,,192,100
53,530,1330,3.3336412884416262e-49,0,,194,100
54,540,1340,3.9354432842685165e-51,0,,195,100
55,550,1350,4.7397670248808955e-55,0,,194,100
56,560,1360,1.8065851578440037e-56,0,,195,100
57,570,1370,1.0556306536142045e-54,0,,197,100
58,580,1380,3.033143140761786e-50,0,,199,100
59,590,1390,2.688259973854522e-55,0,,202,100
60,600,1400,2.804496400820676e-53,0,,202,100
61,610,1410,2.0624522727493334e-55,0,,203,100
62,620,1420,6.571063348804466e-59,0,,202,100
63,630,1430,6.443801141623518e-61,0,,201,100
64,640,1440,3.141985670765667e-61,0,,198,100
65,650,1450,2.3258338631361553e-57,0,,200,100
66,660,1460,2.0376425104125962e-57,0,,201,100
67,670,1470,8.925885047024339e-54,0,,201,100
68,680,1480,1.0073993882689566e-52,0,,201,100
69,690,1490,7.320946962755648e-49,0,,198,100
70,700,1500,2.042182845705494e-46,0,,197,100
71,710,1510,1.0066956117209064e-46,0,,195,100
72,720,1520,1.900072501013384e-42,0,,196,100
73,730,1530,2.664955628321064e-45,0,,195,100
74,740,1540,4.365721573912807e-45,0,,193,100
75,750,1550,1.5266825193806488e-46,0,,192,100
76,760,1560,5.5266129192179296e-46,0,,190,100
77,770,1570,1.762296572902809e-49,0,,189,100
78,780,1580,2.434373352134576e-47,0,,190,100
79,790,1590,2.6059095853591694e-45,0,,188,100
80,800,1600,1.364443380283284e-48,0,,188,100
81,810,1610,1.219474010069428e-43,0,,188,100
82,820,1620,1.5386952755683276e-47,0,,188,100
83,830,1630,2.63385470034368e-51,0,,186,100
84,840,1640,6.385352088207229e-49,0,,188,100
85,850,1650,9.416194814539177e-48,0,,188,100
86,860,1660,8.501952526149008e-49,0,,186,100
87,870,1670,8.168832166184525e-48,0,,188,100
88,880,1680,4.783274075948175e-51,0,,188,100
89,890,1690,1.2975828502469944e-48,0,,189,100
90,900,1700,3.2937371238680257e-44,0,,188,100
91,910,1710,6.775109244549532e-51,0,,188,100
92,920,1720,5.245292194662053e-46,0,,188,100
93,930,1730,4.1874103366777794e-50,0,,187,100
94,940,1740,7.755603547604791e-46,0,,186,100
95,950,1750,1.9615559814240953e-44,0,,185,100
96,960,1760,1.271665564986124e-40,0,,187,100
97,970,1770,1.3711064776254378e-44,0,,188,100
98,980,1780,1.9859598520409237e-46,0,,186,100
99,990,1790,3.519247678975919e-49,0,,185,100
100,1000,1800,3.544578945976554e-48,0,,183,100
101,1010,1810,1.1450369135946415e-49,0,,184,100
102,1020,1820,3.845898171389143e-48,0,,185,100
103,1030,1830,1.5034655615257083e-51,0,,186,100
104,1040,1840,1.1705802405621867e-52,0,,187,100
105,1050,1850,4.450351905578054e-50,0,,186,100
106,1060,1860,1.2034271049546063e-48,0,,186,100
107,1070,1870,5.081072438946883e-53,0,,184,100
108,1080,1880,1.574795055267719e-53,0,,183,100
109,1090,1890,9.625082941977329e-55,0,,183,100
110,1100,1900,2.1247401475071383e-51,0,,185,100
111,1110,1910,1.337981112980389e-50,0,,184,100
112,1120,1920,2.6397527297917636e-52,0,,180,100
113,1130,1930,4.705887787317767e-55,0,,180,100
114,1140,1940,3.491547437806229e-51,0,,181,100
115,1150,1950,1.2657592980785715e-54,0,,181,100
116,1160,1960,3.505431145790774e-58,0,,183,100
117,1170,1970,1.1387064336670702e-57,0,,183,100
118,1180,1980,1.4505482947101392e-58,0,,183,100
119,1190,1990,5.758344831358045e-55,0,,183,100
120,1200,2000,2.5756076164453105e-59,0,,182,100
121,1210,2010,2.5961513274771232e-58,0,,183,100
122,1220,2020,1.9052884413061266e-56,0,,183,100
123,1230,2030,1.0394058947057738e-53,0,,182,100
124,1240,2040,1.8589884415576534e-54,0,,181,100
125,1250,2050,2.6674479666200315e-54,0,,180,100
126,1260,2060,2.436267119103203e-50,0,,180,100
127,1270,2070,1.2589501958888062e-54,0,,179,100
