window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.785644733753219e-46,0,,208,100
1,10,810,5.678697653905077e-47,0,,203,100
2,20,820,1.60773255122995e-47,0,,202,100
3,30,830,7.514916745280312e-48,0,,201,100
4,40,840,1.8747826409470822e-48,0,,201,100
5,50,850,4.137111771994616e-53,0,,198,100
6,60,860,2.3925064219297404e-48,0,,202,100
7,70,870,2.270938582210026e-47,0,,203,100
8,80,880,3.2197914822229783e-50,0,,202,100
9,90,890,7.642841111686839e-51,0,,202,100
10,100,900,2.403875233199355e-52,0,,202,100
11,110,910,1.3161174864103224e-52,0,,200,100
12,120,920,5.688974245911333e-51,0,,197,100
13,130,930,2.775041756018261e-55,0,,199,100
14,140,940,1.1174371629691579e-57,0,,198,100
15,150,950,8.944221371178427e-58,0,,197,100
16,160,960,3.6285746102010634e-57,0,,196,100
17,170,970,9.07553404746521e-57,0,,195,100
18,180,980,6.019564671457499e-57,0,,194,100
19,190,990,3.967235678357099e-55,0,,195,100
20,200,1000,1.020192585365193e-59,0,,193,100
21,210,1010,1.6431121000835907e-59,0,,192,100
22,220,1020,1.360698022988354e-56,0,,192,100
23,230,1030,6.060020037120618e-56,0,,191,100
24,240,1040,2.5473311030158884e-60,0,,192,100
25,250,1050,2.1058530609720557e-54,0,,191,100
26,260,1060,2.5248559437972664e-50,0,,192,100
27,270,1070,1.8812989103731567e-55,0,,192,100
28,280,1080,6.539889906323228e-54,0,,193,100
29,290,1090,6.213425040390149e-55,0,,192,100
30,300,1100,8.729829814570691e-53,0,,196,100
31,310,1110,4.559994066969253e-53,0,,196,100
32,320,1120,2.282444586256409e-52,0,,196,100
33,330,1130,1.1956909469865973e-47,0,,195,100
34,340,1140,6.4827842702003875e-47,0,,194,100
35,350,1150,2.4843864213854584e-41,0,,196,100
36,360,1160,7.629962985894632e-46,0,,195,100
37,370,1170,7.745182735720959e-42,0,,193,100
38,380,1180,3.2169612009682104e-39,0,,193,100
39,390,1190,1.390931224128464e-37,0,,196,100
40,400,1200,1.4818343138153035e-38,0,,195,100
41,410,1210,1.2698072865748711e-37,0,,195,100
42,420,1220,2.7859775409395514e-38,0,,196,100
43,430,1230,1.2380638893001982e-41,0,,195,100
44,440,1240,2.312019695878108e-43,0,,194,100
45,450,1250,1.009427417940238e-43,0,,195,100
46,460,1260,1.3291324493252737e-42,0,,196,100
47,470,1270,4.650758569639584e-41,0,,195,100
48,480,1280,1.0325397192689912e-45,0,,195,100
49,490,1290,2.4954060534519325e-49,0,,193,100
50,500,1300,2.0827576204907393e-55,0,,194,100
51,510,1310,4.277888195238725e-53,0,,193,100
52,520,1320,1.5597966547840727e-54,0,,192,100
53,530,1330,2.6943562371996007e-49,0,,194,100
54,540,1340,3.360453674046108e-51,0,,195,100
55,550,1350,2.0758162001402175e-56,0,,194,100
56,560,1360,1.876411794809404e-54,0,,195,100
57,570,1370,6.022367172246031e-55,0,,197,100
58,580,1380,3.5291974580062214e-52,0,,199,100
59,590,1390,4.930863363920397e-51,0,,202,100
60,600,1400,6.6234067867689035e-56,0,,202,100
61,610,1410,4.993037091254746e-53,0,,203,100
62,620,1420,7.000149370039004e-58,0,,202,100
63,630,1430,4.5433028739414135e-59,0,,201,100
64,640,1440,2.8122081573603364e-56,0,,198,100
65,650,1450,6.584321490096168e-58,0,,200,100
66,660,1460,2.72145185123074e-56,0,,201,100
67,670,1470,9.275191870060115e-53,0,,201,100
68,680,1480,2.6473650840405115e-53,0,,201,100
69,690,1490,1.8064727161595887e-49,0,,198,100
70,700,1500,5.997711314686504e-47,0,,197,100
71,710,1510,6.616552655314924e-46,0,,195,100
72,720,1520,3.4417993261241213e-43,0,,196,100
73,730,1530,1.175346996355453e-44,0,,195,100
74,740,1540,5.35545897105206e-42,0,,193,100
75,750,1550,3.87563315422858e-48,0,,192,100
76,760,1560,3.6489425017360865e-45,0,,190,100
77,770,1570,2.3534302043221417e-49,0,,189,100
78,780,1580,2.8482051533153885e-45,0,,190,100
79,790,1590,7.062230863554738e-46,0,,188,100
80,800,1600,6.912486721660006e-49,0,,188,100
81,810,1610,5.604384992130494e-46,0,,188,100
82,820,1620,1.2094105430478329e-45,0,,188,100
83,830,1630,8.485411366884653e-51,0,,186,100
84,840,1640,3.3089922705864173e-49,0,,188,100
85,850,1650,3.2825230746964414e-48,0,,188,100
86,860,1660,3.733024534110511e-45,0,,186,100
87,870,1670,2.4868428537152256e-48,0,,188,100
88,880,1680,1.9308682715244324e-50,0,,188,100
89,890,1690,2.041201372055971e-48,0,,189,100
90,900,1700,1.4989259889591804e-47,0,,188,100
91,910,1710,1.1257410268991937e-47,0,,188,100
92,920,1720,8.421052464209128e-48,0,,188,100
93,930,1730,1.9125506014172433e-52,0,,187,100
94,940,1740,4.858237051754996e-44,0,,186,100
