window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.127331978404543e-13,0,,164,100
1,10,810,2.3989613093868796e-12,0,,164,100
2,20,820,7.222469489959055e-15,0,,160,100
3,30,830,1.6273852779468964e-11,0,,154,100
4,40,840,2.4293855362617926e-14,0,,155,100
5,50,850,9.020155029835433e-13,0,,158,100
6,60,860,2.176921053650572e-12,0,,157,100
7,70,870,2.062182643458675e-13,0,,159,100
8,80,880,3.701110744275345e-11,0,,158,100
9,90,890,1.4411077979380053e-11,0,,157,100
10,100,900,4.9546381002190115e-12,0,,155,100
11,110,910,1.1035845082844501e-12,0,,156,100
12,120,920,9.01904597943459e-11,0,,156,100
13,130,930,9.401220480768012e-10,0,,155,100
14,140,940,4.8607249257843847e-08,0,,157,100
15,150,950,3.791924210196412e-07,0,,158,100
16,160,960,3.028774994024989e-07,0,,158,100
17,170,970,1.074036322731942e-06,0,,159,100
18,180,980,6.992550450510117e-08,0,,161,100
19,190,990,9.710409052868732e-08,0,,161,100
20,200,1000,1.988361167441696e-09,0,,162,100
21,210,1010,5.121250292851799e-07,0,,161,100
22,220,1020,0.0011973563449925284,1,,162,100
23,230,1030,8.345970607177474e-07,0,,161,100
24,240,1040,1.1955266782727927e-08,0,,160,100
25,250,1050,6.226826212305192e-06,0,,160,100
26,260,1060,2.720435434956309e-06,0,,158,100
27,270,1070,4.453861003303605e-06,0,,158,100
28,280,1080,1.5359868465544403e-05,0,,159,100
29,290,1090,5.174328575830381e-06,0,,160,100
30,300,1100,1.2075242811028181e-06,0,,159,100
31,310,1110,6.8969329420173475e-06,0,,160,100
32,320,1120,3.674066381303687e-05,0,,160,100
33,330,1130,1.165616969509797e-05,0,,160,100
34,340,1140,1.8439441650757206e-05,0,,159,100
35,350,1150,4.4526269811686243e-08,0,,159,100
36,360,1160,1.212369692363476e-08,0,,158,100
37,370,1170,4.1495844061084555e-08,0,,159,100
38,380,1180,1.0105912750636164e-08,0,,159,100
39,390,1190,1.0960494851915674e-08,0,,159,100
40,400,1200,2.9927474159933225e-09,0,,157,100
41,410,1210,1.5859712149901839e-07,0,,157,100
42,420,1220,1.9008390142624432e-07,0,,156,100
43,430,1230,3.082103997825055e-08,0,,157,100
44,440,1240,1.2143110694212656e-08,0,,157,100
45,450,1250,2.3673563374655152e-07,0,,159,100
46,460,1260,2.6134306357959997e-08,0,,158,100
47,470,1270,4.014517785962178e-08,0,,158,100
48,480,1280,6.665126056865564e-07,0,,157,100
49,490,1290,2.3608695933018755e-07,0,,156,100
50,500,1300,1.2573003949304517e-06,0,,156,100
51,510,1310,1.2836501270779488e-08,0,,153,100
52,520,1320,3.303824980488218e-11,0,,156,100
53,530,1330,1.6158296015672818e-11,0,,155,100
54,540,1340,3.2585240019922025e-10,0,,154,100
55,550,1350,4.1817761427057185e-11,0,,152,100
56,560,1360,3.3996388629687384e-10,0,,151,100
57,570,1370,3.3629964243687545e-10,0,,153,100
58,580,1380,3.63531856741276e-11,0,,152,100
59,590,1390,2.441079280793591e-09,0,,154,100
60,600,1400,9.008106265992506e-08,0,,153,100
61,610,1410,7.23129039683968e-08,0,,154,100
62,620,1420,1.3062399838949488e-08,0,,153,100
63,630,1430,4.0639427609849635e-07,0,,153,100
64,640,1440,5.542393275386051e-08,0,,153,100
65,650,1450,2.3041788021762487e-10,0,,153,100
66,660,1460,8.491957267848204e-11,0,,153,100
67,670,1470,5.383574353543619e-13,0,,153,100
68,680,1480,3.1614110863838706e-12,0,,154,100
69,690,1490,5.454463981278625e-12,0,,154,100
70,700,1500,1.3083796916287793e-16,0,,152,100
71,710,1510,4.736761179737179e-16,0,,155,100
72,720,1520,1.0533989270068183e-14,0,,155,100
73,730,1530,4.3756020040264326e-17,0,,155,100
74,740,1540,1.8898388601845345e-14,0,,154,100
75,750,1550,1.1638249715823367e-14,0,,156,100
76,760,1560,8.780432003182405e-16,0,,156,100
77,770,1570,6.803657334419736e-19,0,,156,100
78,780,1580,1.5606704420921187e-17,0,,156,100
79,790,1590,1.340013456378611e-19,0,,157,100
80,800,1600,1.6657329747237499e-18,0,,155,100
81,810,1610,6.033434518664221e-19,0,,157,100
82,820,1620,1.5433273843342903e-20,0,,159,100
83,830,1630,6.711850393221569e-21,0,,158,100
84,840,1640,1.7685645636611072e-23,0,,159,100
85,850,1650,1.8852566602554171e-22,0,,161,100
86,860,1660,4.445450189976034e-22,0,,160,100
87,870,1670,8.730092676153624e-21,0,,160,100
88,880,1680,9.785570148801867e-21,0,,162,100
89,890,1690,1.783918598610271e-21,0,,163,100
90,900,1700,3.7449208737893877e-22,0,,163,100
91,910,1710,4.425261126623998e-21,0,,163,100
92,920,1720,4.278957647736066e-20,0,,161,100
93,930,1730,5.380293581912802e-19,0,,159,100
94,940,1740,1.2084697161116859e-16,0,,160,100
95,950,1750,2.0320834318401678e-16,0,,160,100
96,960,1760,9.246701628204955e-18,0,,159,100
97,970,1770,5.74879908264276e-16,0,,158,100
98,980,1780,1.561722753034201e-16,0,,159,100
99,990,1790,2.1167121298798255e-18,0,,159,100
100,1000,1800,3.9651166573216195e-17,0,,160,100
101,1010,1810,5.620570540470068e-18,0,,161,100
102,1020,1820,5.683108081895119e-15,0,,161,100
103,1030,1830,5.864342171625183e-17,0,,159,100
104,1040,1840,8.988956124446875e-16,0,,160,100
105,1050,1850,2.0096835456256878e-16,0,,162,100
106,1060,1860,4.889249037582617e-16,0,,161,100
