window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.494672730083462e-11,0,,164,100
1,10,810,2.2299622157099176e-12,0,,164,100
2,20,820,7.264905943182327e-15,0,,160,100
3,30,830,1.0562544133126476e-12,0,,154,100
4,40,840,1.6407571494502587e-12,0,,155,100
5,50,850,2.3854276619573523e-12,0,,158,100
6,60,860,3.979745256153558e-12,0,,157,100
7,70,870,8.583362444690578e-10,0,,159,100
8,80,880,7.116298060801749e-12,0,,158,100
9,90,890,7.995259829076297e-11,0,,157,100
10,100,900,1.2371111350722943e-11,0,,155,100
11,110,910,2.7893454567538844e-13,0,,156,100
12,120,920,4.510345404776944e-12,0,,156,100
13,130,930,1.42669772351686e-07,0,,155,100
14,140,940,4.9674094218374724e-08,0,,157,100
15,150,950,2.819545531399137e-10,0,,158,100
16,160,960,4.037681827616275e-09,0,,158,100
17,170,970,2.6624987895823727e-08,0,,159,100
18,180,980,2.2749176677375964e-08,0,,161,100
19,190,990,2.583367565125991e-06,0,,161,100
20,200,1000,5.2390192649003734e-09,0,,162,100
21,210,1010,5.936539539795433e-07,0,,161,100
22,220,1020,6.411232674792368e-05,0,,162,100
23,230,1030,2.316932602157559e-08,0,,161,100
24,240,1040,4.550082657571103e-10,0,,160,100
25,250,1050,1.8106076062331462e-08,0,,160,100
26,260,1060,7.965678812051206e-05,0,,158,100
27,270,1070,2.476788297855074e-06,0,,158,100
28,280,1080,2.6695897764486844e-06,0,,159,100
29,290,1090,3.187415507967194e-05,0,,160,100
30,300,1100,6.185756484582866e-07,0,,159,100
31,310,1110,5.64393327101808e-06,0,,160,100
32,320,1120,3.6379025973523806e-05,0,,160,100
33,330,1130,4.065530775647499e-06,0,,160,100
34,340,1140,9.490690675379305e-07,0,,159,100
35,350,1150,4.1849726935104614e-08,0,,159,100
36,360,1160,2.6087298292510775e-09,0,,158,100
37,370,1170,1.63915974737346e-08,0,,159,100
38,380,1180,7.055251668876377e-09,0,,159,100
39,390,1190,4.049160132921066e-08,0,,159,100
40,400,1200,1.691850634336246e-08,0,,157,100
41,410,1210,4.204118898072661e-07,0,,157,100
42,420,1220,1.524779348748629e-08,0,,156,100
43,430,1230,2.182493627443884e-08,0,,157,100
44,440,1240,1.0210354530519623e-08,0,,157,100
45,450,1250,5.38759724646671e-09,0,,159,100
46,460,1260,3.4220494033961346e-08,0,,158,100
47,470,1270,1.5649635304649418e-07,0,,158,100
48,480,1280,4.88695632588247e-07,0,,157,100
49,490,1290,1.5984687351611454e-07,0,,156,100
50,500,1300,7.388323144513002e-08,0,,156,100
51,510,1310,3.836313473259988e-11,0,,153,100
52,520,1320,2.3002174134921413e-11,0,,156,100
53,530,1330,3.118647211481369e-11,0,,155,100
54,540,1340,9.635500465213259e-09,0,,154,100
55,550,1350,5.027271446934e-10,0,,152,100
56,560,1360,1.8388372317908364e-09,0,,151,100
57,570,1370,4.3419109676933746e-10,0,,153,100
58,580,1380,1.0334888447199466e-10,0,,152,100
59,590,1390,1.0821186060700283e-09,0,,154,100
60,600,1400,4.8134781789094425e-08,0,,153,100
61,610,1410,1.3644861586196115e-07,0,,154,100
62,620,1420,3.660871893864753e-08,0,,153,100
63,630,1430,1.5760785394008723e-08,0,,153,100
64,640,1440,1.4630411648514223e-07,0,,153,100
65,650,1450,8.618608705615834e-10,0,,153,100
66,660,1460,2.05645837402877e-12,0,,153,100
67,670,1470,6.869255004200363e-13,0,,153,100
68,680,1480,2.644005146818378e-13,0,,154,100
69,690,1490,1.2922176833767333e-13,0,,154,100
70,700,1500,1.2029561591912152e-16,0,,152,100
71,710,1510,3.961586500953114e-16,0,,155,100
72,720,1520,2.4830644024798846e-15,0,,155,100
73,730,1530,3.272884609378953e-17,0,,155,100
74,740,1540,2.099814498487569e-13,0,,154,100
75,750,1550,5.240327290867538e-16,0,,156,100
76,760,1560,3.03140566941307e-15,0,,156,100
77,770,1570,2.9201950335029494e-18,0,,156,100
78,780,1580,1.1713587906050702e-17,0,,156,100
79,790,1590,4.676525744153066e-18,0,,157,100
