window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.799107158610715e-13,0,,164,100
1,10,810,1.1279708501157132e-12,0,,164,100
2,20,820,6.910620859367229e-14,0,,160,100
3,30,830,3.186268429052836e-14,0,,154,100
4,40,840,5.605378437903352e-13,0,,155,100
5,50,850,8.944394749783192e-11,0,,158,100
6,60,860,1.490360349364924e-11,0,,157,100
7,70,870,3.5738625461835634e-11,0,,159,100
8,80,880,4.567205241109149e-11,0,,158,100
9,90,890,4.5839829673621265e-10,0,,157,100
10,100,900,9.084363666280289e-11,0,,155,100
11,110,910,1.1580772255515437e-11,0,,156,100
12,120,920,2.4776140293967012e-09,0,,156,100
13,130,930,1.1212279336328147e-06,0,,155,100
14,140,940,2.5995708043363908e-09,0,,157,100
15,150,950,5.3257847860696714e-08,0,,158,100
16,160,960,5.8281233705285275e-08,0,,158,100
17,170,970,2.3487041034553308e-07,0,,159,100
18,180,980,1.5405871018913803e-08,0,,161,100
19,190,990,6.82875506146018e-08,0,,161,100
20,200,1000,1.2425038990695961e-08,0,,162,100
21,210,1010,8.703733710938645e-06,0,,161,100
22,220,1020,1.7692107280622456e-06,0,,162,100
23,230,1030,2.6643830341951114e-08,0,,161,100
24,240,1040,1.0061570975968344e-07,0,,160,100
25,250,1050,1.630349778429188e-07,0,,160,100
26,260,1060,3.2263858970568904e-07,0,,158,100
27,270,1070,3.828546077130421e-06,0,,158,100
28,280,1080,1.2219714042361741e-05,0,,159,100
29,290,1090,8.099537064522777e-05,0,,160,100
30,300,1100,1.3567771842428142e-06,0,,159,100
31,310,1110,4.335449489732681e-06,0,,160,100
32,320,1120,5.993558700384293e-06,0,,160,100
33,330,1130,2.9710889623882246e-05,0,,160,100
34,340,1140,6.8764738373662266e-06,0,,159,100
35,350,1150,1.1725640129474415e-07,0,,159,100
36,360,1160,1.9591334573739915e-08,0,,158,100
37,370,1170,4.458208596070278e-08,0,,159,100
38,380,1180,2.5542914832658882e-08,0,,159,100
39,390,1190,1.4835084809112583e-08,0,,159,100
