window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4547326214977612,1,,153,100
1,10,810,0.02920159322989625,1,,153,100
2,20,820,0.07654681976254049,1,,153,100
3,30,830,0.07306271887769103,1,,152,100
4,40,840,0.014440726335687581,1,,153,100
5,50,850,0.023073469056678036,1,,151,100
6,60,860,0.005187747957698155,1,,151,100
7,70,870,0.03411422062594073,1,,152,100
8,80,880,0.04330769112703333,1,,151,100
9,90,890,0.02435604276393189,1,,152,100
10,100,900,0.01588935959355652,1,,153,100
11,110,910,0.0067590488895940696,1,,153,100
12,120,920,0.00289999033164438,1,,154,100
13,130,930,0.018857967857509053,1,,154,100
14,140,940,0.004968395929511979,1,,155,100
15,150,950,0.00613050046586919,1,,155,100
16,160,960,0.0003670555910392113,0,,154,100
17,170,970,0.1180858766098579,1,,155,100
18,180,980,0.003945917056344884,1,,155,100
19,190,990,0.029124103785316838,1,,157,100
20,200,1000,0.1651908184534576,1,,157,100
21,210,1010,0.2831466070716782,1,,157,100
22,220,1020,0.16358769217804522,1,,160,100
23,230,1030,0.11791730523312603,1,,157,100
24,240,1040,0.4321721025688751,1,,153,100
25,250,1050,0.07846347670267566,1,,151,100
26,260,1060,0.10156613157370631,1,,148,100
27,270,1070,0.12692900286172665,1,,145,100
28,280,1080,0.03895024551065201,1,,145,100
29,290,1090,0.03343518533587806,1,,144,100
30,300,1100,0.060373983441642645,1,,140,100
31,310,1110,0.025316945294288837,1,,138,100
32,320,1120,0.033097076493680454,1,,135,100
33,330,1130,0.1494084792855378,1,,133,100
34,340,1140,0.059872708868387935,1,,132,100
35,350,1150,0.01900025903815749,1,,130,100
36,360,1160,0.4059537992203494,1,,127,100
37,370,1170,0.0839433714591459,1,,126,100
38,380,1180,0.1464133272593572,1,,125,100
39,390,1190,0.4469260604307,1,,122,100
40,400,1200,0.14440309189269476,1,,119,100
41,410,1210,0.12198763838365667,1,,117,100
42,420,1220,0.544515900816725,1,,116,100
43,430,1230,0.21701186724331745,1,,115,100
44,440,1240,0.3141849437066386,1,,111,100
45,450,1250,0.07108595634206825,1,,109,100
46,460,1260,0.06609462568935516,1,,108,100
47,470,1270,0.6233086853251039,1,,105,100
48,480,1280,0.15049433152425531,1,,105,100
49,490,1290,0.14931195130672845,1,,103,100
50,500,1300,0.766540354304023,1,,101,100
