window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.28465861567253836,1,,153,100
1,10,810,0.015152619749293344,1,,153,100
2,20,820,0.031602836211004494,1,,153,100
3,30,830,0.024813726443697677,1,,152,100
4,40,840,0.018597677971998128,1,,153,100
5,50,850,0.021631527718213483,1,,151,100
6,60,860,0.021859943307507144,1,,151,100
7,70,870,0.007029779980604946,1,,152,100
8,80,880,0.06758141473749527,1,,151,100
9,90,890,0.0661703023056776,1,,152,100
10,100,900,0.06780552218867028,1,,153,100
11,110,910,0.03908411302349587,1,,153,100
12,120,920,0.0017978243601339636,1,,154,100
13,130,930,0.05146273317225785,1,,154,100
14,140,940,0.02661379732801731,1,,155,100
15,150,950,0.009191918595929476,1,,155,100
16,160,960,0.0005292181266010463,0,,154,100
17,170,970,0.005011714957207658,1,,155,100
18,180,980,0.006360496032930843,1,,155,100
19,190,990,0.003310785179894244,1,,157,100
20,200,1000,0.07148652949646714,1,,157,100
21,210,1010,0.468262090908495,1,,157,100
22,220,1020,0.10941977109348139,1,,160,100
23,230,1030,0.25564571822500176,1,,157,100
24,240,1040,0.17606866960276804,1,,153,100
25,250,1050,0.12546526937555902,1,,151,100
26,260,1060,0.07098668665153808,1,,148,100
27,270,1070,0.12733264540037564,1,,145,100
28,280,1080,0.02955158034726855,1,,145,100
29,290,1090,0.004738012496183853,1,,144,100
30,300,1100,0.012161700464570446,1,,140,100
31,310,1110,0.007491144251357787,1,,138,100
32,320,1120,0.013494585188784533,1,,135,100
33,330,1130,0.15519550028118628,1,,133,100
34,340,1140,0.0677647736467944,1,,132,100
35,350,1150,0.06407897019398068,1,,130,100
36,360,1160,0.4922345516024813,1,,127,100
37,370,1170,0.07332337105749484,1,,126,100
38,380,1180,0.13666362587780712,1,,125,100
39,390,1190,0.27711038096823487,1,,122,100
40,400,1200,0.1863947360420165,1,,119,100
41,410,1210,0.19714635425473748,1,,117,100
42,420,1220,0.12234404414208404,1,,116,100
43,430,1230,0.1967540559364046,1,,115,100
44,440,1240,0.6255398381933897,1,,111,100
45,450,1250,0.0556622319499402,1,,109,100
46,460,1260,0.06695225434536904,1,,108,100
47,470,1270,0.12138581838153796,1,,105,100
48,480,1280,0.5013498392812631,1,,105,100
49,490,1290,0.31563223054684725,1,,103,100
50,500,1300,0.27899436962030305,1,,101,100
