window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.24709552424370682,1,,153,100
1,10,810,0.0085010957349133,1,,153,100
2,20,820,0.011557305785525348,1,,153,100
3,30,830,0.07207281865603234,1,,152,100
4,40,840,0.02802483896104406,1,,153,100
5,50,850,0.12493885987755088,1,,151,100
6,60,860,0.03461576295603494,1,,151,100
7,70,870,0.004892538395592561,1,,152,100
8,80,880,0.04035131597437715,1,,151,100
9,90,890,0.08395164532602192,1,,152,100
10,100,900,0.0012309188873332487,1,,153,100
11,110,910,0.019731502586791547,1,,153,100
12,120,920,0.0040048920492288965,1,,154,100
13,130,930,0.046275163561141475,1,,154,100
14,140,940,0.003269813630022346,1,,155,100
15,150,950,0.046011124047100935,1,,155,100
16,160,960,0.01644495494479858,1,,154,100
17,170,970,0.001399092354578327,1,,155,100
18,180,980,0.0025224441591500182,1,,155,100
19,190,990,0.08356608597678382,1,,157,100
20,200,1000,0.021646855818484783,1,,157,100
21,210,1010,0.1463733059533814,1,,157,100
22,220,1020,0.15512542603231472,1,,160,100
23,230,1030,0.1251966472679017,1,,157,100
24,240,1040,0.11972967237172794,1,,153,100
25,250,1050,0.14771961021333818,1,,151,100
26,260,1060,0.3456023685721711,1,,148,100
27,270,1070,0.28007655010746857,1,,145,100
28,280,1080,0.10516881077548534,1,,145,100
29,290,1090,0.014507391916504601,1,,144,100
30,300,1100,0.0023626051030557755,1,,140,100
31,310,1110,0.00653612212915264,1,,138,100
32,320,1120,0.03833183469864429,1,,135,100
33,330,1130,0.046830158941047965,1,,133,100
34,340,1140,0.021067601466410422,1,,132,100
35,350,1150,0.19105057235631592,1,,130,100
36,360,1160,0.16399965231490918,1,,127,100
37,370,1170,0.049516431530504,1,,126,100
38,380,1180,0.06697922364137668,1,,125,100
39,390,1190,0.10908865494398894,1,,122,100
40,400,1200,0.17269535402542072,1,,119,100
41,410,1210,0.10003022241352501,1,,117,100
42,420,1220,0.09964531539734552,1,,116,100
43,430,1230,0.1825413430708939,1,,115,100
44,440,1240,0.18675234109437353,1,,111,100
45,450,1250,0.20995106224497972,1,,109,100
46,460,1260,0.07237185858705271,1,,108,100
47,470,1270,0.22798072503095784,1,,105,100
48,480,1280,0.3065132359186208,1,,105,100
49,490,1290,0.2040361496291119,1,,103,100
50,500,1300,0.35976581944682084,1,,101,100
