window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.978151600291084e-19,0,,182,100
1,10,810,4.296907015651926e-24,0,,184,100
2,20,820,1.4266796065913905e-22,0,,185,100
3,30,830,4.917613612401872e-19,0,,182,100
4,40,840,9.90188691473231e-22,0,,180,100
5,50,850,2.7828695425279615e-21,0,,178,100
6,60,860,5.938393254403047e-22,0,,177,100
7,70,870,6.158949633743394e-19,0,,174,100
8,80,880,4.8513306786259866e-20,0,,172,100
9,90,890,2.5861908785993835e-20,0,,171,100
10,100,900,6.255460505589522e-25,0,,167,100
11,110,910,3.0656497440353374e-22,0,,165,100
12,120,920,1.4552797317388596e-22,0,,164,100
13,130,930,1.0493244016211121e-21,0,,162,100
14,140,940,1.9310129009014674e-19,0,,158,100
15,150,950,1.3948779680691353e-19,0,,157,100
16,160,960,1.9793890596156553e-19,0,,153,100
17,170,970,4.8197894794977915e-24,0,,151,100
18,180,980,1.6380781911399625e-26,0,,150,100
19,190,990,5.6345721579219725e-21,0,,146,100
20,200,1000,6.877730153889951e-23,0,,144,100
21,210,1010,3.649957744851344e-24,0,,141,100
22,220,1020,1.6518487861974547e-24,0,,140,100
23,230,1030,8.282165410381227e-24,0,,137,100
24,240,1040,1.6365402581011906e-24,0,,136,100
25,250,1050,5.129660859653759e-23,0,,135,100
26,260,1060,6.018383005940535e-23,0,,132,100
27,270,1070,9.704095414187252e-21,0,,129,100
28,280,1080,4.3380054177547274e-21,0,,129,100
29,290,1090,2.895625555013341e-23,0,,127,100
30,300,1100,1.6575676965842763e-23,0,,124,100
31,310,1110,5.520590537080323e-24,0,,122,100
32,320,1120,1.8119679697058372e-22,0,,120,100
33,330,1130,1.3744517087145323e-23,0,,120,100
34,340,1140,1.6576032115074384e-24,0,,116,100
35,350,1150,4.838141574503138e-23,0,,116,100
36,360,1160,8.599478592658815e-26,0,,114,100
37,370,1170,8.259661651239099e-24,0,,109,100
38,380,1180,6.700008691061276e-25,0,,109,100
39,390,1190,2.166695184896021e-25,0,,106,100
40,400,1200,2.8985346725527236e-25,0,,103,100
41,410,1210,6.179934974487746e-27,0,,103,100
42,420,1220,1.0816643999629796e-23,0,,100,100
