window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.721505940422566e-19,0,,182,100
1,10,810,3.9291934294095835e-23,0,,184,100
2,20,820,3.610755999143208e-23,0,,185,100
3,30,830,3.9610098815746165e-20,0,,182,100
4,40,840,5.523384420823623e-23,0,,180,100
5,50,850,2.1784462867884874e-22,0,,178,100
6,60,860,5.419810402650024e-23,0,,177,100
7,70,870,1.1666690322950175e-20,0,,174,100
8,80,880,2.82905051476822e-20,0,,172,100
9,90,890,9.041468820731758e-20,0,,171,100
10,100,900,8.386808513634485e-24,0,,167,100
11,110,910,6.981496137540407e-24,0,,165,100
12,120,920,1.185348194127256e-22,0,,164,100
13,130,930,8.983144387088013e-21,0,,162,100
14,140,940,5.65740518187902e-19,0,,158,100
15,150,950,5.040748091593542e-20,0,,157,100
16,160,960,2.5505250942622162e-17,0,,153,100
17,170,970,2.2078327611186887e-26,0,,151,100
18,180,980,6.07669927067395e-24,0,,150,100
19,190,990,1.7602438473104212e-22,0,,146,100
20,200,1000,4.317863409043816e-22,0,,144,100
21,210,1010,9.856765401662967e-26,0,,141,100
22,220,1020,8.079722520225189e-25,0,,140,100
23,230,1030,2.591270030915124e-25,0,,137,100
24,240,1040,2.791362822056976e-25,0,,136,100
25,250,1050,2.8183660932004118e-24,0,,135,100
26,260,1060,7.54611290444838e-22,0,,132,100
27,270,1070,8.06620363508935e-23,0,,129,100
28,280,1080,2.213491588441978e-22,0,,129,100
29,290,1090,2.3608752154631115e-22,0,,127,100
30,300,1100,1.8393863192376028e-22,0,,124,100
31,310,1110,4.646132788400083e-25,0,,122,100
32,320,1120,2.912445906581098e-25,0,,120,100
33,330,1130,6.274550096145322e-24,0,,120,100
34,340,1140,3.825892785551952e-23,0,,116,100
35,350,1150,3.7605927682553967e-23,0,,116,100
36,360,1160,9.324720864093244e-25,0,,114,100
37,370,1170,1.9610484123426491e-25,0,,109,100
38,380,1180,1.5540948646269325e-26,0,,109,100
39,390,1190,8.233417003264706e-27,0,,106,100
40,400,1200,8.557779006842448e-26,0,,103,100
41,410,1210,9.317039801678945e-28,0,,103,100
42,420,1220,9.429996419610285e-24,0,,100,100
