window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.575886102671311e-20,0,,182,100
1,10,810,1.1100294870325453e-22,0,,184,100
2,20,820,1.0246092453820766e-22,0,,185,100
3,30,830,1.410095401719512e-19,0,,182,100
4,40,840,1.25013744383398e-22,0,,180,100
5,50,850,2.2621276842961813e-24,0,,178,100
6,60,860,2.0384532778117388e-23,0,,177,100
7,70,870,6.333860207395949e-21,0,,174,100
8,80,880,3.4920837078000465e-20,0,,172,100
9,90,890,2.4178566809820065e-20,0,,171,100
10,100,900,4.5868610811830364e-24,0,,167,100
11,110,910,3.605780266423053e-22,0,,165,100
12,120,920,3.9989405426854815e-23,0,,164,100
13,130,930,1.5293096826184024e-20,0,,162,100
14,140,940,4.1948847289682854e-20,0,,158,100
15,150,950,6.530068976015478e-19,0,,157,100
16,160,960,8.118915886502494e-20,0,,153,100
17,170,970,3.9442425845695316e-24,0,,151,100
18,180,980,9.368494973772193e-27,0,,150,100
19,190,990,3.6004780774380376e-23,0,,146,100
20,200,1000,1.953687311018968e-22,0,,144,100
21,210,1010,1.1203946908835619e-24,0,,141,100
22,220,1020,9.362180715580126e-26,0,,140,100
23,230,1030,1.529695348098624e-23,0,,137,100
24,240,1040,8.797169726658084e-25,0,,136,100
25,250,1050,5.318896304929828e-23,0,,135,100
26,260,1060,2.0175232790864435e-23,0,,132,100
27,270,1070,1.5591081352852544e-23,0,,129,100
28,280,1080,5.9408971475766394e-21,0,,129,100
29,290,1090,1.1984792288793392e-21,0,,127,100
30,300,1100,3.180598722075961e-22,0,,124,100
31,310,1110,2.815004493900947e-22,0,,122,100
32,320,1120,2.2099752890237864e-24,0,,120,100
33,330,1130,1.7044702605173754e-23,0,,120,100
34,340,1140,7.88853433635194e-23,0,,116,100
35,350,1150,1.78936144435889e-24,0,,116,100
36,360,1160,5.920591185007814e-26,0,,114,100
37,370,1170,1.0217598900478774e-24,0,,109,100
38,380,1180,1.1666793784241539e-26,0,,109,100
39,390,1190,1.3309558619020048e-26,0,,106,100
40,400,1200,1.0303713814618587e-25,0,,103,100
41,410,1210,2.0831856512233105e-26,0,,103,100
42,420,1220,2.3113409842389197e-24,0,,100,100
