window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.00013136905262640898,0,,204,100
1,10,810,3.0895039930125723e-06,0,,204,100
2,20,820,5.3157852544244216e-08,0,,204,100
3,30,830,8.677780879537103e-09,0,,203,100
4,40,840,2.5946094982764667e-11,0,,201,100
5,50,850,8.592166619174109e-10,0,,201,100
6,60,860,1.626111044617819e-14,0,,201,100
7,70,870,9.146313756209837e-10,0,,203,100
8,80,880,5.058683183027784e-13,0,,202,100
9,90,890,1.6212229047677827e-08,0,,202,100
10,100,900,2.79787860206236e-16,0,,202,100
11,110,910,2.3125502732234879e-10,0,,201,100
12,120,920,1.6586783589142312e-12,0,,202,100
13,130,930,9.640143775040296e-11,0,,203,100
14,140,940,2.172439935079017e-10,0,,201,100
15,150,950,1.9555681087850496e-08,0,,201,100
16,160,960,1.1365650024464047e-06,0,,200,100
17,170,970,4.5536814829435366e-11,0,,200,100
18,180,980,4.508755242294825e-12,0,,200,100
19,190,990,7.123156315552984e-10,0,,201,100
20,200,1000,2.15100682437863e-11,0,,202,100
21,210,1010,1.538173465229056e-07,0,,201,100
22,220,1020,2.2828518322240145e-05,0,,201,100
23,230,1030,2.15100682437863e-11,0,,201,100
24,240,1040,4.1811889795500234e-07,0,,203,100
25,250,1050,3.0988191387218256e-12,0,,202,100
26,260,1060,2.1940866100643185e-09,0,,201,100
27,270,1070,6.914400106940203e-13,0,,199,100
28,280,1080,2.543665647376923e-13,0,,199,100
29,290,1090,1.4068617124461467e-16,0,,200,100
30,300,1100,1.3615261080896538e-13,0,,199,100
31,310,1110,1.5784550952858365e-17,0,,199,100
32,320,1120,1.7309861965808005e-14,0,,199,100
33,330,1130,2.1087728885906676e-13,0,,202,100
34,340,1140,3.726653172078671e-06,0,,198,100
35,350,1150,2.1233829711794397e-06,0,,201,100
36,360,1160,1.7087563700445755e-09,0,,200,100
37,370,1170,1.713908431542013e-15,0,,200,100
38,380,1180,2.9400777392844726e-11,0,,198,100
39,390,1190,1.7656539221911676e-12,0,,199,100
40,400,1200,1.3440409951135022e-08,0,,199,100
41,410,1210,8.340358565590937e-13,0,,199,100
42,420,1220,1.8738788950667307e-06,0,,199,100
43,430,1230,1.9362746373840963e-09,0,,199,100
44,440,1240,1.049896199765615e-14,0,,200,100
45,450,1250,1.7309861965808005e-14,0,,200,100
46,460,1260,5.2792096283383845e-15,0,,200,100
47,470,1270,3.5114221133765118e-12,0,,201,100
48,480,1280,4.058652126475693e-10,0,,201,100
49,490,1290,8.423463754468647e-12,0,,200,100
50,500,1300,2.9400777392844726e-11,0,,199,100
51,510,1310,5.438596960491441e-12,0,,199,100
52,520,1320,2.5690112979751028e-12,0,,201,100
53,530,1330,2.7346982915918745e-12,0,,200,100
54,540,1340,5.6586239481320604e-08,0,,202,100
55,550,1350,1.5275899568992458e-14,0,,201,100
56,560,1360,4.895668966831769e-10,0,,199,100
57,570,1370,6.475952175842209e-07,0,,199,100
58,580,1380,1.0709232382508077e-12,0,,200,100
59,590,1390,8.703945206726413e-15,0,,201,100
60,600,1400,2.8625185805493937e-20,0,,200,100
61,610,1410,1.9421126879000225e-15,0,,200,100
62,620,1420,5.109089028063325e-12,0,,200,100
63,630,1430,1.748234128271057e-13,0,,197,100
64,640,1440,6.846183213793546e-14,0,,195,100
65,650,1450,5.008774637843507e-14,0,,197,100
66,660,1460,8.448861291557757e-18,0,,197,100
67,670,1470,2.172439935079017e-10,0,,197,100
68,680,1480,2.8823507934443873e-13,0,,197,100
69,690,1490,9.265301443284929e-15,0,,199,100
70,700,1500,9.736200313009565e-10,0,,198,100
71,710,1510,9.736200313009565e-10,0,,194,100
72,720,1520,1.0815941557285693e-11,0,,195,100
73,730,1530,4.433555507958072e-20,0,,194,100
74,740,1540,5.766857615784161e-25,0,,194,100
75,750,1550,2.33353107641944e-28,0,,195,100
76,760,1560,1.0151666536675367e-30,0,,197,100
77,770,1570,8.144823758598941e-28,0,,192,100
78,780,1580,1.5079722038360346e-09,0,,193,100
79,790,1590,4.5990553786523166e-10,0,,190,100
80,800,1600,2.0531435257962544e-22,0,,189,100
81,810,1610,4.152420021175756e-14,0,,189,100
82,820,1620,5.380186160021138e-32,0,,189,100
83,830,1630,1.3216242702440463e-16,0,,191,100
84,840,1640,1.748234128271057e-13,0,,188,100
85,850,1650,5.602796437537268e-09,0,,188,100
86,860,1660,2.707717986972444e-13,0,,188,100
87,870,1670,5.008774637843507e-14,0,,187,100
88,880,1680,3.4977759541703916e-25,0,,185,100
89,890,1690,8.703945206726413e-15,0,,187,100
90,900,1700,4.261163443757462e-24,0,,187,100
91,910,1710,1.7587922024243116e-25,0,,187,100
92,920,1720,1.0881262049062173e-23,0,,187,100
93,930,1730,7.478574746035517e-24,0,,188,100
94,940,1740,3.1391327920480296e-17,0,,190,100
95,950,1750,5.6366332899911276e-21,0,,189,100
96,960,1760,1.3792386911927587e-18,0,,190,100
97,970,1770,3.5571034672805724e-17,0,,192,100
98,980,1780,3.331544542166412e-11,0,,191,100
99,990,1790,4.433555507958072e-20,0,,190,100
100,1000,1800,2.3426350719292953e-15,0,,190,100
101,1010,1810,3.3415894629424765e-17,0,,190,100
102,1020,1820,4.4777324417183015e-19,0,,190,100
103,1030,1830,9.173890754179198e-16,0,,190,100
104,1040,1840,2.9783262686202286e-16,0,,189,100
105,1050,1850,3.3086216207858244e-18,0,,190,100
106,1060,1860,9.669209717057444e-17,0,,188,100
107,1070,1870,5.109089028063325e-12,0,,188,100
108,1080,1880,1.3347932285976029e-15,0,,190,100
109,1090,1890,8.592166619174109e-10,0,,188,100
110,1100,1900,4.420228103641173e-14,0,,189,100
111,1110,1910,2.770274965784119e-17,0,,190,100
112,1120,1920,1.5125188821494485e-15,0,,190,100
113,1130,1930,1.1176086870894152e-14,0,,189,100
114,1140,1940,1.9810087980489796e-13,0,,191,100
115,1150,1950,1.1583043157259877e-23,0,,192,100
116,1160,1960,1.1287447887691582e-13,0,,192,100
117,1170,1970,6.181318967705965e-18,0,,193,100
118,1180,1980,1.4068617124461467e-16,0,,193,100
119,1190,1990,4.2001132445113923e-16,0,,192,100
120,1200,2000,2.172439935079017e-10,0,,190,100
121,1210,2010,2.5946094982764667e-11,0,,191,100
122,1220,2020,8.233249263085099e-08,0,,190,100
123,1230,2030,1.2664165549094176e-14,0,,190,100
124,1240,2040,4.8473687062702556e-11,0,,191,100
125,1250,2050,3.8242466280971355e-16,0,,190,100
126,1260,2060,3.900837610180715e-14,0,,191,100
127,1270,2070,8.233249263085099e-08,0,,190,100
128,1280,2080,1.8795288165390832e-12,0,,191,100
129,1290,2090,2.200701987975367e-15,0,,192,100
130,1300,2100,1.2378189627675852e-10,0,,192,100
131,1310,2110,3.939706424252185e-13,0,,193,100
132,1320,2120,2.389552736575778e-13,0,,192,100
133,1330,2130,3.037975385443128e-14,0,,193,100
134,1340,2140,5.732239023403102e-13,0,,193,100
135,1350,2150,6.224144622907783e-11,0,,194,100
136,1360,2160,4.895668966831769e-10,0,,195,100
137,1370,2170,6.101936677605324e-13,0,,192,100
138,1380,2180,1.0709232382508077e-12,0,,192,100
139,1390,2190,1.039538011670222e-15,0,,194,100
140,1400,2200,7.123156315552984e-10,0,,195,100
141,1410,2210,3.8127508250269574e-10,0,,195,100
142,1420,2220,1.8426252147235624e-14,0,,195,100
143,1430,2230,5.4927883509546835e-11,0,,200,100
144,1440,2240,0.0009118819655545162,0,,199,100
145,1450,2250,5.6586239481320604e-08,0,,200,100
146,1460,2260,2.020683909022217e-11,0,,199,100
147,1470,2270,6.286163385101407e-10,0,,199,100
148,1480,2280,6.475952175842209e-07,0,,198,100
149,1490,2290,3.298675802357997e-12,0,,198,100
150,1500,2300,3.037975385443128e-14,0,,198,100
151,1510,2310,1.2626096677664469e-08,0,,199,100
152,1520,2320,1.34809340538292e-14,0,,199,100
153,1530,2330,1.5125188821494485e-15,0,,200,100
154,1540,2340,1.6918979226151304e-10,0,,198,100
155,1550,2350,5.602796437537268e-09,0,,197,100
156,1560,2360,2.707717986972444e-13,0,,196,100
157,1570,2370,1.6918979226151304e-10,0,,197,100
158,1580,2380,1.493094676197164e-10,0,,198,100
159,1590,2390,1.186112015134383e-08,0,,198,100
160,1600,2400,3.97896253583724e-12,0,,199,100
161,1610,2410,7.287724095819692e-14,0,,199,100
162,1620,2420,5.732239023403102e-13,0,,202,100
163,1630,2430,1.9421126879000225e-15,0,,201,100
164,1640,2440,2.289734845645553e-11,0,,201,100
165,1650,2450,5.732239023403102e-13,0,,203,100
166,1660,2460,3.442477108469977e-14,0,,204,100
167,1670,2470,3.432128916326245e-08,0,,205,100
168,1680,2480,7.360340600578901e-13,0,,206,100
169,1690,2490,4.0186098040544983e-11,0,,206,100
170,1700,2500,1.6373771305908126e-07,0,,205,100
171,1710,2510,3.068246448279046e-13,0,,204,100
172,1720,2520,2.444759076612131e-17,0,,204,100
173,1730,2530,6.242911005540393e-17,0,,204,100
174,1740,2540,7.287724095819692e-14,0,,202,100
175,1750,2550,7.144633303166281e-16,0,,204,100
176,1760,2560,2.46911920012775e-16,0,,204,100
177,1770,2570,1.026187963170189e-10,0,,203,100
178,1780,2580,2.636288471230274e-22,0,,203,100
179,1790,2590,8.730188421828054e-21,0,,204,100
180,1800,2600,1.5170792691264792e-21,0,,204,100
181,1810,2610,2.770274965784119e-17,0,,203,100
182,1820,2620,2.5185700548476786e-14,0,,204,100
183,1830,2630,2.1789900462248934e-16,0,,205,100
184,1840,2640,2.6283637069436874e-16,0,,205,100
185,1850,2650,1.9673783307515502e-20,0,,206,100
186,1860,2660,2.6625570362583533e-21,0,,207,100
187,1870,2670,5.4927883509546835e-11,0,,206,100
188,1880,2680,5.227125387689122e-16,0,,207,100
189,1890,2690,7.781132241133797e-20,0,,207,100
190,1900,2700,4.814016052463533e-18,0,,209,100
191,1910,2710,4.0708893451447087e-16,0,,208,100
192,1920,2720,1.7656539221911676e-12,0,,208,100
193,1930,2730,1.4026326428368726e-10,0,,209,100
194,1940,2740,4.3898144201314395e-21,0,,211,100
195,1950,2750,7.553092929146908e-23,0,,210,100
196,1960,2760,4.814016052463533e-18,0,,211,100
197,1970,2770,2.1362066739678315e-18,0,,211,100
198,1980,2780,4.925235279001133e-22,0,,210,100
199,1990,2790,4.083163460181308e-22,0,,211,100
200,2000,2800,8.790673253811879e-14,0,,210,100
201,2010,2810,2.000748010582296e-12,0,,211,100
202,2020,2820,1.0090725825245333e-18,0,,213,100
203,2030,2830,2.094263331680093e-20,0,,213,100
204,2040,2840,1.3216242702440463e-16,0,,213,100
205,2050,2850,1.9810087980489796e-13,0,,211,100
206,2060,2860,6.778639342809131e-15,0,,211,100
207,2070,2870,3.2020024986373665e-15,0,,211,100
208,2080,2880,1.3656312376225794e-19,0,,211,100
209,2090,2890,1.282891823608785e-19,0,,213,100
210,2100,2900,3.4085139172406173e-15,0,,211,100
211,2110,2910,3.664497806917865e-14,0,,212,100
212,2120,2920,7.858665174459913e-19,0,,211,100
213,2130,2930,5.454994842887922e-18,0,,213,100
214,2140,2940,6.515062259657524e-19,0,,213,100
215,2150,2950,1.449336997733435e-13,0,,212,100
216,2160,2960,2.493722053335376e-15,0,,213,100
217,2170,2970,1.1698459177061964e-22,0,,211,100
218,2180,2980,1.9229519665561326e-16,0,,212,100
219,2190,2990,6.199956226952037e-24,0,,212,100
220,2200,3000,5.2951269429069644e-21,0,,209,100
221,2210,3010,1.0191272063038982e-17,0,,211,100
222,2220,3020,4.248354255291589e-18,0,,210,100
223,2230,3030,9.76555587454154e-16,0,,208,100
224,2240,3040,3.1799709001977496e-22,0,,208,100
225,2250,3050,2.200701987975367e-15,0,,208,100
226,2260,3060,4.21912316161766e-25,0,,210,100
227,2270,3070,7.095474162284704e-23,0,,209,100
228,2280,3080,1.0881262049062173e-23,0,,207,100
229,2290,3090,1.668695580764908e-24,0,,207,100
230,2300,3100,2.4206392880376785e-18,0,,206,100
231,2310,3110,1.4872921816512705e-23,0,,207,100
232,2320,3120,9.507940816242373e-25,0,,205,100
233,2330,3130,1.4872921816512705e-23,0,,207,100
