window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.2614949814353181e-27,0,,204,100
1,10,810,6.2186496792912045e-30,0,,204,100
2,20,820,4.491233227034e-25,0,,204,100
3,30,830,1.4872921816512705e-23,0,,203,100
4,40,840,1.1503345232083959e-30,0,,201,100
5,50,850,7.331736696974105e-26,0,,201,100
6,60,860,1.1886379464860909e-33,0,,201,100
7,70,870,3.1269334310864823e-30,0,,203,100
8,80,880,4.3426675960408406e-41,0,,202,100
9,90,890,6.593992443902969e-43,0,,202,100
10,100,900,9.165791647315047e-35,0,,202,100
11,110,910,2.9873062030124935e-22,0,,201,100
12,120,920,6.956158100262611e-25,0,,202,100
13,130,930,9.229294442558325e-28,0,,203,100
14,140,940,2.908501158882566e-31,0,,201,100
15,150,950,9.414136267376981e-26,0,,201,100
16,160,960,3.328603310796571e-30,0,,200,100
17,170,970,3.8151232687351155e-32,0,,200,100
18,180,980,1.4748370525462869e-27,0,,200,100
19,190,990,3.650256761874267e-27,0,,201,100
20,200,1000,2.724070652116231e-25,0,,202,100
21,210,1010,8.250782701895847e-33,0,,201,100
22,220,1020,2.996313212753265e-28,0,,201,100
23,230,1030,8.064467608615517e-29,0,,201,100
24,240,1040,6.489743293733606e-32,0,,203,100
25,250,1050,4.563378953904705e-36,0,,202,100
26,260,1060,3.1991756325768644e-34,0,,201,100
27,270,1070,3.987436091528693e-37,0,,199,100
28,280,1080,1.0166959133871679e-33,0,,199,100
29,290,1090,5.614728092387935e-34,0,,200,100
30,300,1100,5.487939080233175e-30,0,,199,100
31,310,1110,2.966751837202674e-29,0,,199,100
32,320,1120,5.525960833850248e-23,0,,199,100
33,330,1130,1.3256090919753184e-22,0,,202,100
34,340,1140,1.0354981381517332e-28,0,,198,100
35,350,1150,5.487939080233175e-30,0,,201,100
36,360,1160,1.5437712010778924e-35,0,,200,100
37,370,1170,7.953873150289139e-43,0,,200,100
38,380,1180,4.51835703881857e-37,0,,198,100
39,390,1190,1.3034997854829589e-30,0,,199,100
40,400,1200,4.687022459682852e-27,0,,199,100
41,410,1210,1.2282167833110541e-36,0,,199,100
42,420,1220,4.01506200180565e-30,0,,199,100
43,430,1230,3.0261691444286677e-27,0,,199,100
44,440,1240,1.0268264977318054e-32,0,,200,100
45,450,1250,7.797702856412015e-45,0,,200,100
46,460,1260,1.4141086039600282e-47,0,,200,100
47,470,1270,4.027167792140633e-36,0,,201,100
48,480,1280,1.5568084851526207e-31,0,,201,100
49,490,1290,4.261163443757462e-24,0,,200,100
50,500,1300,4.155003820433815e-36,0,,199,100
51,510,1310,9.229294442558325e-28,0,,199,100
52,520,1320,1.1886379464860909e-33,0,,201,100
53,530,1330,5.8506810238618875e-33,0,,200,100
54,540,1340,7.019268418680944e-43,0,,202,100
55,550,1350,2.3946415023052036e-38,0,,201,100
56,560,1360,3.1991756325768644e-34,0,,199,100
57,570,1370,2.3035631938631488e-23,0,,199,100
58,580,1380,9.048081893886934e-30,0,,200,100
59,590,1390,1.587987826442442e-29,0,,201,100
60,600,1400,6.78285727914873e-37,0,,200,100
61,610,1410,2.908501158882566e-31,0,,200,100
62,620,1420,5.4962061801707776e-33,0,,200,100
63,630,1430,2.33353107641944e-28,0,,197,100
64,640,1440,5.206811627928075e-29,0,,195,100
65,650,1450,4.055068973135681e-29,0,,197,100
66,660,1460,3.0960833673866636e-31,0,,197,100
67,670,1470,1.0458160720483223e-27,0,,197,100
68,680,1480,6.2186496792912045e-30,0,,197,100
69,690,1490,2.823262586573196e-34,0,,199,100
70,700,1500,7.523739947567987e-36,0,,198,100
71,710,1510,1.5157399260438893e-40,0,,194,100
72,720,1520,8.33299533693277e-32,0,,195,100
73,730,1530,2.484030900561122e-28,0,,194,100
74,740,1540,3.7345894124709655e-31,0,,194,100
75,750,1550,3.328603310796571e-30,0,,195,100
76,760,1560,8.782912467903453e-33,0,,197,100
77,770,1570,1.2124436673290687e-31,0,,192,100
78,780,1580,7.674423386050201e-34,0,,193,100
79,790,1590,1.719076026990421e-21,0,,190,100
80,800,1600,4.366177370989137e-31,0,,189,100
81,810,1610,5.744446337788208e-38,0,,189,100
82,820,1620,5.396407928349275e-38,0,,189,100
83,830,1630,5.396407928349275e-38,0,,191,100
84,840,1640,1.1166220138848189e-33,0,,188,100
85,850,1650,8.897172536844263e-38,0,,188,100
86,860,1660,9.349361655243808e-33,0,,188,100
87,870,1670,1.9792598779469045e-32,0,,187,100
88,880,1680,1.4196255814329208e-34,0,,185,100
89,890,1690,9.165791647315047e-35,0,,187,100
90,900,1700,2.4595236594562154e-29,0,,187,100
91,910,1710,2.08612456342014e-33,0,,187,100
92,920,1720,2.3802664086944007e-26,0,,187,100
93,930,1730,3.361770254959375e-29,0,,188,100
94,940,1740,5.559333654634541e-35,0,,190,100
95,950,1750,7.046653264253344e-30,0,,189,100
96,960,1760,1.4013943381774993e-29,0,,190,100
97,970,1770,2.670584896655374e-27,0,,192,100
98,980,1780,9.631633039877652e-30,0,,191,100
99,990,1790,2.5490826102986277e-38,0,,190,100
100,1000,1800,9.66067332122619e-36,0,,190,100
101,1010,1810,2.633961041939327e-41,0,,190,100
102,1020,1820,5.592908023204021e-47,0,,190,100
103,1030,1830,4.067295388259682e-35,0,,190,100
104,1040,1840,1.4337710466611597e-33,0,,189,100
105,1050,1850,1.7466907116981076e-32,0,,190,100
106,1060,1860,2.0798536087738722e-27,0,,188,100
107,1070,1870,1.2282167833110541e-36,0,,188,100
108,1080,1880,6.096549624439501e-32,0,,190,100
109,1090,1890,1.5615024094567797e-37,0,,188,100
110,1100,1900,1.1572817146632925e-42,0,,189,100
111,1110,1910,7.984904245686979e-30,0,,190,100
112,1120,1920,1.0562368161344925e-26,0,,190,100
113,1130,1930,4.446923095655028e-26,0,,189,100
114,1140,1940,8.088782738491285e-35,0,,191,100
115,1150,1950,1.3603240940540357e-32,0,,192,100
116,1160,1960,2.6001349506734674e-36,0,,192,100
117,1170,1970,1.0386202626287883e-34,0,,193,100
118,1180,1980,5.958880356806916e-28,0,,193,100
119,1190,1990,4.563378953904705e-36,0,,192,100
120,1200,2000,1.0881262049062173e-23,0,,190,100
121,1210,2010,1.9929726634431052e-25,0,,191,100
122,1220,2020,2.403983912914173e-25,0,,190,100
123,1230,2030,1.9733101618343473e-26,0,,190,100
124,1240,2040,3.221340285992516e-27,0,,191,100
125,1250,2050,7.187781739060989e-28,0,,190,100
126,1260,2060,3.318597426793556e-24,0,,191,100
127,1270,2070,7.331736696974105e-26,0,,190,100
128,1280,2080,2.8428228245593702e-27,0,,191,100
129,1290,2090,4.316598452432667e-29,0,,192,100
130,1300,2100,1.9345652105305685e-28,0,,192,100
131,1310,2110,4.549661296313467e-30,0,,193,100
132,1320,2120,2.871149343847829e-26,0,,192,100
133,1330,2130,7.6513538331413975e-28,0,,193,100
134,1340,2140,5.206811627928075e-29,0,,193,100
135,1350,2150,9.349361655243808e-33,0,,194,100
136,1360,2160,3.532628572200807e-24,0,,195,100
137,1370,2170,1.7414401056575182e-26,0,,192,100
138,1380,2180,3.4977759541703916e-25,0,,192,100
139,1390,2190,1.5521286709293938e-25,0,,194,100
140,1400,2200,4.274011253133763e-30,0,,195,100
141,1410,2210,7.553092929146908e-23,0,,195,100
142,1420,2220,3.749159471376913e-18,0,,195,100
143,1430,2230,3.749159471376913e-18,0,,200,100
144,1440,2240,1.4393647348287895e-20,0,,199,100
145,1450,2250,2.251545269400888e-19,0,,200,100
146,1460,2260,2.0267764614472847e-17,0,,199,100
147,1470,2270,4.21912316161766e-25,0,,199,100
148,1480,2280,5.069456100161516e-38,0,,198,100
149,1490,2290,3.18955881215822e-28,0,,198,100
150,1500,2300,1.3562349179580253e-26,0,,198,100
151,1510,2310,5.597850046927042e-28,0,,199,100
152,1520,2320,4.042879310991858e-23,0,,199,100
153,1530,2330,1.1321480606858558e-19,0,,200,100
154,1540,2340,2.444759076612131e-17,0,,198,100
155,1550,2350,8.644057113036095e-22,0,,197,100
156,1560,2360,1.0458160720483223e-27,0,,196,100
157,1570,2370,1.3875682988472282e-30,0,,197,100
158,1580,2380,1.8908798159832048e-24,0,,198,100
159,1590,2390,8.040225570768548e-23,0,,198,100
