window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.686628732606944e-26,0,,204,100
1,10,810,1.567594426429674e-24,0,,204,100
2,20,820,1.3296059283196598e-28,0,,204,100
3,30,830,1.9022993672831142e-36,0,,203,100
4,40,840,2.2788228111753104e-43,0,,201,100
5,50,850,7.875400903036521e-44,0,,201,100
6,60,860,1.001244865941163e-44,0,,201,100
7,70,870,2.301529508813332e-42,0,,203,100
8,80,880,1.550758384721544e-44,0,,202,100
9,90,890,3.315667625696191e-43,0,,202,100
10,100,900,3.870577496310756e-40,0,,202,100
11,110,910,1.9462485901287513e-40,0,,201,100
12,120,920,7.47197233734299e-43,0,,202,100
13,130,930,5.186576811908573e-42,0,,203,100
14,140,940,8.722481034540894e-40,0,,201,100
15,150,950,4.120208297634962e-40,0,,201,100
16,160,960,5.631657026746563e-40,0,,200,100
17,170,970,5.178775439938068e-39,0,,200,100
18,180,980,9.27106667870735e-37,0,,200,100
19,190,990,8.44140227200822e-37,0,,201,100
20,200,1000,4.715328697324056e-39,0,,202,100
21,210,1010,7.159848437172725e-41,0,,201,100
22,220,1020,5.704921279632902e-45,0,,201,100
23,230,1030,1.9521167130521983e-46,0,,201,100
24,240,1040,1.1233656060805691e-45,0,,203,100
25,250,1050,2.0575158780995713e-47,0,,202,100
26,260,1060,5.935722836174623e-41,0,,201,100
27,270,1070,1.5975781284248353e-41,0,,199,100
28,280,1080,2.8317749893501122e-40,0,,199,100
29,290,1090,8.113171180775207e-41,0,,200,100
30,300,1100,4.977406631874238e-43,0,,199,100
31,310,1110,1.5180232555897934e-43,0,,199,100
32,320,1120,5.567708304250254e-38,0,,199,100
33,330,1130,1.3780210397239907e-37,0,,202,100
34,340,1140,1.2528151784444076e-34,0,,198,100
35,350,1150,3.070155632045663e-35,0,,201,100
36,360,1160,1.3623733032505406e-35,0,,200,100
37,370,1170,1.1538028902091524e-36,0,,200,100
38,380,1180,9.349361655243808e-33,0,,198,100
39,390,1190,1.4337710466611597e-33,0,,199,100
40,400,1200,2.2206680383731777e-33,0,,199,100
41,410,1210,8.897172536844263e-38,0,,199,100
42,420,1220,9.20727646671997e-44,0,,199,100
43,430,1230,2.9552223865731716e-42,0,,199,100
44,440,1240,5.886014920562591e-45,0,,200,100
45,450,1250,1.4402603642484923e-42,0,,200,100
46,460,1260,5.537728860428202e-48,0,,200,100
47,470,1270,2.168605780754182e-48,0,,201,100
48,480,1280,3.920931231838168e-45,0,,201,100
49,490,1290,9.485258084375116e-41,0,,200,100
50,500,1300,3.594782662219515e-38,0,,199,100
51,510,1310,6.124142904965042e-41,0,,199,100
52,520,1320,6.939563059121318e-41,0,,201,100
53,530,1330,5.351216433174384e-42,0,,200,100
54,540,1340,1.2856238561965638e-44,0,,202,100
55,550,1350,1.8892104656380483e-43,0,,201,100
56,560,1360,2.4990326569179994e-40,0,,199,100
57,570,1370,3.484182826942503e-38,0,,199,100
58,580,1380,4.51835703881857e-37,0,,200,100
59,590,1390,8.722481034540894e-40,0,,201,100
60,600,1400,2.686713304696084e-39,0,,200,100
61,610,1410,7.697562495835216e-40,0,,200,100
62,620,1420,1.5975781284248353e-41,0,,200,100
63,630,1430,3.338639363482859e-36,0,,197,100
64,640,1440,6.860762771709328e-39,0,,195,100
65,650,1450,1.2817592313147442e-38,0,,197,100
66,660,1460,5.186576811908573e-42,0,,197,100
67,670,1470,1.792432983725769e-42,0,,197,100
68,680,1480,2.8317749893501122e-40,0,,197,100
69,690,1490,1.1424195673964185e-37,0,,199,100
70,700,1500,2.1132637085848645e-38,0,,198,100
71,710,1510,1.7346724861112388e-39,0,,194,100
72,720,1520,2.162086885029927e-42,0,,195,100
73,730,1530,8.748780136910305e-46,0,,194,100
74,740,1540,5.761766384882016e-44,0,,194,100
75,750,1550,9.10272578742244e-42,0,,195,100
76,760,1560,8.113171180775207e-41,0,,197,100
77,770,1570,6.528936665961496e-44,0,,192,100
78,780,1580,1.1958164630116686e-45,0,,193,100
79,790,1590,1.337635789857536e-40,0,,190,100
80,800,1600,3.1771634845836203e-41,0,,189,100
81,810,1610,3.084051305964646e-44,0,,189,100
82,820,1620,8.383320623039084e-44,0,,189,100
83,830,1630,2.8317749893501122e-40,0,,191,100
84,840,1640,1.6507737076564939e-44,0,,188,100
85,850,1650,3.720075976020836e-44,0,,188,100
86,860,1660,8.358120103216812e-38,0,,188,100
87,870,1670,5.396407928349275e-38,0,,187,100
88,880,1680,5.801685279513004e-37,0,,185,100
89,890,1690,2.1343207384798274e-37,0,,187,100
90,900,1700,2.9756968735933825e-35,0,,187,100
91,910,1710,1.2160992992528256e-37,0,,187,100
92,920,1720,7.376015102518876e-38,0,,187,100
93,930,1730,1.6622106624536286e-37,0,,188,100
94,940,1740,2.7134843139867624e-38,0,,190,100
95,950,1750,2.347623922306236e-40,0,,189,100
96,960,1760,8.722481034540894e-40,0,,190,100
97,970,1770,3.3057006267607343e-37,0,,192,100
98,980,1780,1.6086465315348079e-34,0,,191,100
99,990,1790,1.1769109439216723e-34,0,,190,100
100,1000,1800,2.6522097535794223e-34,0,,190,100
101,1010,1810,1.9597326655329386e-33,0,,190,100
102,1020,1820,9.565361926240908e-37,0,,190,100
103,1030,1830,2.851394203297269e-33,0,,190,100
104,1040,1840,1.2041013652788301e-38,0,,189,100
105,1050,1850,1.0626157252564502e-38,0,,190,100
106,1060,1860,6.860762771709328e-39,0,,188,100
107,1070,1870,4.429641373725468e-39,0,,188,100
108,1080,1880,3.145817855377154e-42,0,,190,100
109,1090,1890,4.299823200751476e-42,0,,188,100
110,1100,1900,5.290452176211021e-40,0,,189,100
111,1110,1910,9.786352496981592e-41,0,,190,100
112,1120,1920,4.817011522825685e-40,0,,190,100
113,1130,1930,4.19640520318843e-35,0,,189,100
114,1140,1940,2.8884890165994375e-38,0,,191,100
115,1150,1950,1.3509642905558535e-39,0,,192,100
116,1160,1960,5.91787987063404e-35,0,,192,100
117,1170,1970,3.105418350529728e-37,0,,193,100
118,1180,1980,6.43539580802847e-36,0,,193,100
119,1190,1990,3.2407948596462244e-39,0,,192,100
120,1200,2000,4.6088494773722954e-35,0,,190,100
121,1210,2010,1.8835314408305137e-37,0,,191,100
122,1220,2020,2.7678292474305675e-36,0,,190,100
123,1230,2030,2.466939355087296e-35,0,,190,100
124,1240,2040,8.985825944049381e-37,0,,191,100
125,1250,2050,9.075362713533529e-36,0,,190,100
126,1260,2060,2.4185022431568626e-37,0,,191,100
127,1270,2070,1.3336148155022614e-34,0,,190,100
128,1280,2080,1.7123953191762365e-34,0,,191,100
129,1290,2090,3.167612833359354e-35,0,,192,100
130,1300,2100,2.1069111728329187e-32,0,,192,100
131,1310,2110,9.048081893886934e-30,0,,193,100
132,1320,2120,1.9792598779469045e-32,0,,192,100
133,1330,2130,5.976846942677399e-34,0,,193,100
134,1340,2140,2.4595236594562154e-29,0,,193,100
135,1350,2150,8.416027156961458e-31,0,,194,100
136,1360,2160,4.01506200180565e-30,0,,195,100
137,1370,2170,3.439437941040803e-33,0,,192,100
138,1380,2180,1.2282167833110541e-36,0,,192,100
139,1390,2190,3.858942421224714e-34,0,,194,100
140,1400,2200,2.879806129711015e-32,0,,195,100
141,1410,2210,5.8418807417869894e-30,0,,195,100
142,1420,2220,1.690404242076995e-29,0,,195,100
143,1430,2230,9.631633039877652e-30,0,,200,100
144,1440,2240,2.265142980101831e-31,0,,199,100
145,1450,2250,1.640864071264169e-32,0,,200,100
146,1460,2260,1.8965809968343725e-30,0,,199,100
147,1470,2270,1.673726855207138e-30,0,,199,100
148,1480,2280,2.1491078226788084e-30,0,,198,100
149,1490,2290,8.782912467903453e-33,0,,198,100
150,1500,2300,7.209453578416785e-34,0,,198,100
151,1510,2310,1.0283733219860874e-35,0,,199,100
152,1520,2320,5.450178937907168e-37,0,,199,100
153,1530,2330,8.008979484525068e-36,0,,200,100
154,1540,2340,6.096549624439501e-32,0,,198,100
155,1550,2350,4.107822824676777e-34,0,,197,100
156,1560,2360,2.851394203297269e-33,0,,196,100
157,1570,2370,2.732283981862415e-31,0,,197,100
158,1580,2380,2.966751837202674e-29,0,,198,100
159,1590,2390,6.096549624439501e-32,0,,198,100
160,1600,2400,4.316598452432667e-29,0,,199,100
161,1610,2410,3.543279780278591e-30,0,,199,100
162,1620,2420,8.870427362353295e-32,0,,202,100
163,1630,2430,1.5262413345276642e-33,0,,201,100
164,1640,2440,6.908295775978761e-32,0,,201,100
165,1650,2450,1.290639565621842e-31,0,,203,100
166,1660,2460,1.0806392777072785e-30,0,,204,100
167,1670,2470,8.782912467903453e-33,0,,205,100
168,1680,2480,2.795408514026844e-35,0,,206,100
169,1690,2490,7.828124671878425e-32,0,,206,100
170,1700,2500,9.727604774987714e-29,0,,205,100
171,1710,2510,2.4352582047423072e-30,0,,204,100
172,1720,2520,1.0594214696801825e-32,0,,204,100
173,1730,2530,1.4196255814329208e-34,0,,204,100
174,1740,2540,3.987436091528693e-37,0,,202,100
175,1750,2550,3.948096380551899e-38,0,,204,100
176,1760,2560,1.1199887344927292e-39,0,,204,100
177,1770,2570,1.3074299601845343e-36,0,,203,100
178,1780,2580,9.883865891194744e-40,0,,203,100
179,1790,2590,3.145817855377154e-42,0,,204,100
180,1800,2600,1.864948677170578e-38,0,,204,100
181,1810,2610,2.633961041939327e-41,0,,203,100
182,1820,2620,9.883865891194744e-40,0,,204,100
183,1830,2630,2.074891781324297e-43,0,,205,100
184,1840,2640,1.2356343274859266e-48,0,,205,100
