window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.846183213793546e-14,0,,208,100
1,10,810,3.581747930283181e-10,0,,203,100
2,20,820,1.026187963170189e-10,0,,202,100
3,30,830,9.329493666178467e-08,0,,201,100
4,40,840,2.382369667501818e-07,0,,201,100
5,50,850,1.1253517471925912e-07,0,,198,100
6,60,860,6.286163385101407e-10,0,,202,100
7,70,870,4.495201785261945e-06,0,,203,100
8,80,880,4.406940761911853e-08,0,,202,100
9,90,890,3.927863545481039e-07,0,,202,100
10,100,900,6.34880011604368e-09,0,,202,100
11,110,910,4.7379078241571714e-07,0,,200,100
12,120,920,4.612921964056952e-16,0,,197,100
13,130,930,4.248354255291589e-18,0,,199,100
14,140,940,2.493722053335376e-15,0,,198,100
15,150,950,9.450864406622024e-13,0,,197,100
16,160,960,4.346504878218876e-22,0,,196,100
17,170,970,4.235583571640497e-12,0,,195,100
18,180,980,7.004352026168645e-18,0,,194,100
19,190,990,5.331812847952721e-14,0,,195,100
20,200,1000,1.2664165549094176e-14,0,,193,100
21,210,1010,1.3216242702440463e-16,0,,192,100
22,220,1020,2.373111254607875e-20,0,,192,100
23,230,1030,9.385837084000454e-20,0,,191,100
24,240,1040,1.2702349201759044e-20,0,,192,100
25,250,1050,3.4528565013882866e-20,0,,191,100
26,260,1060,5.347888766186028e-20,0,,192,100
27,270,1070,1.1065824532574403e-15,0,,192,100
28,280,1080,9.479359653504757e-19,0,,193,100
29,290,1090,9.669209717057444e-17,0,,192,100
30,300,1100,6.450785200312233e-20,0,,196,100
31,310,1110,4.522349564278006e-18,0,,196,100
32,320,1120,4.626830358523438e-22,0,,196,100
33,330,1130,1.5784550952858365e-17,0,,195,100
34,340,1140,3.008002974381331e-15,0,,194,100
35,350,1150,4.86198397975995e-17,0,,196,100
36,360,1160,5.073935589580236e-19,0,,195,100
37,370,1170,7.681204685202095e-15,0,,193,100
38,380,1180,1.039538011670222e-15,0,,193,100
39,390,1190,5.864672148586656e-17,0,,196,100
40,400,1200,8.905034285609392e-19,0,,195,100
41,410,1210,1.86659658923467e-19,0,,195,100
42,420,1220,2.5261637809256925e-20,0,,196,100
43,430,1230,7.781132241133797e-20,0,,195,100
44,440,1240,4.042879310991858e-23,0,,194,100
45,450,1250,8.878265478459658e-13,0,,195,100
46,460,1260,1.719076026990421e-21,0,,196,100
47,470,1270,7.75774191812223e-14,0,,195,100
48,480,1280,8.677780879537103e-09,0,,195,100
49,490,1290,8.071593559922058e-10,0,,193,100
50,500,1300,1.1932752768550773e-20,0,,194,100
51,510,1310,1.2539221950995622e-15,0,,193,100
52,520,1320,3.6755466131663376e-20,0,,192,100
53,530,1330,1.9614643309355633e-14,0,,194,100
54,540,1340,9.794999945858148e-22,0,,195,100
55,550,1350,1.463778514125909e-12,0,,194,100
56,560,1360,8.817177962149169e-20,0,,195,100
57,570,1370,1.748234128271057e-13,0,,197,100
58,580,1380,2.020683909022217e-11,0,,199,100
59,590,1390,3.1799709001977496e-22,0,,202,100
60,600,1400,1.777886794572054e-05,0,,202,100
61,610,1410,1.3216242702440463e-16,0,,203,100
62,620,1420,1.103256032343554e-09,0,,202,100
63,630,1430,9.833213979700352e-09,0,,201,100
64,640,1440,8.398142563157736e-06,0,,198,100
65,650,1450,6.120334591765359e-19,0,,200,100
66,660,1460,2.689087347114389e-20,0,,201,100
67,670,1470,3.398267819495071e-09,0,,201,100
68,680,1480,1.2878968743320372e-06,0,,201,100
69,690,1490,2.2966386120012468e-17,0,,198,100
70,700,1500,2.9312397751078144e-05,0,,197,100
71,710,1510,1.4681919442998123e-18,0,,195,100
72,720,1520,5.619689396832022e-15,0,,196,100
73,730,1530,3.2339079641330587e-14,0,,195,100
74,740,1540,8.618072811299709e-16,0,,193,100
75,750,1550,9.056076989672867e-11,0,,192,100
76,760,1560,1.9229519665561326e-16,0,,190,100
77,770,1570,5.923109047046262e-16,0,,189,100
78,780,1580,2.389552736575778e-13,0,,190,100
79,790,1590,8.507397021943229e-11,0,,188,100
80,800,1600,1.1779508898282764e-15,0,,188,100
81,810,1610,1.8189616875530459e-09,0,,188,100
82,820,1620,5.692797958514094e-20,0,,188,100
83,830,1630,1.8609855424356342e-13,0,,186,100
84,840,1640,2.319522830243569e-16,0,,188,100
85,850,1650,1.2015425731771786e-13,0,,188,100
86,860,1660,1.994733700481656e-06,0,,186,100
87,870,1670,2.4862258480890196e-09,0,,188,100
88,880,1680,1.8553913626159784e-07,0,,188,100
89,890,1690,3.432128916326245e-08,0,,189,100
90,900,1700,4.944450501938644e-09,0,,188,100
91,910,1710,4.420228103641173e-14,0,,188,100
92,920,1720,9.833213979700352e-09,0,,188,100
93,930,1730,5.109089028063325e-12,0,,187,100
94,940,1740,1.291780004785996e-12,0,,186,100
95,950,1750,7.530388099325974e-17,0,,185,100
96,960,1760,1.34809340538292e-14,0,,187,100
97,970,1770,6.778639342809131e-15,0,,188,100
98,980,1780,2.7894680928689246e-10,0,,186,100
99,990,1790,3.939706424252185e-13,0,,185,100
100,1000,1800,7.582560427911907e-10,0,,183,100
101,1010,1810,1.049896199765615e-14,0,,184,100
102,1020,1820,2.1789900462248934e-16,0,,185,100
103,1030,1830,4.433555507958072e-20,0,,186,100
104,1040,1840,1.435037960133826e-14,0,,187,100
105,1050,1850,5.058683183027784e-13,0,,186,100
106,1060,1860,4.8473687062702556e-11,0,,186,100
107,1070,1870,5.6366332899911276e-21,0,,184,100
108,1080,1880,2.229331712088314e-20,0,,183,100
109,1090,1890,3.939706424252185e-13,0,,183,100
110,1100,1900,1.1548224173015786e-17,0,,185,100
111,1110,1910,1.2051653372746938e-19,0,,184,100
112,1120,1920,9.76555587454154e-16,0,,180,100
113,1130,1930,1.5321957845870205e-20,0,,180,100
114,1140,1940,2.373111254607875e-20,0,,181,100
115,1150,1950,1.1698459177061964e-22,0,,181,100
116,1160,1960,7.287724095819692e-14,0,,183,100
117,1170,1970,1.8118928020768098e-22,0,,183,100
118,1180,1980,1.1583043157259877e-23,0,,183,100
119,1190,1990,2.3426350719292953e-15,0,,183,100
120,1200,2000,8.905034285609392e-19,0,,182,100
121,1210,2010,7.074144948561961e-17,0,,183,100
122,1220,2020,9.669209717057444e-17,0,,183,100
123,1230,2030,7.93697066318849e-18,0,,182,100
124,1240,2040,2.229331712088314e-20,0,,181,100
125,1250,2050,6.450785200312233e-20,0,,180,100
126,1260,2060,8.201253044288238e-21,0,,180,100
127,1270,2070,1.9287498479639178e-22,0,,179,100
128,1280,2080,7.478574746035517e-24,0,,181,100
129,1290,2090,1.885195773057152e-18,0,,182,100
130,1300,2100,7.16617504592133e-22,0,,180,100
131,1310,2110,4.626830358523438e-22,0,,183,100
132,1320,2120,3.749159471376913e-18,0,,184,100
133,1330,2130,8.817177962149169e-20,0,,183,100
134,1340,2140,4.433555507958072e-20,0,,184,100
135,1350,2150,4.705308323479026e-14,0,,183,100
136,1360,2160,2.9783262686202286e-16,0,,183,100
137,1370,2170,3.211656837943501e-21,0,,180,100
138,1380,2180,1.2995814250075031e-24,0,,178,100
139,1390,2190,5.74952226429356e-19,0,,179,100
140,1400,2200,9.414136267376981e-26,0,,179,100
141,1410,2210,5.824319868470494e-24,0,,180,100
142,1420,2220,1.5170792691264792e-21,0,,180,100
143,1430,2230,7.382532721164985e-19,0,,181,100
144,1440,2240,4.152420021175756e-14,0,,182,100
145,1450,2250,3.5571034672805724e-17,0,,179,100
146,1460,2260,3.2339079641330587e-14,0,,177,100
147,1470,2270,2.1574923126757813e-17,0,,177,100
148,1480,2280,8.095930175212601e-16,0,,177,100
149,1490,2290,1.5784550952858365e-17,0,,177,100
150,1500,2300,4.612921964056952e-16,0,,176,100
151,1510,2310,3.1296964622560676e-11,0,,176,100
152,1520,2320,9.76555587454154e-16,0,,176,100
153,1530,2330,7.281290178321643e-33,0,,176,100
154,1540,2340,4.508755242294825e-12,0,,177,100
155,1550,2350,1.1779508898282764e-15,0,,176,100
156,1560,2360,1.7816729631100128e-30,0,,175,100
157,1570,2370,2.732283981862415e-31,0,,174,100
158,1580,2380,2.5012408603470305e-21,0,,175,100
159,1590,2390,2.626043273976825e-35,0,,176,100
160,1600,2400,7.828124671878425e-32,0,,177,100
161,1610,2410,7.906125848242552e-31,0,,177,100
162,1620,2420,1.3085852357321768e-17,0,,176,100
163,1630,2430,4.3898144201314395e-21,0,,176,100
164,1640,2440,1.2490491774577263e-28,0,,177,100
165,1650,2450,5.709962280876788e-26,0,,175,100
166,1660,2460,3.429098884727906e-27,0,,176,100
167,1670,2470,7.309697270800185e-20,0,,177,100
168,1680,2480,9.892599505176378e-21,0,,177,100
169,1690,2490,2.1639973553313732e-23,0,,177,100
170,1700,2500,3.3086216207858244e-18,0,,177,100
171,1710,2510,2.508782337270435e-27,0,,178,100
172,1720,2520,2.0390167305428176e-29,0,,176,100
173,1730,2530,6.619718125556811e-30,0,,179,100
174,1740,2540,2.2583338905850276e-25,0,,177,100
175,1750,2550,7.704364241243156e-21,0,,176,100
176,1760,2560,2.4279377436242744e-24,0,,175,100
177,1770,2570,1.0773908427775983e-24,0,,176,100
178,1780,2580,6.138787977370497e-25,0,,174,100
179,1790,2590,4.261163443757462e-24,0,,176,100
180,1800,2600,7.478574746035517e-24,0,,177,100
181,1810,2610,2.9873062030124935e-22,0,,177,100
182,1820,2620,1.7242592032261266e-27,0,,178,100
