window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.1424195673964185e-37,0,,208,100
1,10,810,1.9597326655329386e-33,0,,203,100
2,20,820,4.9549801503870665e-34,0,,202,100
3,30,830,3.578585808559134e-29,0,,201,100
4,40,840,8.33299533693277e-32,0,,201,100
5,50,850,1.1886379464860909e-33,0,,198,100
6,60,860,8.870427362353295e-32,0,,202,100
7,70,870,8.33299533693277e-32,0,,203,100
8,80,880,4.095474582831516e-28,0,,202,100
9,90,890,1.7072478061411426e-28,0,,202,100
10,100,900,6.43539580802847e-36,0,,202,100
11,110,910,2.701258287416287e-29,0,,200,100
12,120,920,1.4337710466611597e-33,0,,197,100
13,130,930,4.372754635084738e-34,0,,199,100
14,140,940,2.91288256133576e-34,0,,198,100
15,150,950,3.999458587140588e-43,0,,197,100
16,160,960,2.162086885029927e-42,0,,196,100
17,170,970,2.401861572117655e-44,0,,195,100
18,180,980,5.4666117410571005e-43,0,,194,100
19,190,990,1.5770615669738538e-36,0,,195,100
20,200,1000,3.074780552815198e-38,0,,193,100
21,210,1010,3.0536243137246927e-45,0,,192,100
22,220,1020,1.3153258948574645e-48,0,,192,100
23,230,1030,2.9260664096769082e-43,0,,191,100
24,240,1040,2.0372165985332952e-48,0,,192,100
25,250,1050,2.3853353983601508e-51,0,,191,100
26,260,1060,1.7625377073248245e-50,0,,192,100
27,270,1070,2.7298718035898282e-50,0,,192,100
28,280,1080,2.2187075367458395e-52,0,,193,100
29,290,1090,5.971570324130642e-53,0,,192,100
30,300,1100,1.0616776022130228e-57,0,,196,100
31,310,1110,4.425730695059567e-58,0,,196,100
32,320,1120,3.143040591545638e-61,0,,196,100
33,330,1130,2.792940606691698e-54,0,,195,100
34,340,1140,1.8393731526886113e-52,0,,194,100
35,350,1150,1.7625377073248245e-50,0,,196,100
36,360,1160,2.105051100678225e-51,0,,195,100
37,370,1170,7.252993482056952e-46,0,,193,100
38,380,1180,5.428998342955282e-50,0,,193,100
39,390,1190,3.9327532090303444e-51,0,,196,100
40,400,1200,1.9328572928328763e-47,0,,195,100
41,410,1210,1.1233656060805691e-45,0,,195,100
42,420,1220,1.4568026838749441e-44,0,,196,100
43,430,1230,5.631657026746563e-40,0,,195,100
44,440,1240,2.50279723090835e-43,0,,194,100
45,450,1250,1.0521320473864035e-39,0,,195,100
46,460,1260,7.089209971328866e-42,0,,196,100
47,470,1270,1.337635789857536e-40,0,,195,100
48,480,1280,2.0655430329572718e-34,0,,195,100
49,490,1290,1.1089390193121365e-40,0,,193,100
50,500,1300,9.49954679555996e-44,0,,194,100
51,510,1310,2.2187075367458395e-52,0,,193,100
52,520,1320,4.838813551584914e-49,0,,192,100
53,530,1330,5.779138653550138e-50,0,,194,100
54,540,1340,2.0606153457027594e-50,0,,195,100
55,550,1350,1.2895001332866234e-50,0,,194,100
56,560,1360,8.05734794840647e-48,0,,195,100
57,570,1370,1.0937312565545817e-54,0,,197,100
58,580,1380,3.694479737384721e-51,0,,199,100
59,590,1390,3.160055980203975e-51,0,,202,100
60,600,1400,6.881448618058656e-45,0,,202,100
61,610,1410,1.6557509459622548e-50,0,,203,100
62,620,1420,3.5052247801085453e-50,0,,202,100
63,630,1430,7.132023690243796e-54,0,,201,100
64,640,1440,1.44242999044028e-45,0,,198,100
65,650,1450,3.8880959185710144e-49,0,,200,100
66,660,1460,6.679776064540074e-48,0,,201,100
67,670,1470,1.6838349591297216e-42,0,,201,100
68,680,1480,3.2310529305500156e-33,0,,201,100
69,690,1490,1.769414039736072e-37,0,,198,100
70,700,1500,1.6246754435760975e-33,0,,197,100
71,710,1510,1.3917519480396344e-36,0,,195,100
72,720,1520,6.280613688643744e-29,0,,196,100
73,730,1530,1.3204574832737427e-35,0,,195,100
74,740,1540,1.055304324667464e-45,0,,193,100
75,750,1550,3.302782211515291e-56,0,,192,100
76,760,1560,6.699916218910193e-54,0,,190,100
77,770,1570,1.4043787324419038e-54,0,,189,100
78,780,1580,8.517987590743799e-55,0,,190,100
79,790,1590,6.213159586848109e-49,0,,188,100
80,800,1600,9.623129818359484e-49,0,,188,100
81,810,1610,9.513857031437704e-47,0,,188,100
82,820,1620,1.101308888112081e-47,0,,188,100
83,830,1630,1.8705716731943453e-44,0,,186,100
84,840,1640,8.137633156511106e-47,0,,188,100
85,850,1650,4.715328697324056e-39,0,,188,100
86,860,1660,2.626043273976825e-35,0,,186,100
87,870,1670,1.192221801917936e-39,0,,188,100
88,880,1680,2.60797460259948e-42,0,,188,100
89,890,1690,3.145817855377154e-42,0,,189,100
90,900,1700,1.0417518006053862e-40,0,,188,100
91,910,1710,3.800296859993823e-45,0,,188,100
92,920,1720,8.722481034540894e-40,0,,188,100
93,930,1730,1.065819611814323e-44,0,,187,100
94,940,1740,5.819177907410596e-43,0,,186,100
95,950,1750,9.221146422925876e-47,0,,185,100
96,960,1760,5.836723277229892e-49,0,,187,100
97,970,1770,4.743805884239834e-51,0,,188,100
98,980,1780,1.6183615972068855e-46,0,,186,100
99,990,1790,1.520310024771829e-46,0,,185,100
100,1000,1800,8.113171180775207e-41,0,,183,100
101,1010,1810,2.256340135917036e-44,0,,184,100
102,1020,1820,1.101308888112081e-47,0,,185,100
103,1030,1830,1.6183615972068855e-46,0,,186,100
104,1040,1840,1.1822377001739345e-43,0,,187,100
105,1050,1850,1.9942127695168827e-47,0,,186,100
