window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.119969288940869e-37,0,,208,100
1,10,810,1.7747489898243118e-43,0,,203,100
2,20,820,8.822664357494678e-42,0,,202,100
3,30,830,8.748780136910305e-46,0,,201,100
4,40,840,1.3821759030303587e-43,0,,201,100
5,50,850,1.055304324667464e-45,0,,198,100
6,60,860,7.17063412223643e-44,0,,202,100
7,70,870,8.20635618689494e-43,0,,203,100
8,80,880,3.683374017582107e-45,0,,202,100
9,90,890,2.07801742420501e-46,0,,202,100
10,100,900,6.679776064540074e-48,0,,202,100
11,110,910,2.285693676718672e-49,0,,200,100
12,120,920,3.358802339025207e-48,0,,197,100
13,130,930,5.375436299375676e-51,0,,199,100
14,140,940,1.095378866972741e-57,0,,198,100
15,150,950,3.446762530975544e-58,0,,197,100
16,160,960,6.0401576625214676e-55,0,,196,100
17,170,970,5.739374892529943e-57,0,,195,100
18,180,980,2.9775484693700597e-57,0,,194,100
19,190,990,7.358418424536459e-54,0,,195,100
20,200,1000,7.296796335335172e-58,0,,193,100
21,210,1010,1.3364548672263791e-59,0,,192,100
22,220,1020,2.982033885553705e-60,0,,192,100
23,230,1030,3.0417572575305583e-58,0,,191,100
24,240,1040,4.664685833789193e-59,0,,192,100
25,250,1050,7.369503237907921e-57,0,,191,100
26,260,1060,4.958063334162064e-56,0,,192,100
27,270,1070,6.923007608136906e-57,0,,192,100
28,280,1080,6.503563781040887e-57,0,,193,100
29,290,1090,2.315429088295851e-54,0,,192,100
30,300,1100,2.7070108579241175e-54,0,,196,100
31,310,1110,6.558486951295872e-53,0,,196,100
32,320,1120,5.546070964312227e-51,0,,196,100
33,330,1130,2.6419026827184465e-47,0,,195,100
34,340,1140,3.4260715281722913e-46,0,,194,100
35,350,1150,6.194482637895804e-43,0,,196,100
36,360,1160,1.0979983196973362e-41,0,,195,100
37,370,1170,7.067899587956942e-36,0,,193,100
38,380,1180,9.756934420162466e-35,0,,193,100
39,390,1190,2.1770663397285783e-35,0,,196,100
40,400,1200,1.3336148155022614e-34,0,,195,100
41,410,1210,8.525514282863749e-36,0,,195,100
42,420,1220,1.3204574832737427e-35,0,,196,100
43,430,1230,1.105605514488157e-34,0,,195,100
44,440,1240,1.105605514488157e-34,0,,194,100
45,450,1250,1.0081817296793727e-37,0,,195,100
46,460,1260,7.376015102518876e-38,0,,196,100
47,470,1270,2.1132637085848645e-38,0,,195,100
48,480,1280,2.8317749893501122e-40,0,,195,100
49,490,1290,4.935724006918081e-47,0,,193,100
50,500,1300,1.7057405740630596e-47,0,,194,100
51,510,1310,1.2479464629129513e-47,0,,193,100
52,520,1320,3.8060216746236515e-48,0,,192,100
53,530,1330,2.993667938075506e-47,0,,194,100
54,540,1340,5.2022148298054365e-48,0,,195,100
55,550,1350,3.54015161989833e-49,0,,194,100
56,560,1360,1.2234436625572592e-49,0,,195,100
57,570,1370,7.899145978976377e-50,0,,197,100
58,580,1380,6.613873952572189e-49,0,,199,100
59,590,1390,1.6557509459622548e-50,0,,202,100
60,600,1400,4.011517331709812e-49,0,,202,100
61,610,1410,1.3863432936411706e-49,0,,203,100
62,620,1420,2.914695071573744e-56,0,,202,100
63,630,1430,6.923007608136906e-57,0,,201,100
64,640,1440,6.63381540586378e-55,0,,198,100
65,650,1450,2.1968179537571495e-53,0,,200,100
66,660,1460,1.5098494270728104e-53,0,,201,100
67,670,1470,4.791074221794937e-50,0,,201,100
68,680,1480,1.586585882223794e-48,0,,201,100
69,690,1490,8.21871834429661e-46,0,,198,100
70,700,1500,6.593992443902969e-43,0,,197,100
71,710,1510,1.0212975286081451e-42,0,,195,100
72,720,1520,4.0795586671775603e-41,0,,196,100
73,730,1530,1.9270470643193927e-41,0,,195,100
74,740,1540,3.999458587140588e-43,0,,193,100
75,750,1550,1.2603812791974119e-46,0,,192,100
76,760,1560,1.1958164630116686e-45,0,,190,100
77,770,1570,4.590938473882946e-48,0,,189,100
78,780,1580,3.0234975116453186e-46,0,,190,100
79,790,1590,7.47197233734299e-43,0,,188,100
80,800,1600,1.6344873123246002e-45,0,,188,100
81,810,1610,1.1572817146632925e-42,0,,188,100
82,820,1620,1.2856238561965638e-44,0,,188,100
83,830,1630,1.101308888112081e-47,0,,186,100
84,840,1640,3.575426478492679e-48,0,,188,100
85,850,1650,1.1840186378036073e-46,0,,188,100
86,860,1660,7.644598887610591e-47,0,,186,100
87,870,1670,2.668227188999225e-46,0,,188,100
88,880,1680,3.155302792688736e-48,0,,188,100
89,890,1690,1.2603812791974119e-46,0,,189,100
90,900,1700,4.132631113961383e-46,0,,188,100
91,910,1710,2.3084688371900652e-48,0,,188,100
92,920,1720,4.590938473882946e-48,0,,188,100
93,930,1730,1.0937312565545817e-54,0,,187,100
94,940,1740,4.8870285666812097e-48,0,,186,100
95,950,1750,1.428199096796935e-46,0,,185,100
96,960,1760,9.405825061400559e-45,0,,187,100
97,970,1770,1.44242999044028e-45,0,,188,100
98,980,1780,3.358802339025207e-48,0,,186,100
99,990,1790,2.147210497499682e-49,0,,185,100
100,1000,1800,7.821213665418644e-51,0,,183,100
101,1010,1810,4.791074221794937e-50,0,,184,100
102,1020,1820,1.857701076130827e-51,0,,185,100
103,1030,1830,9.24894904843799e-53,0,,186,100
104,1040,1840,2.6762721454411435e-52,0,,187,100
105,1050,1850,1.1267526592544995e-51,0,,186,100
106,1060,1860,6.275068891697736e-48,0,,186,100
107,1070,1870,2.361801878825239e-52,0,,184,100
108,1080,1880,3.402498207362511e-53,0,,183,100
109,1090,1890,1.3324374427608813e-53,0,,183,100
110,1100,1900,6.420043129631079e-52,0,,185,100
111,1110,1910,3.6219404882153426e-53,0,,184,100
112,1120,1920,3.155302792688736e-48,0,,180,100
113,1130,1930,6.420043129631079e-52,0,,180,100
114,1140,1940,3.325664676072778e-49,0,,181,100
115,1150,1950,1.3591231412083083e-51,0,,181,100
116,1160,1960,2.2699668041559965e-56,0,,183,100
117,1170,1970,8.350741193906328e-57,0,,183,100
118,1180,1980,1.7504104453945203e-57,0,,183,100
119,1190,1990,6.420043129631079e-52,0,,183,100
120,1200,2000,1.3192917263933556e-54,0,,182,100
121,1210,2010,9.973538080154028e-58,0,,183,100
122,1220,2020,3.402498207362511e-53,0,,183,100
123,1230,2030,2.1260262983203066e-50,0,,182,100
124,1240,2040,4.500797708863072e-50,0,,181,100
125,1250,2050,1.1267526592544995e-51,0,,180,100
126,1260,2060,2.702939116697347e-51,0,,180,100
127,1270,2070,1.0377033238158346e-53,0,,179,100
128,1280,2080,5.100071961364906e-50,0,,181,100
129,1290,2090,2.0372165985332952e-48,0,,182,100
130,1300,2100,8.05734794840647e-48,0,,180,100
131,1310,2110,4.838813551584914e-49,0,,183,100
132,1320,2120,9.040093856516769e-49,0,,184,100
133,1330,2130,1.6394154456135243e-51,0,,183,100
134,1340,2140,3.855535580235479e-53,0,,184,100
135,1350,2150,1.3591231412083083e-51,0,,183,100
136,1360,2160,6.568366737910325e-56,0,,183,100
137,1370,2170,4.9017634183877866e-54,0,,180,100
138,1380,2180,4.965532222661231e-59,0,,178,100
139,1390,2190,4.758108906060828e-57,0,,179,100
140,1400,2200,6.503563781040887e-57,0,,179,100
141,1410,2210,4.425730695059567e-58,0,,180,100
142,1420,2220,7.442934608238681e-56,0,,180,100
143,1430,2230,2.111398028137322e-57,0,,181,100
144,1440,2240,2.738102624354434e-56,0,,182,100
145,1450,2250,6.568366737910325e-56,0,,179,100
146,1460,2260,7.767399266816433e-58,0,,177,100
147,1470,2270,6.85470579410336e-58,0,,177,100
148,1480,2280,1.963906091075951e-58,0,,177,100
149,1490,2290,1.1911692570339557e-58,0,,177,100
150,1500,2300,7.369503237907921e-57,0,,176,100
151,1510,2310,3.86716038337486e-59,0,,176,100
152,1520,2320,1.6281353348738125e-58,0,,176,100
153,1530,2330,1.8818685779482273e-56,0,,176,100
154,1540,2340,1.6607431911105877e-56,0,,177,100
155,1550,2350,1.117316820074052e-55,0,,176,100
156,1560,2360,2.0464371400785116e-57,0,,175,100
157,1570,2370,3.446762530975544e-58,0,,174,100
158,1580,2380,1.4656007221435504e-56,0,,175,100
159,1590,2390,5.921562208533638e-57,0,,176,100
160,1600,2400,8.093815897644677e-57,0,,177,100
161,1610,2410,5.072610515380488e-60,0,,177,100
162,1620,2420,2.627677301514581e-57,0,,176,100
163,1630,2430,3.7112011326114445e-60,0,,176,100
164,1640,2440,1.9034830528613376e-58,0,,177,100
165,1650,2450,9.476884088987779e-60,0,,175,100
166,1660,2460,4.611717285012036e-57,0,,176,100
167,1670,2470,1.6443584376887666e-57,0,,177,100
168,1680,2480,1.2030383326033842e-57,0,,177,100
169,1690,2490,1.2787013871901122e-54,0,,177,100
170,1700,2500,3.124172839240114e-49,0,,177,100
171,1710,2510,2.48557656240774e-50,0,,178,100
172,1720,2520,4.463106381475695e-54,0,,176,100
173,1730,2530,1.0480432306731404e-52,0,,179,100
174,1740,2540,1.7451486577199502e-51,0,,177,100
175,1750,2550,3.9327532090303444e-51,0,,176,100
176,1760,2560,1.6747683139672404e-52,0,,175,100
177,1770,2570,2.292585258569191e-55,0,,176,100
178,1780,2580,5.445367284615269e-56,0,,174,100
