window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.7786276058905367e-23,0,,164,100
1,10,810,5.581022737390293e-22,0,,164,100
2,20,820,5.619689396832022e-15,0,,160,100
3,30,830,5.692797958514094e-20,0,,154,100
4,40,840,1.5941831731372974e-16,0,,155,100
5,50,850,6.731998448546458e-22,0,,158,100
6,60,860,4.766521372725868e-19,0,,157,100
7,70,870,1.7508676899854716e-16,0,,159,100
8,80,880,3.8623522725779546e-15,0,,158,100
9,90,890,4.37661850287085e-15,0,,157,100
10,100,900,7.194133030325383e-09,0,,155,100
11,110,910,2.067368194863644e-15,0,,156,100
12,120,920,1.449336997733435e-13,0,,156,100
13,130,930,3.967001651986409e-06,0,,155,100
14,140,940,3.939706424252185e-13,0,,157,100
15,150,950,9.173890754179198e-16,0,,158,100
16,160,960,1.3750926572355787e-12,0,,158,100
17,170,970,6.16273773263482e-12,0,,159,100
18,180,980,2.825757287115611e-15,0,,161,100
19,190,990,2.172439935079017e-10,0,,161,100
20,200,1000,4.5674112617763464e-17,0,,162,100
21,210,1010,4.910429870159114e-16,0,,161,100
22,220,1020,9.991171568224243e-20,0,,162,100
23,230,1030,1.2577028886936912e-21,0,,161,100
24,240,1040,2.4279377436242744e-24,0,,160,100
25,250,1050,7.281290178321643e-33,0,,160,100
26,260,1060,3.5083220783201285e-31,0,,158,100
27,270,1070,6.343195121175439e-28,0,,158,100
28,280,1080,1.0458160720483223e-27,0,,159,100
29,290,1090,1.6572140060412714e-31,0,,160,100
30,300,1100,4.346504878218876e-22,0,,159,100
31,310,1110,7.331736696974105e-26,0,,160,100
32,320,1120,3.6392839776971724e-21,0,,160,100
33,330,1130,2.7512138983304072e-24,0,,160,100
34,340,1140,7.727593625528352e-27,0,,159,100
35,350,1150,4.828530764558679e-24,0,,159,100
36,360,1160,3.221340285992516e-27,0,,158,100
37,370,1170,5.454994842887922e-18,0,,159,100
38,380,1180,8.993766029028821e-18,0,,159,100
39,390,1190,1.3216242702440463e-16,0,,159,100
40,400,1200,2.543665647376923e-13,0,,157,100
41,410,1210,1.166329324870997e-16,0,,157,100
42,420,1220,4.277787868968998e-11,0,,156,100
43,430,1230,4.111452592548034e-15,0,,157,100
44,440,1240,1.8795288165390832e-12,0,,157,100
45,450,1250,2.1119495703943118e-16,0,,159,100
46,460,1260,1.1176086870894152e-14,0,,158,100
47,470,1270,1.5784550952858365e-17,0,,158,100
48,480,1280,1.392981732458623e-17,0,,157,100
49,490,1290,1.1513509855710022e-11,0,,156,100
50,500,1300,0.000315137974737356,0,,156,100
51,510,1310,4.222851277057527e-06,0,,153,100
52,520,1320,5.058683183027784e-13,0,,156,100
53,530,1330,3.775134544279098e-11,0,,155,100
54,540,1340,1.4449802461092448e-07,0,,154,100
55,550,1350,2.730584904405392e-09,0,,152,100
56,560,1360,1.0030150942450052e-06,0,,151,100
57,570,1370,3.900837610180715e-14,0,,153,100
58,580,1380,1.3709590863840842e-06,0,,152,100
59,590,1390,2.853913761591079e-14,0,,154,100
60,600,1400,6.023573837886479e-08,0,,153,100
61,610,1410,3.522009381982337e-18,0,,154,100
62,620,1420,2.5946094982764667e-11,0,,153,100
63,630,1430,1.7886239494585953e-17,0,,153,100
64,640,1440,1.898256859952468e-11,0,,153,100
65,650,1450,1.304651588236747e-11,0,,153,100
66,660,1460,1.3085852357321768e-17,0,,153,100
67,670,1470,7.144633303166281e-16,0,,153,100
68,680,1480,4.705308323479026e-14,0,,154,100
69,690,1490,2.8172629737368306e-09,0,,154,100
70,700,1500,5.263340161707315e-09,0,,152,100
71,710,1510,9.736200313009565e-10,0,,155,100
72,720,1520,3.2563132514430866e-07,0,,155,100
73,730,1530,9.76555587454154e-16,0,,155,100
74,740,1540,1.0571701315726883e-07,0,,154,100
75,750,1550,1.5275899568992458e-14,0,,156,100
76,760,1560,2.0067804543947087e-18,0,,156,100
77,770,1570,3.951585010418958e-19,0,,156,100
78,780,1580,2.5946094982764667e-11,0,,156,100
79,790,1590,6.367942346736252e-15,0,,157,100
80,800,1600,3.2661313427874473e-13,0,,155,100
81,810,1610,2.200701987975367e-15,0,,157,100
82,820,1620,1.3887943864964021e-11,0,,159,100
83,830,1630,1.3440409951135022e-08,0,,158,100
84,840,1640,4.7379078241571714e-07,0,,159,100
85,850,1650,6.16273773263482e-12,0,,161,100
