window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0160636785541307e-11,0,,164,100
1,10,810,4.944450501938644e-09,0,,164,100
2,20,820,4.450852500419419e-07,0,,160,100
3,30,830,1.3709590863840842e-06,0,,154,100
4,40,840,9.422454817328475e-07,0,,155,100
5,50,850,7.734421907141565e-08,0,,158,100
6,60,860,2.2603294069810542e-06,0,,157,100
7,70,870,2.5612887709420388e-06,0,,159,100
8,80,880,1.994733700481656e-06,0,,158,100
9,90,890,5.715007736466721e-07,0,,157,100
10,100,900,1.777886794572054e-05,0,,155,100
11,110,910,1.0783428504061669e-05,0,,156,100
12,120,920,0.049787068367863944,1,,156,100
13,130,930,0.11219689052034373,1,,155,100
14,140,940,0.04677062238395899,1,,157,100
15,150,950,0.07243975703425146,1,,158,100
16,160,960,0.036424997337364234,1,,158,100
17,170,970,0.002054957731209459,1,,159,100
18,180,980,0.04677062238395899,1,,161,100
19,190,990,0.05641613950377735,1,,161,100
20,200,1000,0.010435936462774504,1,,162,100
21,210,1010,0.006737946999085467,1,,161,100
22,220,1020,0.0038391664740261636,1,,162,100
23,230,1030,7.031678677199808e-05,0,,161,100
24,240,1040,7.338215190190347e-07,0,,160,100
25,250,1050,1.7257827987960214e-08,0,,160,100
26,260,1060,4.406940761911853e-08,0,,158,100
27,270,1070,3.3215298167313715e-05,0,,158,100
28,280,1080,0.00021659095137688503,0,,159,100
29,290,1090,7.411334799450557e-06,0,,160,100
30,300,1100,9.02885414350579e-05,0,,159,100
31,310,1110,4.006529739295107e-05,0,,160,100
32,320,1120,8.481823524646917e-05,0,,160,100
33,330,1130,0.00020346836901064417,0,,160,100
34,340,1140,9.02885414350579e-05,0,,159,100
35,350,1150,8.398142563157736e-06,0,,159,100
36,360,1160,8.398142563157736e-06,0,,158,100
37,370,1170,0.00010231032105679591,0,,159,100
38,380,1180,0.00020346836901064417,0,,159,100
39,390,1190,0.0003570981085762476,0,,159,100
40,400,1200,0.0004585230476630206,0,,157,100
