window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.009803655035821828,1,,164,100
1,10,810,0.0012463948683920495,1,,164,100
2,20,820,0.0003801289578694637,0,,160,100
3,30,830,0.09301448921066348,1,,154,100
4,40,840,0.15335496684492847,1,,155,100
5,50,850,0.32465246735834974,1,,158,100
6,60,860,1.892550641405186e-05,0,,157,100
7,70,870,0.0680508540250102,1,,159,100
8,80,880,0.00016868120253849865,0,,158,100
9,90,890,0.025034510149960148,1,,157,100
10,100,900,0.25283959580474646,1,,155,100
11,110,910,0.4723665527410147,1,,156,100
12,120,920,0.5028315779709409,1,,156,100
13,130,930,0.4168620196785084,1,,155,100
14,140,940,0.2865047968601901,1,,157,100
15,150,950,0.4168620196785084,1,,158,100
16,160,960,0.26914634872918386,1,,158,100
17,170,970,0.25283959580474646,1,,159,100
18,180,980,0.2865047968601901,1,,161,100
19,190,990,0.391605626676799,1,,161,100
20,200,1000,0.10539922456186433,1,,162,100
21,210,1010,0.025034510149960148,1,,161,100
22,220,1020,0.04393693362340742,1,,162,100
23,230,1030,0.004350345551108769,1,,161,100
24,240,1040,0.017205950425851383,1,,160,100
25,250,1050,0.0012463948683920495,1,,160,100
26,260,1060,0.25283959580474646,1,,158,100
27,270,1070,0.015184197956837946,1,,158,100
28,280,1080,0.1737739434504451,1,,159,100
29,290,1090,0.03421811831166603,1,,160,100
30,300,1100,0.6065306597126334,1,,159,100
31,310,1110,0.014264233908999256,1,,160,100
32,320,1120,0.1737739434504451,1,,160,100
33,330,1130,0.00920968160396814,1,,160,100
34,340,1140,0.009803655035821828,1,,159,100
35,350,1150,0.007172507245008699,1,,159,100
36,360,1160,0.026649097336355485,1,,158,100
37,370,1170,0.15335496684492847,1,,159,100
38,380,1180,0.017205950425851383,1,,159,100
39,390,1190,0.16324551245395838,1,,159,100
40,400,1200,0.00033546262790251185,0,,157,100
41,410,1210,0.14406365910145327,1,,157,100
42,420,1220,0.010435936462774504,1,,156,100
43,430,1230,0.03421811831166603,1,,157,100
44,440,1240,0.23752081909545814,1,,157,100
45,450,1250,0.06392786120670757,1,,159,100
46,460,1260,0.07711171996831671,1,,158,100
47,470,1270,0.001033297638647637,1,,158,100
48,480,1280,3.5008666704259795e-06,0,,157,100
49,490,1290,0.025034510149960148,1,,156,100
50,500,1300,0.44374731008107987,1,,156,100
51,510,1310,0.1353352832366127,1,,153,100
52,520,1320,0.0010999396107533182,1,,156,100
