window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,10,810,1.8553913626159784e-07,0,,153,100
2,20,820,2.646573638909117e-09,0,,153,100
3,30,830,1.0,1,,152,100
4,40,840,0.004630918733533246,1,,153,100
5,50,850,5.715007736466721e-07,0,,151,100
6,60,860,1.0,1,,151,100
7,70,870,1.0,1,,152,100
8,80,880,1.0,1,,151,100
9,90,890,1.186112015134383e-08,0,,152,100
10,100,900,0.2865047968601901,1,,153,100
11,110,910,0.0014123504170288816,1,,153,100
12,120,920,8.764248219443636e-08,0,,154,100
13,130,930,0.0011708796207911744,1,,154,100
14,140,940,1.994733700481656e-06,0,,155,100
15,150,950,1.0,1,,155,100
16,160,960,2.902320408650404e-06,0,,154,100
17,170,970,2.335593038799337e-09,0,,155,100
18,180,980,1.0,1,,155,100
19,190,990,1.2751905914873347e-07,0,,157,100
20,200,1000,9.056076989672867e-11,0,,157,100
21,210,1010,1.0,1,,157,100
22,220,1020,4.363462252943702e-09,0,,160,100
23,230,1030,4.139937718785167e-08,0,,157,100
24,240,1040,1.0,1,,153,100
25,250,1050,4.363462252943702e-09,0,,151,100
26,260,1060,1.0,1,,148,100
27,270,1070,1.0,1,,145,100
28,280,1080,2.215948977336598e-08,0,,145,100
29,290,1090,0.019496896108597995,1,,144,100
30,300,1100,1.522997974471263e-08,0,,140,100
31,310,1110,0.002054957731209459,1,,138,100
32,320,1120,1.0,1,,135,100
33,330,1130,1.0,1,,133,100
34,340,1140,0.0002960447300568554,0,,132,100
35,350,1150,2.061153622438558e-09,0,,130,100
36,360,1160,1.0,1,,127,100
37,370,1170,1.6373771305908126e-07,0,,126,100
38,380,1180,1.994733700481656e-06,0,,125,100
39,390,1190,2.1445408316589164e-05,0,,122,100
40,400,1200,2.1233829711794397e-06,0,,119,100
41,410,1210,7.194133030325383e-09,0,,117,100
42,420,1220,2.1024338523818466e-07,0,,116,100
43,430,1230,4.944450501938644e-09,0,,115,100
44,440,1240,0.07243975703425146,1,,111,100
45,450,1250,4.691164021834418e-08,0,,109,100
46,460,1260,9.237449661970594e-09,0,,108,100
47,470,1270,1.0,1,,105,100
48,480,1280,8.152020714470167e-09,0,,105,100
49,490,1290,2.646573638909117e-09,0,,103,100
50,500,1300,2.2603294069810542e-06,0,,101,100
