window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,10,810,5.715007736466721e-07,0,,153,100
2,20,820,1.1253517471925912e-07,0,,153,100
3,30,830,0.32465246735834974,1,,152,100
4,40,840,2.1087728885906676e-13,0,,153,100
5,50,850,0.0002960447300568554,0,,151,100
6,60,860,0.008651695203120634,1,,151,100
7,70,870,0.0680508540250102,1,,152,100
8,80,880,0.4723665527410147,1,,151,100
9,90,890,3.927863545481039e-07,0,,152,100
10,100,900,4.139937718785167e-08,0,,153,100
11,110,910,2.1445408316589164e-05,0,,153,100
12,120,920,1.103256032343554e-09,0,,154,100
13,130,930,6.205434652598976e-05,0,,154,100
14,140,940,1.0677040100347827e-06,0,,155,100
15,150,950,0.004929587331545052,1,,155,100
16,160,960,1.8370862266141198e-08,0,,154,100
17,170,970,1.8581863473258776e-10,0,,155,100
18,180,980,6.893615207401087e-07,0,,155,100
19,190,990,4.139937718785167e-08,0,,157,100
20,200,1000,8.507397021943229e-11,0,,157,100
21,210,1010,0.060054667895307945,1,,157,100
22,220,1020,1.3867054361168895e-08,0,,160,100
23,230,1030,7.65811474749932e-09,0,,157,100
24,240,1040,0.10539922456186433,1,,153,100
25,250,1050,1.4449802461092448e-07,0,,151,100
26,260,1060,0.4723665527410147,1,,148,100
27,270,1070,0.1737739434504451,1,,145,100
28,280,1080,2.1024338523818466e-07,0,,145,100
29,290,1090,2.6769712448812988e-11,0,,144,100
30,300,1100,1.5079722038360346e-09,0,,140,100
31,310,1110,0.0004585230476630206,0,,138,100
32,320,1120,0.0029899458563130603,1,,135,100
33,330,1130,0.00010231032105679591,0,,133,100
34,340,1140,5.446789730843917e-15,0,,132,100
35,350,1150,2.8496210568585866e-11,0,,130,100
36,360,1160,0.000315137974737356,0,,127,100
37,370,1170,6.835885550466474e-11,0,,126,100
38,380,1180,7.433680672352188e-12,0,,125,100
39,390,1190,1.0677040100347827e-06,0,,122,100
40,400,1200,1.2626096677664469e-08,0,,119,100
41,410,1210,4.3204126993085624e-10,0,,117,100
42,420,1220,1.304651588236747e-11,0,,116,100
43,430,1230,2.129785170955785e-12,0,,115,100
44,440,1240,1.6586783589142312e-12,0,,111,100
45,450,1250,3.894970178482089e-11,0,,109,100
46,460,1260,2.9989608248573072e-09,0,,108,100
47,470,1270,0.002187491118182885,1,,105,100
48,480,1280,1.162823303022097e-10,0,,105,100
49,490,1290,4.959358486191753e-15,0,,103,100
50,500,1300,3.587143520077099e-13,0,,101,100
