window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.11943296826671962,1,,182,100
1,10,810,5.3157852544244216e-08,0,,184,100
2,20,820,6.962304723487946e-06,0,,185,100
3,30,830,1.0,1,,182,100
4,40,840,4.7379078241571714e-07,0,,180,100
5,50,850,2.4061081290604234e-06,0,,178,100
6,60,860,2.358865407619506e-08,0,,177,100
7,70,870,1.036413128411301e-09,0,,174,100
8,80,880,3.8127508250269574e-10,0,,172,100
9,90,890,8.481823524646917e-05,0,,171,100
10,100,900,1.2501528663867428e-09,0,,167,100
11,110,910,1.304651588236747e-11,0,,165,100
12,120,920,9.02885414350579e-05,0,,164,100
13,130,930,0.3455907525769745,1,,162,100
14,140,940,1.2219225328134202e-05,0,,158,100
15,150,950,1.4449802461092448e-07,0,,157,100
16,160,960,0.022092877665062446,1,,153,100
17,170,970,4.1811889795500234e-07,0,,151,100
18,180,980,1.8370862266141198e-08,0,,150,100
19,190,990,8.152020714470167e-09,0,,146,100
20,200,1000,1.892550641405186e-05,0,,144,100
21,210,1010,1.653692320715034e-06,0,,141,100
22,220,1020,2.061153622438558e-09,0,,140,100
23,230,1030,1.7429788826727442e-07,0,,137,100
24,240,1040,5.547519716492686e-10,0,,136,100
25,250,1050,1.1496191848799524e-08,0,,135,100
26,260,1060,2.0408184531908878e-10,0,,132,100
27,270,1070,2.4862258480890196e-09,0,,129,100
28,280,1080,8.66472822477561e-06,0,,129,100
29,290,1090,7.734421907141565e-08,0,,127,100
30,300,1100,0.04393693362340742,1,,124,100
31,310,1110,2.215948977336598e-08,0,,122,100
32,320,1120,0.0031827807965096673,1,,120,100
33,330,1130,7.65811474749932e-09,0,,120,100
34,340,1140,2.1940866100643185e-09,0,,116,100
35,350,1150,3.1923771805723365e-09,0,,116,100
36,360,1160,1.994733700481656e-06,0,,114,100
37,370,1170,0.00013136905262640898,0,,109,100
38,380,1180,8.233249263085099e-08,0,,109,100
39,390,1190,0.004086771438464067,1,,106,100
40,400,1200,0.0005195746821548384,0,,103,100
41,410,1210,1.8189616875530459e-09,0,,103,100
42,420,1220,0.20961138715109784,1,,100,100
