window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.6918979226151304e-10,0,,182,100
1,10,810,4.37661850287085e-15,0,,184,100
2,20,820,1.2956748432442393e-18,0,,185,100
3,30,830,8.152020714470167e-09,0,,182,100
4,40,840,8.25807328555592e-14,0,,180,100
5,50,850,2.9783262686202286e-16,0,,178,100
6,60,860,8.095930175212601e-16,0,,177,100
7,70,870,5.9821282237671354e-15,0,,174,100
8,80,880,1.34809340538292e-14,0,,172,100
9,90,890,4.86198397975995e-17,0,,171,100
10,100,900,6.242911005540393e-17,0,,167,100
11,110,910,8.201253044288238e-21,0,,165,100
12,120,920,5.824319868470494e-24,0,,164,100
13,130,930,1.7656539221911676e-12,0,,162,100
14,140,940,1.9614643309355633e-14,0,,158,100
15,150,950,2.8910413527337883e-19,0,,157,100
16,160,960,5.058683183027784e-13,0,,153,100
17,170,970,6.181318967705965e-18,0,,151,100
18,180,980,2.8063144697336614e-22,0,,150,100
19,190,990,3.6392839776971724e-21,0,,146,100
20,200,1000,6.914400106940203e-13,0,,144,100
21,210,1010,3.4767787164951853e-13,0,,141,100
22,220,1020,3.749159471376913e-18,0,,140,100
23,230,1030,1.1099189036438807e-21,0,,137,100
24,240,1040,2.6102790696677047e-23,0,,136,100
25,250,1050,7.804593088173665e-26,0,,135,100
26,260,1060,1.4251640827409352e-21,0,,132,100
27,270,1070,2.0593339470250527e-28,0,,129,100
28,280,1080,2.100577732998967e-26,0,,129,100
29,290,1090,2.1458752494156608e-27,0,,127,100
30,300,1100,7.382532721164985e-19,0,,124,100
31,310,1110,6.2186496792912045e-30,0,,122,100
32,320,1120,1.290639565621842e-31,0,,120,100
33,330,1130,8.985825944049381e-37,0,,120,100
34,340,1140,4.372754635084738e-34,0,,116,100
35,350,1150,1.1277482841331691e-32,0,,116,100
36,360,1160,1.4393647348287895e-20,0,,114,100
37,370,1170,9.669209717057444e-17,0,,109,100
38,380,1180,2.2842723125319504e-27,0,,109,100
39,390,1190,9.698363295629092e-23,0,,106,100
40,400,1200,9.961137798972855e-14,0,,103,100
41,410,1210,3.4528565013882866e-20,0,,103,100
42,420,1220,7.507751520922312e-11,0,,100,100
