window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.4616969518153846e-10,0,,182,100
1,10,810,9.450864406622024e-13,0,,184,100
2,20,820,3.701011678592672e-13,0,,185,100
3,30,830,1.004526048703832e-09,0,,182,100
4,40,840,3.160881454313692e-10,0,,180,100
5,50,850,2.8823507934443873e-13,0,,178,100
6,60,860,1.8064461965456932e-16,0,,177,100
7,70,870,2.0879679116459336e-14,0,,174,100
8,80,880,4.959358486191753e-15,0,,172,100
9,90,890,8.533047625744066e-17,0,,171,100
10,100,900,5.806811783679692e-18,0,,167,100
11,110,910,8.905034285609392e-19,0,,165,100
12,120,920,5.525960833850248e-23,0,,164,100
13,130,930,5.124493412989058e-18,0,,162,100
14,140,940,1.4828213355760045e-17,0,,158,100
15,150,950,2.3035631938631488e-23,0,,157,100
16,160,960,1.0741521727433002e-18,0,,153,100
17,170,970,2.349698337452817e-21,0,,151,100
18,180,980,6.4064001290282526e-27,0,,150,100
19,190,990,8.225980595143903e-27,0,,146,100
20,200,1000,1.5628821893349888e-18,0,,144,100
21,210,1010,9.602680054508676e-24,0,,141,100
22,220,1020,3.290806277274912e-28,0,,140,100
23,230,1030,2.6971951988989904e-26,0,,137,100
24,240,1040,4.1774976453852733e-26,0,,136,100
25,250,1050,2.484030900561122e-28,0,,135,100
26,260,1060,1.3697487445079347e-25,0,,132,100
27,270,1070,8.670119759891107e-28,0,,129,100
28,280,1080,1.2740647981735315e-26,0,,129,100
29,290,1090,6.333654025686761e-25,0,,127,100
30,300,1100,2.8910413527337883e-19,0,,124,100
31,310,1110,1.9345652105305685e-28,0,,122,100
32,320,1120,7.393653860613912e-22,0,,120,100
33,330,1130,1.3164881474367883e-29,0,,120,100
34,340,1140,7.331736696974105e-26,0,,116,100
35,350,1150,2.5845262746855705e-24,0,,116,100
36,360,1160,1.4393647348287895e-20,0,,114,100
37,370,1170,3.567828469473658e-23,0,,109,100
38,380,1180,2.879806129711015e-32,0,,109,100
39,390,1190,4.6088494773722954e-35,0,,106,100
40,400,1200,1.9403981069634266e-34,0,,103,100
41,410,1210,5.238257017524754e-41,0,,103,100
42,420,1220,1.2779062236142682e-32,0,,100,100
