window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.31,1,,182,100
1,10,810,0.04,1,,184,100
2,20,820,0.71,1,,185,100
3,30,830,0.97,1,,182,100
4,40,840,0.91,1,,180,100
5,50,850,0.05,1,,178,100
6,60,860,0.0,0,,177,100
7,70,870,0.87,1,,174,100
8,80,880,0.0,0,,172,100
9,90,890,0.02,1,,171,100
10,100,900,0.0,0,,167,100
11,110,910,0.1,1,,165,100
12,120,920,0.0,0,,164,100
13,130,930,0.0,0,,162,100
14,140,940,0.02,1,,158,100
15,150,950,0.07,1,,157,100
16,160,960,0.02,1,,153,100
17,170,970,0.0,0,,151,100
18,180,980,0.0,0,,150,100
19,190,990,0.01,1,,146,100
20,200,1000,0.0,0,,144,100
21,210,1010,0.0,0,,141,100
22,220,1020,0.0,0,,140,100
23,230,1030,0.0,0,,137,100
24,240,1040,0.05,1,,136,100
25,250,1050,0.0,0,,135,100
26,260,1060,0.71,1,,132,100
27,270,1070,0.0,0,,129,100
28,280,1080,0.01,1,,129,100
29,290,1090,0.01,1,,127,100
30,300,1100,0.81,1,,124,100
31,310,1110,0.05,1,,122,100
32,320,1120,0.89,1,,120,100
33,330,1130,0.03,1,,120,100
34,340,1140,0.1,1,,116,100
35,350,1150,0.01,1,,116,100
36,360,1160,0.11,1,,114,100
37,370,1170,0.0,0,,109,100
38,380,1180,0.0,0,,109,100
39,390,1190,0.0,0,,106,100
40,400,1200,0.0,0,,103,100
41,410,1210,0.0,0,,103,100
42,420,1220,0.9,1,,100,100
