window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9258311875939802,1,,137,100
1,11,811,7.943116621260341e-16,0,,136,100
2,14,814,6.818660119174685e-18,0,,135,100
3,19,819,2.2322074275808833e-06,0,,133,100
4,25,825,0.0005123261317765672,0,,131,100
5,33,833,9.597179822702907e-14,0,,129,100
6,40,840,3.1923128569186926e-05,0,,128,100
7,51,851,0.0005364320703083424,0,,126,100
8,56,856,1.2619014114632843e-06,0,,125,100
9,65,865,9.52156894478087e-06,0,,124,100
10,69,869,2.4496797891596096e-19,0,,123,100
11,73,873,0.005537056540979913,1,,122,100
12,81,881,2.4494446011744507e-18,0,,121,100
13,86,886,3.8569690377651554e-05,0,,120,100
14,89,889,5.150099639849107e-06,0,,119,100
15,97,897,1.8471212196474618e-08,0,,118,100
16,101,901,0.00012460066180725087,0,,117,100
17,104,904,0.0013909607148475964,1,,117,100
18,111,911,0.9906718937568716,1,,116,100
19,120,920,0.003470184194294073,1,,113,100
20,129,929,0.0026299342139062968,1,,112,100
21,134,934,6.048615261203847e-07,0,,111,100
22,138,938,0.001846333180810618,1,,110,100
23,144,944,2.843238805343552e-24,0,,109,100
24,154,954,5.671765164009934e-22,0,,108,100
25,161,961,6.218504104581769e-09,0,,107,100
26,165,965,2.2424041094180818e-10,0,,106,100
27,170,970,0.001962677680738024,1,,105,100
28,181,981,0.0032608517349533646,1,,104,100
29,188,988,2.2800079806979255e-11,0,,103,100
30,195,995,0.0019389213846683075,1,,102,100
31,198,998,5.085717548665774e-07,0,,101,100
32,202,1002,0.01958952389366267,1,,101,100
