window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9710083419138525,1,,153,100
1,12,812,3.1585426333542215e-17,0,,152,100
2,15,815,0.3399530633834716,1,,152,100
3,22,822,7.079313084742736e-05,0,,154,100
4,31,831,9.181172420702834e-21,0,,152,100
5,36,836,2.020583439955917e-10,0,,152,100
6,39,839,2.005672065563789e-07,0,,151,100
7,47,847,4.551928733228864e-19,0,,151,100
8,50,850,8.042784461669016e-62,0,,151,100
9,54,854,0.00030970109096878725,0,,151,100
10,61,861,0.8220158131908079,1,,153,100
11,71,871,1.79805705933602e-07,0,,152,100
12,73,873,3.048350057221346e-14,0,,152,100
13,78,878,0.0013224834262412553,1,,151,100
14,81,881,6.707543315734112e-10,0,,151,100
15,86,886,1.2565722543221366e-11,0,,151,100
16,95,895,7.772890979353916e-16,0,,152,100
17,99,899,3.2127578222379455e-07,0,,152,100
18,110,910,5.493043248076533e-19,0,,153,100
19,124,924,0.00016455596473848602,0,,155,100
20,130,930,1.0802554246808898e-21,0,,154,100
21,135,935,4.219764179319098e-15,0,,154,100
22,148,948,0.0029775572168833243,1,,155,100
23,151,951,3.4468454724441703e-26,0,,155,100
24,156,956,3.5242044830202965e-08,0,,154,100
25,159,959,1.2777305379700307e-22,0,,153,100
26,163,963,1.703657412511898e-16,0,,154,100
27,172,972,3.208682561719856e-09,0,,155,100
28,180,980,0.9645350757618631,1,,155,100
29,193,993,0.0011686658878525178,1,,156,100
30,203,1003,0.0013238541361373867,1,,157,100
31,211,1011,0.9402009290591397,1,,158,100
32,222,1022,1.1170980060060259e-08,0,,157,100
33,226,1026,4.24380340679272e-05,0,,157,100
34,233,1033,3.585954911824221e-08,0,,156,100
35,236,1036,1.516264545088975e-07,0,,155,100
36,241,1041,6.308516235087836e-10,0,,153,100
37,247,1047,9.71854378340006e-12,0,,151,100
38,255,1055,1.2329253636348525e-09,0,,149,100
39,262,1062,0.00020212944000070205,0,,147,100
40,271,1071,0.7772455040803072,1,,146,100
41,283,1083,2.1928804954856987e-06,0,,145,100
42,295,1095,0.0004578166764606116,0,,141,100
43,302,1102,7.415667974197e-05,0,,139,100
44,307,1107,0.9974004263913283,1,,139,100
45,314,1114,2.988824965105988e-39,0,,137,100
46,317,1117,2.020227599431e-43,0,,136,100
47,321,1121,1.1304926800834307e-27,0,,135,100
48,331,1131,1.007482075521527e-08,0,,133,100
49,335,1135,2.7056942425526443e-15,0,,132,100
50,338,1138,1.4210905128664447e-05,0,,132,100
51,345,1145,5.4238848839792225e-19,0,,130,100
52,353,1153,6.959915247032725e-89,0,,129,100
53,356,1156,0.21372290435531344,1,,129,100
54,361,1161,5.873379675785875e-23,0,,127,100
55,365,1165,1.0611691277065394e-18,0,,126,100
56,374,1174,1.264123364197168e-08,0,,125,100
57,377,1177,3.25751195349346e-10,0,,126,100
58,387,1187,2.3805795986976306e-11,0,,123,100
59,390,1190,3.969664948954614e-21,0,,122,100
60,393,1193,9.06505773458842e-08,0,,121,100
61,397,1197,0.005208714603059346,1,,119,100
62,405,1205,9.490131487265318e-12,0,,118,100
63,408,1208,5.691808342731739e-07,0,,117,100
64,412,1212,1.6655015943413515e-19,0,,116,100
65,422,1222,7.047475619765884e-19,0,,115,100
66,435,1235,0.9710725258969304,1,,111,100
67,439,1239,5.8788560019051924e-24,0,,110,100
68,445,1245,7.76914512568868e-21,0,,109,100
69,455,1255,4.334160766910935e-22,0,,108,100
70,462,1262,2.851314361331627e-18,0,,107,100
71,466,1266,4.689704309198909e-11,0,,106,100
72,471,1271,4.668659622607379e-08,0,,105,100
73,482,1282,2.1576255517790463e-18,0,,104,100
74,489,1289,1.6848005240659814e-14,0,,103,100
75,495,1295,4.8290059925727115e-11,0,,102,100
76,498,1298,6.876553394501655e-11,0,,101,100
77,507,1307,4.8459802842116537e-23,0,,100,100
