window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4739141857293957,1,,185,100
1,5,805,1.9519235000646337e-06,0,,181,100
2,9,809,0.3748529050379023,1,,181,100
3,14,814,7.757620959289232e-13,0,,179,100
4,17,817,3.6066227111292353e-14,0,,178,100
5,20,820,9.520715627662144e-06,0,,178,100
6,30,830,6.741016703705066e-05,0,,175,100
7,32,832,4.1123365462788927e-19,0,,174,100
8,38,838,1.201772013986937e-05,0,,173,100
9,42,842,3.312907353000839e-10,0,,172,100
10,49,849,0.00020164992157857957,0,,168,100
11,54,854,1.1629068054255826e-05,0,,164,100
12,57,857,2.0525794453386182e-08,0,,163,100
13,64,864,3.404930516765353e-08,0,,161,100
14,67,867,3.3231401942296617e-11,0,,160,100
15,70,870,1.2776491532354156e-07,0,,159,100
16,74,874,6.413539461382182e-10,0,,158,100
17,79,879,8.191311307243797e-10,0,,157,100
18,82,882,4.773722294722954e-55,0,,156,100
19,88,888,5.087068852923716e-08,0,,156,100
20,98,898,5.683561823925726e-09,0,,153,100
21,101,901,2.447786693871409e-22,0,,152,100
22,109,909,3.5712680331408036e-10,0,,150,100
23,112,912,1.5595375681037333e-06,0,,150,100
24,119,919,0.00010966359530666273,0,,147,100
25,123,923,8.499647649400093e-08,0,,146,100
26,129,929,3.0757146830971145e-06,0,,145,100
27,138,938,0.394947887372313,1,,141,100
28,143,943,0.09303644395611943,1,,137,100
29,146,946,1.4628103997521204e-09,0,,136,100
30,156,956,3.573856144888038e-12,0,,134,100
31,159,959,2.141466978884288e-06,0,,134,100
32,165,965,0.00011659685012839691,0,,131,100
33,168,968,5.775696167859664e-22,0,,130,100
34,176,976,8.86556978283768e-19,0,,128,100
35,179,979,1.359770814597934e-07,0,,127,100
36,182,982,4.6518929744854807e-38,0,,126,100
37,186,986,2.2128357847573028e-05,0,,125,100
38,192,992,7.319951302440564e-22,0,,124,100
39,195,995,0.17898828397463545,1,,125,100
40,209,1009,2.1380468967748958e-05,0,,121,100
41,213,1013,2.870101447158465e-16,0,,120,100
42,217,1017,3.660619058550889e-08,0,,119,100
43,224,1024,2.64499411773246e-79,0,,118,100
44,231,1031,0.7829970464118535,1,,113,100
45,236,1036,4.74062323836112e-39,0,,109,100
46,241,1041,1.6500287899161878e-29,0,,106,100
47,248,1048,2.902780489985966e-36,0,,105,100
48,250,1050,1.8644106865481122e-16,0,,104,100
49,255,1055,2.5799923497428357e-40,0,,103,100
50,263,1063,7.653604726111507e-70,0,,102,100
51,267,1067,0.0007057250766790987,0,,102,100
52,274,1074,3.263937861103586e-12,0,,100,100
