window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4293650245417009,1,,162,100
1,6,806,9.369725778873762e-22,0,,160,100
2,8,808,2.879242867602332e-41,0,,159,100
3,16,816,6.042642176110946e-05,0,,159,100
4,21,821,2.8364891258616984e-34,0,,157,100
5,24,824,1.582859023000156e-21,0,,156,100
6,26,826,0.15071099829649845,1,,156,100
7,35,835,1.7971135705296274e-10,0,,153,100
8,40,840,0.08450646376798043,1,,150,100
9,45,845,6.409911101250322e-12,0,,148,100
10,49,849,3.523280186367325e-98,0,,147,100
11,54,854,9.528744396938533e-13,0,,147,100
12,61,861,1.5072107465001253e-21,0,,145,100
13,65,865,5.941577352331666e-40,0,,144,100
14,70,870,0.06610092905606686,1,,144,100
15,81,881,0.23110309138017837,1,,140,100
16,87,887,2.6831953396596117e-34,0,,139,100
17,93,893,6.993436824007824e-07,0,,138,100
18,96,896,4.857421659098104e-34,0,,137,100
19,102,902,1.0108666931841683e-05,0,,136,100
20,106,906,6.919528544259547e-05,0,,136,100
21,114,914,5.009925328835843e-07,0,,134,100
22,119,919,9.584662543622073e-47,0,,133,100
23,122,922,0.0009317674632338883,0,,132,100
24,127,927,3.295191764714534e-21,0,,129,100
25,131,931,1.1825476024602753e-11,0,,129,100
26,140,940,2.512098839994946e-06,0,,126,100
27,146,946,0.07928906260251095,1,,126,100
28,151,951,1.653935816756606e-09,0,,124,100
29,155,955,1.2252157229512548e-130,0,,123,100
30,159,959,6.929128800048901e-08,0,,122,100
31,165,965,6.550840890205711e-37,0,,121,100
32,167,967,0.0005889407149983469,0,,120,100
33,173,973,3.393927104253808e-13,0,,117,100
34,182,982,2.3063606610887768e-33,0,,115,100
35,186,986,1.4797901760368975e-06,0,,114,100
36,190,990,1.5175023101806133e-18,0,,113,100
37,194,994,1.73135238376525e-05,0,,112,100
38,198,998,7.324067974703143e-24,0,,111,100
39,201,1001,1.14211987936205e-18,0,,111,100
40,208,1008,0.013784266815612475,1,,110,100
41,216,1016,0.07353307181525885,1,,106,100
42,220,1020,2.286712118877864e-23,0,,105,100
43,226,1026,4.738583291870257e-07,0,,104,100
44,229,1029,4.58525832662887e-25,0,,103,100
45,233,1033,1.8832228175958842e-05,0,,102,100
46,238,1038,0.00045636724705635227,0,,102,100
47,249,1049,6.413583260648866e-06,0,,100,100
