window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.014742438178669754,1,,182,100
1,10,810,1.0798925315153918e-86,0,,184,100
2,13,813,2.322860588884232e-46,0,,184,100
3,20,820,1.6922358313018907e-10,0,,185,100
4,25,825,2.6543252597723866e-07,0,,185,100
5,31,831,0.1347652623648502,1,,181,100
6,40,840,1.0950537978888697e-79,0,,180,100
7,43,843,3.056620170926661e-53,0,,179,100
8,50,850,3.363873378730437e-27,0,,178,100
9,55,855,1.1385370359667746e-06,0,,177,100
10,65,865,0.32652121957303337,1,,174,100
11,72,872,2.6192980443670664e-33,0,,173,100
12,75,875,2.829467924393034e-79,0,,172,100
13,82,882,5.260471000575907e-69,0,,171,100
14,87,887,0.0017307493925168812,1,,170,100
15,96,896,0.24688588773444756,1,,167,100
16,104,904,3.1068988478879537e-24,0,,166,100
17,107,907,1.0623817685368317e-80,0,,165,100
18,114,914,3.3225204069604194e-58,0,,164,100
19,119,919,6.222651401394972e-07,0,,163,100
20,132,932,0.9319305755205075,1,,160,100
21,137,937,7.479643777310765e-12,0,,159,100
22,140,940,3.3186047078160134e-51,0,,158,100
23,147,947,7.392344507137328e-10,0,,157,100
24,152,952,0.0002568079857977726,0,,156,100
25,160,960,0.0019563104919522244,1,,153,100
26,167,967,1.4522181872962458e-05,0,,152,100
27,170,970,6.979410778633579e-07,0,,151,100
28,177,977,2.134424851349977e-07,0,,150,100
29,182,982,1.7397190470155967e-10,0,,150,100
30,189,989,0.003298568277661037,1,,146,100
31,201,1001,4.643730413591625e-06,0,,144,100
32,209,1009,2.7085117685463194e-07,0,,141,100
33,217,1017,6.819377749025885e-11,0,,140,100
34,223,1023,5.0292244273802984e-20,0,,139,100
35,230,1030,1.0818014123661307e-07,0,,137,100
36,238,1038,1.205296361930914e-05,0,,136,100
37,245,1045,5.237923683704938e-10,0,,135,100
38,248,1048,3.327656408503488e-05,0,,134,100
39,254,1054,4.96249001754487e-08,0,,133,100
40,258,1058,3.644483687953638e-06,0,,132,100
41,265,1065,0.019260222631376625,1,,129,100
42,274,1074,0.588641519717074,1,,130,100
43,287,1087,3.0695586920524244e-06,0,,127,100
44,293,1093,5.080597695880796e-06,0,,127,100
45,301,1101,0.07822547396895689,1,,123,100
46,308,1108,2.9355749549086464e-16,0,,122,100
47,315,1115,1.8870870006437643e-07,0,,121,100
48,321,1121,0.000288895918831511,0,,120,100
49,326,1126,0.006630169877674298,1,,120,100
50,336,1136,0.1273931694909523,1,,116,100
51,343,1143,3.2967480450205847e-07,0,,116,100
52,354,1154,1.8513821132082453e-10,0,,115,100
53,364,1164,3.384031735943412e-07,0,,111,100
54,367,1167,5.1354676753631776e-15,0,,110,100
55,371,1171,2.450695008141159e-38,0,,109,100
56,376,1176,4.5560669682314505e-09,0,,108,100
57,379,1179,0.012538682027723813,1,,108,100
58,390,1190,0.001648446956992784,1,,106,100
59,397,1197,2.3735279995789396e-08,0,,104,100
60,401,1201,1.7336238621357172e-08,0,,105,100
61,412,1212,1.2307702181161877e-07,0,,102,100
62,415,1215,0.0008668003989054678,0,,102,100
