window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.569425197996635e-12,0,,179,100
1,5,805,9.578245860662316e-36,0,,177,100
2,8,808,5.501794450124902e-41,0,,177,100
3,13,813,4.700057149493149e-14,0,,178,100
4,17,817,0.1948350290747626,1,,176,100
5,30,830,0.00446195309537991,1,,178,100
6,39,839,0.909794168411875,1,,178,100
7,48,848,2.6815293404825265e-21,0,,179,100
8,53,853,0.0004646025164210176,0,,180,100
9,57,857,6.90302358390649e-14,0,,178,100
10,64,864,0.005708339662807235,1,,178,100
11,73,873,0.9835297979614477,1,,176,100
12,80,880,6.123606058748403e-15,0,,175,100
13,83,883,2.2213313199717424e-07,0,,175,100
14,88,888,0.0008613557610304349,0,,174,100
15,91,891,5.605888225679429e-10,0,,174,100
16,97,897,2.3670602949588204e-14,0,,174,100
17,105,905,5.661502772374986e-11,0,,174,100
18,114,914,5.301042809448345e-09,0,,173,100
19,119,919,1.1014768622224066e-06,0,,173,100
20,128,928,2.64526859218277e-07,0,,172,100
21,134,934,0.0005716794809949059,0,,171,100
22,137,937,0.5466927923915859,1,,170,100
23,148,948,0.0053582326954427235,1,,170,100
24,153,953,5.088770462596091e-07,0,,169,100
25,163,963,2.340604356296463e-11,0,,169,100
26,170,970,7.237593816747807e-05,0,,171,100
27,173,973,2.8444591636649355e-08,0,,170,100
28,180,980,0.002043250410183546,1,,172,100
29,185,985,1.4472508925367335e-08,0,,172,100
30,190,990,4.195737204785396e-18,0,,173,100
31,193,993,3.835382775978649e-07,0,,171,100
32,196,996,7.951817404713012e-14,0,,171,100
33,198,998,1.2289215043113984e-05,0,,170,100
34,207,1007,0.005553281037338069,1,,170,100
35,215,1015,9.824877513483825e-05,0,,169,100
36,219,1019,1.297545127783664e-29,0,,169,100
37,223,1023,1.7800597127666184e-12,0,,169,100
38,232,1032,1.8232509225479075e-19,0,,169,100
39,243,1043,5.441005714317026e-12,0,,171,100
40,246,1046,2.0812403308760875e-17,0,,170,100
41,262,1062,0.0008318196616433825,0,,172,100
42,266,1066,1.3099955824495957e-09,0,,172,100
43,269,1069,1.539748024588085e-06,0,,172,100
44,273,1073,0.0036697199171288786,1,,172,100
45,281,1081,4.80590095509309e-05,0,,169,100
46,284,1084,0.9569209875782416,1,,171,100
47,298,1098,0.00016146632559542869,0,,171,100
48,303,1103,0.0002011501379465806,0,,170,100
49,313,1113,0.00010604316051777278,0,,171,100
50,323,1123,4.425635967967342e-06,0,,173,100
51,329,1129,2.4001808156967897e-05,0,,172,100
52,333,1133,3.669494886138469e-05,0,,171,100
53,340,1140,2.054451509269099e-20,0,,172,100
54,343,1143,0.00013007137678257315,0,,173,100
55,351,1151,0.9413290683611246,1,,170,100
56,354,1154,0.5680586905488719,1,,169,100
57,359,1159,0.0016964538689469215,1,,168,100
58,368,1168,0.04799757632358292,1,,168,100
59,377,1177,1.0403977017604768e-06,0,,166,100
60,381,1181,1.2273794110516896e-25,0,,165,100
61,385,1185,1.5309685582476857e-11,0,,164,100
62,389,1189,0.007509348346668519,1,,163,100
63,399,1199,1.0684931215058658e-05,0,,162,100
64,408,1208,5.3980931118986e-06,0,,161,100
65,411,1211,4.4771429482630616e-06,0,,160,100
66,415,1215,0.9771150280792714,1,,158,100
67,424,1224,0.2698343267684886,1,,157,100
68,427,1227,0.8124822539639075,1,,156,100
69,431,1231,0.0001892892287420907,0,,155,100
70,438,1238,0.05785659403124412,1,,154,100
71,446,1246,3.7528825568252595e-06,0,,152,100
72,449,1249,0.00038448529238901676,0,,151,100
73,454,1254,5.244490874524002e-11,0,,150,100
74,459,1259,6.8910989722527555e-06,0,,150,100
75,470,1270,6.311767966854932e-08,0,,148,100
76,474,1274,5.9110205854279394e-08,0,,147,100
77,478,1278,0.9644615717728551,1,,147,100
78,486,1286,0.2485120729833147,1,,144,100
79,489,1289,0.05503262066869201,1,,143,100
80,493,1293,0.051194457788674576,1,,142,100
81,500,1300,3.2836427919690834e-18,0,,141,100
82,503,1303,0.004467527526961883,1,,140,100
83,509,1309,1.639589021364314e-11,0,,139,100
84,513,1313,5.523122121947498e-43,0,,138,100
85,516,1316,1.6466386338995529e-31,0,,137,100
86,520,1320,0.18400412556401474,1,,137,100
87,530,1330,1.1463445675432225e-13,0,,135,100
88,533,1333,8.85434003953022e-15,0,,134,100
89,537,1337,0.03881727889966679,1,,134,100
90,543,1343,0.0003895795195124801,0,,132,100
91,547,1347,0.22901319966348838,1,,130,100
92,559,1359,0.1711761966664998,1,,127,100
93,562,1362,0.07101314846162059,1,,127,100
94,569,1369,2.064897729779107e-08,0,,125,100
95,574,1374,0.0011246088060028313,1,,125,100
96,585,1385,2.4742475288113972e-20,0,,123,100
97,588,1388,2.021077636014684e-14,0,,122,100
98,591,1391,1.5776174187670797e-05,0,,121,100
99,594,1394,6.2435374130771e-08,0,,121,100
100,600,1400,8.121261624789479e-14,0,,119,100
101,604,1404,8.772413137597371e-05,0,,118,100
102,607,1407,6.49621216380076e-06,0,,116,100
103,622,1422,0.0008328366594239612,0,,113,100
104,625,1425,0.6292159866838529,1,,113,100
105,636,1436,1.8289282297094479e-06,0,,110,100
106,639,1439,3.3767201531637565e-11,0,,109,100
107,643,1443,1.4468469758713781e-05,0,,108,100
108,651,1451,5.940466528202738e-08,0,,107,100
109,655,1455,3.1474405692661295e-06,0,,106,100
110,662,1462,1.8240565250007822e-09,0,,105,100
111,669,1469,1.945728980120738e-09,0,,104,100
112,672,1472,5.806074119569576e-09,0,,103,100
113,677,1477,8.166049906263377e-11,0,,101,100
114,686,1486,9.192441803596422e-14,0,,100,100
