window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.1904973363252195e-19,0,,137,100
1,11,811,9.047084358854506e-21,0,,136,100
2,14,814,2.7382348962180025e-25,0,,135,100
3,19,819,5.669394034789115e-20,0,,133,100
4,25,825,9.422899666374774e-05,0,,131,100
5,33,833,0.002195604101774098,1,,129,100
6,40,840,1.8493096236588753e-07,0,,128,100
7,51,851,0.0004871568405228315,0,,126,100
8,56,856,0.001709693243915731,1,,125,100
9,65,865,3.9134711851134555e-08,0,,124,100
10,69,869,1.1141920508405574e-05,0,,123,100
11,73,873,0.005561534188670243,1,,122,100
12,81,881,0.0008252009852266736,0,,121,100
13,86,886,3.79715212207019e-05,0,,120,100
14,89,889,0.0007099398342608633,0,,119,100
15,97,897,4.179583418149671e-22,0,,118,100
16,101,901,2.9205271895040383e-19,0,,117,100
17,104,904,7.028557240713146e-27,0,,117,100
18,111,911,4.24702564630706e-18,0,,116,100
19,120,920,1.2673795159850576e-11,0,,113,100
20,129,929,1.5020933847226153e-09,0,,112,100
21,134,934,0.012383716827595655,1,,111,100
22,138,938,0.0018656142729719491,1,,110,100
23,144,944,5.153860295372763e-05,0,,109,100
24,154,954,1.6230699753124552e-06,0,,108,100
25,161,961,0.0003203025512616176,0,,107,100
26,165,965,4.7384834981504344e-07,0,,106,100
27,170,970,8.742463026306344e-05,0,,105,100
28,181,981,7.363895477403599e-05,0,,104,100
29,188,988,2.316549687246701e-09,0,,103,100
30,195,995,3.3519224951227935e-05,0,,102,100
31,198,998,4.314397866926704e-05,0,,101,100
32,202,1002,3.978534167487121e-07,0,,101,100
