window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.6662615984109235e-22,0,,164,100
1,3,803,1.6466037898144794e-23,0,,163,100
2,13,813,1.6268401186194517e-33,0,,163,100
3,18,818,9.613781349008015e-57,0,,162,100
4,21,821,9.355390511579516e-55,0,,160,100
5,27,827,1.7122678020508296e-35,0,,155,100
6,31,831,1.2884415887038376e-44,0,,157,100
7,41,841,7.896871964065665e-31,0,,156,100
8,53,853,5.231801737945007e-32,0,,158,100
9,56,856,6.369849682459171e-29,0,,156,100
10,60,860,1.5120944927399514e-32,0,,157,100
11,69,869,6.035556377197017e-20,0,,159,100
12,76,876,1.422049096495313e-21,0,,158,100
13,83,883,5.730610746941994e-22,0,,157,100
14,86,886,1.5992018999594897e-14,0,,156,100
15,95,895,1.578355374412037e-05,0,,157,100
16,100,900,1.704347236634191e-13,0,,155,100
17,103,903,1.5294575157170085e-67,0,,155,100
18,107,907,2.4238553152070994e-09,0,,155,100
19,114,914,6.783405651707815e-10,0,,155,100
20,117,917,2.914985533163863e-09,0,,155,100
21,123,923,6.568363775987737e-05,0,,156,100
22,131,931,1.9803542957114776e-13,0,,156,100
23,134,934,2.170149864347949e-15,0,,157,100
24,142,942,1.8115926269380103e-08,0,,157,100
25,152,952,1.4180371162668553e-08,0,,158,100
26,156,956,7.75032432499414e-05,0,,157,100
27,160,960,2.0035653783449518e-06,0,,158,100
28,167,967,2.167080761854519e-05,0,,158,100
29,170,970,0.00014238735403531601,0,,159,100
30,179,979,2.414644196812547e-08,0,,161,100
31,183,983,3.597992550552238e-07,0,,160,100
32,193,993,1.8844535176070325e-06,0,,161,100
33,199,999,2.4262874418359957e-09,0,,160,100
34,205,1005,3.1880398206826785e-07,0,,161,100
35,210,1010,3.120473682855808e-06,0,,161,100
36,220,1020,5.144322079389829e-08,0,,162,100
37,225,1025,1.2660239862840433e-17,0,,161,100
38,230,1030,6.299489771546971e-19,0,,161,100
39,239,1039,2.8495677961552246e-24,0,,161,100
40,243,1043,1.990032434604118e-19,0,,160,100
41,246,1046,1.6102938892546272e-17,0,,160,100
