window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.1268006028160625e-12,0,,182,100
1,10,810,8.961008681336178e-76,0,,184,100
2,13,813,7.725706426884213e-101,0,,184,100
3,20,820,3.364351996981504e-37,0,,185,100
4,25,825,5.093099917917268e-43,0,,185,100
5,31,831,1.9522979397479585e-13,0,,181,100
6,40,840,1.6183277432400572e-92,0,,180,100
7,43,843,1.0904826487569304e-91,0,,179,100
8,50,850,3.80749182722967e-26,0,,178,100
9,55,855,3.0218636417880194e-15,0,,177,100
10,65,865,1.3751066569387898e-14,0,,174,100
11,72,872,4.4575948919071645e-101,0,,173,100
12,75,875,2.2496944991077625e-129,0,,172,100
13,82,882,1.5352690674212703e-81,0,,171,100
14,87,887,7.270154756543662e-22,0,,170,100
15,96,896,1.0424812720110324e-41,0,,167,100
16,104,904,4.569734842287507e-74,0,,166,100
17,107,907,3.2993637955848465e-79,0,,165,100
18,114,914,2.5122737010435937e-66,0,,164,100
19,119,919,4.664222424931187e-44,0,,163,100
20,132,932,4.4162461654017355e-33,0,,160,100
21,137,937,6.193197825871753e-59,0,,159,100
22,140,940,4.8933108453212714e-60,0,,158,100
23,147,947,1.581623438536722e-58,0,,157,100
24,152,952,9.679213711609174e-59,0,,156,100
25,160,960,9.224144525181494e-47,0,,153,100
26,167,967,8.787658745437282e-61,0,,152,100
27,170,970,8.708935961722541e-75,0,,151,100
28,177,977,1.1236415618767689e-77,0,,150,100
29,182,982,7.65943069414872e-79,0,,150,100
30,189,989,1.3613286460561518e-43,0,,146,100
31,201,1001,1.0141800812378393e-47,0,,144,100
32,209,1009,3.9490913324971847e-54,0,,141,100
33,217,1017,5.119447126665347e-60,0,,140,100
34,223,1023,6.207543940898366e-78,0,,139,100
35,230,1030,8.008448925196597e-91,0,,137,100
36,238,1038,7.6837867065527265e-81,0,,136,100
37,245,1045,6.308353788664688e-91,0,,135,100
38,248,1048,6.419516892069163e-75,0,,134,100
39,254,1054,5.075517419070744e-64,0,,133,100
40,258,1058,5.3281179782728064e-83,0,,132,100
41,265,1065,2.9932044776590123e-52,0,,129,100
42,274,1074,5.073698447713719e-65,0,,130,100
43,287,1087,2.7406212240258516e-36,0,,127,100
44,293,1093,1.5143386582111643e-35,0,,127,100
45,301,1101,2.62997248323587e-41,0,,123,100
46,308,1108,2.7628028328996387e-37,0,,122,100
47,315,1115,4.240647792149192e-37,0,,121,100
48,321,1121,9.494661494077691e-35,0,,120,100
49,326,1126,3.833093553314567e-40,0,,120,100
50,336,1136,2.038142033426135e-30,0,,116,100
51,343,1143,6.220400240182237e-39,0,,116,100
52,354,1154,2.1358149859938787e-35,0,,115,100
53,364,1164,1.8105414781389847e-26,0,,111,100
54,367,1167,1.473772514449129e-35,0,,110,100
55,371,1171,1.5503814036539572e-28,0,,109,100
56,376,1176,7.838576073584275e-34,0,,108,100
57,379,1179,3.2426475880132634e-26,0,,108,100
58,390,1190,1.734132322520695e-28,0,,106,100
59,397,1197,1.8867827117781737e-27,0,,104,100
60,401,1201,2.2195562343735172e-34,0,,105,100
61,412,1212,6.620806462033684e-36,0,,102,100
62,415,1215,8.640867001704035e-38,0,,102,100
