window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.216429817731516e-48,0,,186,100
1,6,806,6.180914331596639e-48,0,,183,100
2,10,810,7.690596229536115e-50,0,,185,100
3,21,821,1.5430366434695565e-45,0,,186,100
4,25,825,2.8046086047942492e-46,0,,187,100
5,30,830,1.8089147937841036e-34,0,,186,100
6,44,844,1.0179034972874965e-24,0,,182,100
7,48,848,2.682248686826679e-27,0,,184,100
8,65,865,9.446572312856865e-29,0,,181,100
9,68,868,1.5809858912912406e-33,0,,179,100
10,88,888,5.584266897890232e-63,0,,183,100
11,98,898,2.2661644865267962e-101,0,,182,100
12,104,904,2.2761431139829353e-32,0,,183,100
13,109,909,1.1430337208679232e-37,0,,183,100
14,113,913,2.2034391977813578e-34,0,,181,100
15,119,919,2.116804419388151e-27,0,,181,100
16,123,923,2.1067589778229148e-26,0,,181,100
17,134,934,1.5220506920918123e-27,0,,183,100
18,138,938,6.725181952568568e-24,0,,182,100
19,143,943,7.082903496747296e-29,0,,181,100
20,163,963,7.394928126453152e-21,0,,178,100
21,167,967,6.422124642597693e-18,0,,179,100
22,180,980,1.2384236901152775e-40,0,,180,100
23,183,983,1.6869892620214809e-38,0,,182,100
24,191,991,1.861565166753408e-19,0,,183,100
25,194,994,2.3161663916120545e-16,0,,184,100
26,203,1003,1.1850155688979017e-14,0,,183,100
27,205,1005,1.8908359859917513e-13,0,,182,100
28,213,1013,2.1600723059240896e-09,0,,182,100
29,215,1015,5.743695589768863e-14,0,,181,100
30,218,1018,2.6036975830364455e-12,0,,181,100
31,223,1023,3.975587091511887e-11,0,,180,100
32,240,1040,3.150631073659708e-60,0,,179,100
33,251,1051,2.8504461621118428e-89,0,,177,100
34,257,1057,1.3929465752562228e-86,0,,175,100
35,262,1062,2.148396808187936e-87,0,,176,100
36,266,1066,8.468763762193299e-96,0,,176,100
37,276,1076,8.736384618578599e-144,0,,176,100
38,282,1082,2.0876116390593907e-126,0,,177,100
39,285,1085,6.548307234675772e-97,0,,176,100
40,292,1092,1.4357497837068582e-62,0,,176,100
41,303,1103,1.947296996900601e-65,0,,177,100
42,312,1112,9.893140653544277e-84,0,,175,100
43,316,1116,6.7076022308531276e-80,0,,176,100
44,326,1126,7.030530925277115e-70,0,,176,100
45,332,1132,3.1589434786731366e-60,0,,176,100
46,337,1137,3.34586438466893e-58,0,,176,100
47,340,1140,1.2883421147543867e-59,0,,177,100
48,349,1149,6.889276259573e-64,0,,177,100
49,353,1153,4.3040722263170415e-68,0,,176,100
50,369,1169,2.793571368698308e-61,0,,175,100
51,376,1176,6.173634351965455e-53,0,,175,100
52,384,1184,9.921002184586041e-54,0,,176,100
53,390,1190,1.9886381512940757e-50,0,,176,100
54,395,1195,1.7023387163130895e-66,0,,176,100
55,399,1199,4.960718443677173e-58,0,,175,100
56,405,1205,6.524011569254223e-54,0,,176,100
57,408,1208,2.4624545888159617e-48,0,,175,100
58,412,1212,1.387235920507449e-44,0,,175,100
59,419,1219,4.7285370744614625e-45,0,,175,100
60,426,1226,2.17535335444955e-36,0,,175,100
61,430,1230,2.902364605925637e-42,0,,174,100
62,440,1240,1.0724299705303436e-85,0,,173,100
63,446,1246,2.835188339399432e-118,0,,173,100
64,455,1255,1.566728531806974e-100,0,,172,100
65,460,1260,8.6454822752667e-140,0,,173,100
66,469,1269,7.141455373165613e-116,0,,172,100
67,473,1273,6.817183388862266e-118,0,,172,100
68,484,1284,1.0248541863029966e-50,0,,173,100
69,488,1288,2.9079860423947494e-71,0,,172,100
70,491,1291,3.671092884543379e-72,0,,172,100
71,495,1295,4.960422316534782e-75,0,,171,100
72,501,1301,2.4099530304239883e-53,0,,171,100
73,514,1314,1.862433392761555e-38,0,,172,100
74,522,1322,3.373773306712826e-27,0,,172,100
75,527,1327,4.1005987768472974e-22,0,,172,100
76,532,1332,2.1450612220118137e-32,0,,171,100
77,540,1340,3.489284705974336e-15,0,,171,100
78,544,1344,5.519428951974391e-20,0,,170,100
79,548,1348,2.508756983236171e-22,0,,172,100
80,557,1357,5.427028405582166e-23,0,,171,100
81,560,1360,4.152934136125066e-18,0,,171,100
82,565,1365,1.8723125323285528e-17,0,,170,100
83,583,1383,1.4670685330732049e-13,0,,170,100
84,593,1393,6.191193573270933e-52,0,,168,100
85,599,1399,3.5835973228121e-13,0,,168,100
86,603,1403,7.466315872569221e-24,0,,166,100
87,607,1407,4.868593191018836e-57,0,,165,100
88,614,1414,1.4527018912972982e-93,0,,165,100
89,621,1421,1.9779546528709695e-100,0,,167,100
90,624,1424,6.9044161541014945e-96,0,,169,100
91,634,1434,1.449388487045047e-82,0,,168,100
92,637,1437,2.610887834055024e-81,0,,168,100
93,643,1443,2.7067102201955243e-71,0,,168,100
94,653,1453,1.8231596995654182e-67,0,,168,100
95,663,1463,8.706291330370093e-16,0,,168,100
96,666,1466,4.531789223682146e-18,0,,168,100
97,677,1477,1.3478097527015583e-11,0,,169,100
98,680,1480,3.2287392589400886e-41,0,,169,100
99,685,1485,3.98087737444406e-24,0,,169,100
100,693,1493,2.8911311533374096e-30,0,,169,100
101,701,1501,8.2026301082994e-16,0,,169,100
102,704,1504,1.570471325077272e-09,0,,170,100
103,713,1513,3.3142781060982984e-11,0,,171,100
104,722,1522,1.205897427526926e-28,0,,168,100
105,733,1533,9.852825871396285e-30,0,,169,100
106,736,1536,1.0533325320070833e-12,0,,166,100
107,741,1541,1.1309200262120585e-09,0,,167,100
108,751,1551,1.091244722981867e-09,0,,167,100
