window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.2251007652943182e-20,0,,185,100
1,5,805,1.220586195322715e-11,0,,181,100
2,9,809,1.0562950673245618e-15,0,,181,100
3,14,814,8.644353765228134e-21,0,,179,100
4,17,817,1.7376026755016162e-29,0,,178,100
5,20,820,1.6286872047311733e-29,0,,178,100
6,30,830,9.682675114529434e-23,0,,175,100
7,32,832,8.813652190582988e-19,0,,174,100
8,38,838,3.2733517413410374e-21,0,,173,100
9,42,842,1.6181606553444142e-23,0,,172,100
10,49,849,2.8499521678975212e-06,0,,168,100
11,54,854,5.701719263659908e-06,0,,164,100
12,57,857,1.50845772210061e-11,0,,163,100
13,64,864,2.3299795995730623e-15,0,,161,100
14,67,867,2.4329635233378415e-18,0,,160,100
15,70,870,1.0290891615657408e-39,0,,159,100
16,74,874,1.1511765028439766e-32,0,,158,100
17,79,879,4.148785659895606e-37,0,,157,100
18,82,882,4.483089889089518e-25,0,,156,100
19,88,888,8.148651935318734e-28,0,,156,100
20,98,898,4.733129679735716e-17,0,,153,100
21,101,901,2.228191420874769e-18,0,,152,100
22,109,909,2.2553977517154132e-23,0,,150,100
23,112,912,5.12653092103757e-29,0,,150,100
24,119,919,1.3117680518532037e-48,0,,147,100
25,123,923,5.723185313707663e-51,0,,146,100
26,129,929,7.895144304497674e-216,0,,145,100
27,138,938,4.816247444486088e-31,0,,141,100
28,143,943,4.487118818212402e-32,0,,137,100
29,146,946,1.1524590954919634e-27,0,,136,100
30,156,956,2.2893736005580886e-36,0,,134,100
31,159,959,2.4978497414351893e-39,0,,134,100
32,165,965,2.1523440895483743e-34,0,,131,100
33,168,968,2.1515620576266924e-49,0,,130,100
34,176,976,5.657814733201716e-41,0,,128,100
35,179,979,1.8420817324149697e-69,0,,127,100
36,182,982,8.676954706160947e-49,0,,126,100
37,186,986,1.1252462234650559e-64,0,,125,100
38,192,992,1.2575415057375995e-66,0,,124,100
39,195,995,6.1747587080936e-63,0,,125,100
40,209,1009,4.28333831106381e-37,0,,121,100
41,213,1013,8.796190610002047e-55,0,,120,100
42,217,1017,1.0230246028928138e-31,0,,119,100
43,224,1024,3.893768413577698e-29,0,,118,100
44,231,1031,9.268489304640923e-15,0,,113,100
45,236,1036,8.257209558663522e-13,0,,109,100
46,241,1041,7.138317727520265e-22,0,,106,100
47,248,1048,9.559278201865147e-21,0,,105,100
48,250,1050,9.984767987177003e-24,0,,104,100
49,255,1055,3.6261011859877063e-19,0,,103,100
50,263,1063,1.78778790481922e-28,0,,102,100
51,267,1067,1.768065482243283e-33,0,,102,100
52,274,1074,1.1868236232510586e-35,0,,100,100
