window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.2544700754023398e-11,0,,177,100
1,5,805,2.5756066718103245e-10,0,,178,100
2,11,811,2.3188650234039887e-15,0,,178,100
3,15,815,2.600477330910287e-18,0,,178,100
4,21,821,7.29840908511087e-16,0,,177,100
5,27,827,1.581450598890517e-14,0,,178,100
6,31,831,7.97569544272364e-19,0,,178,100
7,35,835,3.8431340439931847e-17,0,,178,100
8,43,843,7.744772076106467e-20,0,,180,100
9,51,851,4.173803881423174e-23,0,,181,100
10,57,857,2.6125330247635562e-18,0,,180,100
11,60,860,2.3461780838351204e-15,0,,179,100
12,65,865,4.380342724973585e-18,0,,179,100
13,76,876,2.6622254035599476e-32,0,,180,100
14,78,878,2.6495917328951625e-21,0,,179,100
15,82,882,7.492218928287277e-21,0,,180,100
16,90,890,4.72162973252479e-23,0,,181,100
17,100,900,9.78365724088593e-19,0,,182,100
18,103,903,7.426974644931002e-11,0,,182,100
19,112,912,3.1945243254977536e-12,0,,181,100
20,116,916,8.044701191854329e-15,0,,183,100
21,126,926,3.101252231878948e-17,0,,184,100
22,129,929,1.7998544445323212e-11,0,,182,100
23,133,933,2.2036596188745694e-13,0,,183,100
24,145,945,1.9610073227617166e-13,0,,184,100
25,150,950,1.3262575188244515e-15,0,,184,100
26,154,954,3.961653152042101e-18,0,,183,100
27,158,958,1.514616383626407e-16,0,,183,100
28,162,962,4.097451244851925e-13,0,,183,100
29,170,970,1.8164510089399608e-13,0,,183,100
30,178,978,6.497627661675791e-13,0,,181,100
31,182,982,4.87358836805974e-12,0,,180,100
32,185,985,7.609718283391115e-11,0,,180,100
33,189,989,8.0896548120380705e-19,0,,180,100
34,197,997,1.0262001531297865e-14,0,,180,100
35,200,1000,6.791616434754027e-13,0,,180,100
36,202,1002,3.4359765412308933e-15,0,,180,100
37,208,1008,9.659802085903944e-16,0,,181,100
38,214,1014,7.376904218790644e-11,0,,181,100
39,219,1019,3.498559269056313e-20,0,,180,100
40,227,1027,3.9425695207480895e-14,0,,181,100
41,235,1035,6.445132620796757e-10,0,,182,100
42,240,1040,4.9243354723795944e-14,0,,182,100
43,248,1048,7.202686032749782e-17,0,,182,100
44,251,1051,1.473560279569292e-18,0,,182,100
45,255,1055,2.4143606340405466e-17,0,,182,100
46,262,1062,3.976071968438038e-19,0,,182,100
47,265,1065,5.628337287491095e-19,0,,182,100
48,275,1075,3.3584479342079476e-10,0,,183,100
49,279,1079,1.7780541264541063e-14,0,,182,100
50,282,1082,4.395840674092054e-19,0,,183,100
51,293,1093,6.475185013153119e-16,0,,180,100
52,297,1097,9.726665414332081e-16,0,,181,100
53,302,1102,2.3964958678186244e-17,0,,182,100
54,310,1110,2.6967546184415124e-08,0,,180,100
55,313,1113,5.473806210022397e-13,0,,180,100
56,317,1117,2.9161074967005207e-15,0,,180,100
57,321,1121,5.2566875624098245e-12,0,,179,100
58,324,1124,6.886659162221536e-11,0,,179,100
59,326,1126,3.0026523491694256e-13,0,,178,100
60,332,1132,1.4230412548970725e-15,0,,178,100
61,345,1145,9.10975240965737e-18,0,,178,100
62,348,1148,2.057429293033751e-19,0,,178,100
63,353,1153,6.804102708109868e-16,0,,177,100
64,358,1158,2.183396838885991e-15,0,,176,100
65,361,1161,1.1129846166051e-22,0,,176,100
66,366,1166,1.21861419948795e-22,0,,175,100
67,371,1171,1.094141687307229e-22,0,,176,100
68,374,1174,5.782134752378311e-23,0,,177,100
69,383,1183,6.992385354492346e-25,0,,176,100
70,385,1185,2.0439652674573982e-21,0,,176,100
71,393,1193,1.4207054731342863e-23,0,,176,100
72,396,1196,2.875930333805277e-19,0,,176,100
73,401,1201,4.417058310646445e-17,0,,176,100
74,408,1208,1.1845951580682997e-16,0,,174,100
75,411,1211,1.024591025382994e-23,0,,174,100
76,413,1213,4.604657453255988e-28,0,,174,100
77,419,1219,1.0795647798082927e-36,0,,176,100
78,427,1227,6.50923410869946e-28,0,,174,100
