window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.6158516824573155e-07,0,,182,100
1,10,810,1.3049996488101216e-27,0,,184,100
2,13,813,1.576813644164799e-15,0,,184,100
3,20,820,7.731388627279085e-14,0,,185,100
4,25,825,3.4812686419998246e-19,0,,185,100
5,31,831,1.0463800040645953e-12,0,,181,100
6,40,840,7.654805396291307e-48,0,,180,100
7,43,843,2.2677907875793387e-37,0,,179,100
8,50,850,1.5105907094423473e-24,0,,178,100
9,55,855,8.823044812758058e-19,0,,177,100
10,65,865,4.9832968670714686e-23,0,,174,100
11,72,872,1.302638357860141e-68,0,,173,100
12,75,875,2.3726496178390745e-61,0,,172,100
13,82,882,3.255312895302078e-35,0,,171,100
14,87,887,3.077199202740727e-38,0,,170,100
15,96,896,1.0168566422392679e-32,0,,167,100
16,104,904,1.5955947909801053e-65,0,,166,100
17,107,907,4.668360753188149e-82,0,,165,100
18,114,914,2.634312743438183e-44,0,,164,100
19,119,919,1.9455536058716318e-35,0,,163,100
20,132,932,3.3895492425594745e-21,0,,160,100
21,137,937,1.7213968361896896e-34,0,,159,100
22,140,940,4.641916049879642e-52,0,,158,100
23,147,947,1.768904532958168e-33,0,,157,100
24,152,952,2.708777499531837e-28,0,,156,100
25,160,960,6.1984337807539044e-21,0,,153,100
26,167,967,6.388487381378409e-30,0,,152,100
27,170,970,1.158929701736306e-25,0,,151,100
28,177,977,9.782630498915953e-34,0,,150,100
29,182,982,8.719536372060118e-37,0,,150,100
30,189,989,1.0130642648681235e-20,0,,146,100
31,201,1001,1.8813155403648974e-25,0,,144,100
32,209,1009,6.338898046989026e-29,0,,141,100
33,217,1017,2.66371360858089e-26,0,,140,100
34,223,1023,9.962946057965147e-27,0,,139,100
35,230,1030,1.902656183522304e-20,0,,137,100
36,238,1038,8.00189716401122e-24,0,,136,100
37,245,1045,2.3217405404226457e-23,0,,135,100
38,248,1048,1.2949502452302674e-34,0,,134,100
39,254,1054,1.3234503889064216e-21,0,,133,100
40,258,1058,2.260244707491791e-21,0,,132,100
41,265,1065,7.815506510963592e-17,0,,129,100
42,274,1074,1.2795672560840399e-27,0,,130,100
43,287,1087,2.274005634121208e-18,0,,127,100
44,293,1093,1.2690746424109627e-17,0,,127,100
45,301,1101,5.321669664238525e-29,0,,123,100
46,308,1108,8.178223939705633e-32,0,,122,100
47,315,1115,1.2918021117280513e-31,0,,121,100
48,321,1121,1.3193717922123135e-21,0,,120,100
49,326,1126,5.327000481760519e-27,0,,120,100
50,336,1136,7.150915618423795e-57,0,,116,100
51,343,1143,2.388233173145774e-66,0,,116,100
52,354,1154,1.6674336888556828e-67,0,,115,100
53,364,1164,5.903776294446477e-43,0,,111,100
54,367,1167,1.520236270393274e-71,0,,110,100
55,371,1171,3.745133023501294e-59,0,,109,100
56,376,1176,1.1119982006395983e-50,0,,108,100
57,379,1179,1.4520020479485237e-48,0,,108,100
58,390,1190,3.3566068526671753e-48,0,,106,100
59,397,1197,1.663005809261046e-51,0,,104,100
60,401,1201,3.52230109782897e-57,0,,105,100
61,412,1212,2.390206842501847e-75,0,,102,100
62,415,1215,1.2754486730734456e-77,0,,102,100
