window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0078360521959124,1,,150,100
1,15,815,5.5488203709854365e-11,0,,152,100
2,19,819,4.82922019540261e-10,0,,149,100
3,23,823,4.685219070045477e-18,0,,150,100
4,26,826,1.4507185993051163e-07,0,,150,100
5,33,833,1.4455017348204542e-07,0,,150,100
6,37,837,2.301926660188426e-06,0,,150,100
7,44,844,2.754006525773709e-07,0,,152,100
8,51,851,6.657976082215548e-19,0,,150,100
9,56,856,2.4325243734029234e-15,0,,151,100
10,59,859,5.626593994103759e-09,0,,150,100
11,67,867,0.9874001259382356,1,,150,100
12,81,881,5.213495200024228e-06,0,,151,100
13,85,885,0.8617165340123121,1,,152,100
14,95,895,1.902207652834347e-05,0,,150,100
15,104,904,0.9980324569746429,1,,151,100
16,109,909,0.8630374277933599,1,,150,100
17,113,913,0.8707677123543187,1,,151,100
18,123,923,0.8717297808840644,1,,151,100
19,134,934,0.8545387277649423,1,,151,100
20,138,938,0.861245293220403,1,,152,100
21,147,947,0.9987893532773859,1,,151,100
22,149,949,0.38114201251888125,1,,152,100
23,165,965,0.39111880313758185,1,,153,100
24,168,968,0.0016471424275174029,1,,153,100
25,175,975,0.26196171157329323,1,,153,100
26,180,980,0.9247678422303967,1,,153,100
27,185,985,0.937207176419134,1,,155,100
28,192,992,0.756421154990123,1,,155,100
29,196,996,8.242618395264974e-05,0,,154,100
30,202,1002,0.1461605553978485,1,,155,100
31,218,1018,0.8842459588922444,1,,155,100
32,226,1026,0.8104971618932535,1,,156,100
33,231,1031,0.8489803234740434,1,,155,100
34,236,1036,0.8212604309059529,1,,155,100
35,239,1039,0.4731464721026883,1,,154,100
36,250,1050,0.0015116414044502263,1,,155,100
37,254,1054,6.29670504046955e-08,0,,156,100
38,258,1058,0.0002613489022216827,0,,156,100
39,268,1068,0.00048563147677986796,0,,156,100
40,284,1084,3.2764791589048654e-07,0,,155,100
41,286,1086,1.2637467287202183e-13,0,,157,100
42,302,1102,0.9006771516272968,1,,157,100
43,305,1105,0.8637165100880684,1,,157,100
44,312,1112,0.990085435051076,1,,158,100
45,317,1117,0.9835996731650203,1,,159,100
46,322,1122,0.9572232637402837,1,,159,100
47,332,1132,0.5891884197746731,1,,159,100
48,336,1136,0.685159428836419,1,,157,100
49,342,1142,0.31319065968023135,1,,157,100
50,358,1158,0.7174145686480458,1,,159,100
51,366,1166,0.5664305666037855,1,,160,100
52,371,1171,0.8229528731464912,1,,160,100
53,376,1176,0.6991180252287437,1,,162,100
54,379,1179,0.9972431918125957,1,,161,100
55,390,1190,0.9996769913025951,1,,163,100
56,394,1194,0.999587484150822,1,,164,100
57,398,1198,0.9996939682665649,1,,162,100
58,408,1208,0.9996819695115479,1,,164,100
59,419,1219,0.9438121287913084,1,,163,100
60,422,1222,0.96568143785834,1,,163,100
61,432,1232,0.9626945648361549,1,,162,100
62,446,1246,0.11404264833014262,1,,164,100
63,453,1253,1.1673513720304967e-05,0,,165,100
64,459,1259,0.1106860051015436,1,,164,100
65,469,1269,0.0005081260567604227,0,,165,100
66,478,1278,0.0002217484402504368,0,,165,100
67,483,1283,2.6834468013470773e-05,0,,166,100
68,487,1287,0.0004879949632656233,0,,165,100
69,505,1305,7.0985920316452016e-09,0,,165,100
