window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,8.448474321407055e-12,0,,180,100
1,10,810,2.1440355517589804e-10,0,,181,100
2,12,812,1.5022637700405536e-24,0,,179,100
3,21,821,2.8832743523664004e-36,0,,180,100
4,27,827,6.210096759451763e-48,0,,179,100
5,32,832,2.829022668043211e-40,0,,179,100
6,35,835,4.177188904349597e-48,0,,180,100
7,39,839,2.473322419322515e-43,0,,180,100
8,50,850,8.648652583337771e-13,0,,181,100
9,53,853,5.131253540511155e-13,0,,182,100
10,67,867,4.4419264080712796e-11,0,,181,100
11,70,870,5.5305010467464655e-14,0,,183,100
12,80,880,1.3459700479734053e-13,0,,182,100
13,83,883,1.3652465109869249e-07,0,,182,100
14,95,895,2.041770808009072e-26,0,,181,100
15,99,899,2.004387121084268e-31,0,,180,100
16,104,904,1.5152367815268689e-33,0,,181,100
17,113,913,6.911214216331911e-80,0,,183,100
18,122,922,0.014300695697531209,1,,181,100
19,125,925,3.3413833676865613e-09,0,,181,100
20,135,935,2.4227444844572477e-49,0,,180,100
21,139,939,1.2113846946238944e-42,0,,181,100
22,147,947,1.126705590314376e-44,0,,180,100
23,150,950,6.601849547193051e-17,0,,180,100
24,158,958,2.728399635075305e-22,0,,181,100
25,161,961,1.1837795103983708e-07,0,,179,100
26,164,964,3.1463653619864754e-40,0,,181,100
27,168,968,1.2721453608502996e-38,0,,181,100
28,175,975,1.8626456751740905e-34,0,,181,100
29,178,978,8.908379601599076e-40,0,,182,100
30,182,982,2.733656308819022e-52,0,,181,100
31,188,988,3.1579423754939985e-99,0,,181,100
32,191,991,5.282526370001002e-102,0,,181,100
33,195,995,4.135007017237892e-09,0,,181,100
34,202,1002,2.5039564520950175e-08,0,,182,100
35,212,1012,5.13661593645228e-19,0,,181,100
36,215,1015,1.6687195279566947e-30,0,,182,100
37,225,1025,1.6693612279422012e-46,0,,182,100
38,229,1029,1.0700869272055156e-46,0,,182,100
39,232,1032,1.837584018552276e-54,0,,182,100
40,241,1041,2.0445542923085876e-28,0,,182,100
41,245,1045,1.706707587908638e-30,0,,180,100
42,256,1056,1.5474375168542865e-12,0,,183,100
43,260,1060,1.6282718800966664e-08,0,,182,100
44,262,1062,1.423186864566539e-29,0,,182,100
45,270,1070,2.580327748476916e-15,0,,183,100
46,273,1073,5.3651634572856245e-17,0,,184,100
47,287,1087,1.461174682237119e-43,0,,181,100
48,297,1097,0.00036847067849522894,0,,181,100
49,300,1100,2.598053177186352e-10,0,,179,100
50,302,1102,3.836362480127637e-11,0,,179,100
51,307,1107,6.300006421741949e-21,0,,179,100
52,317,1117,9.335550617883786e-23,0,,181,100
53,326,1126,1.3573397111736117e-14,0,,179,100
54,332,1132,2.2099541052336535e-11,0,,179,100
55,342,1142,3.030026389554407e-08,0,,180,100
56,345,1145,0.010457930350135702,1,,180,100
57,349,1149,0.3619534562921522,1,,180,100
58,358,1158,1.332351333255137e-11,0,,180,100
59,361,1161,3.000048592012352e-20,0,,181,100
60,363,1163,1.4593651638502214e-37,0,,180,100
61,368,1168,7.640452308529545e-42,0,,181,100
62,375,1175,1.9801809335021854e-65,0,,181,100
63,379,1179,0.00034325125839679396,0,,181,100
64,385,1185,0.1812147183856627,1,,182,100
65,388,1188,0.00011171483905010756,0,,182,100
66,392,1192,1.6555307125574784e-13,0,,182,100
67,399,1199,6.354940189442645e-12,0,,181,100
68,402,1202,3.56466564679287e-21,0,,180,100
69,407,1207,1.4672476209635088e-13,0,,181,100
70,411,1211,6.492996044355924e-12,0,,181,100
