window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6107083654043639,1,,150,100
1,15,815,8.077578324648786e-12,0,,152,100
2,19,819,2.5860749117467847e-26,0,,149,100
3,23,823,0.031159673364459788,1,,150,100
4,26,826,0.7862459460600921,1,,150,100
5,33,833,0.9276788372993641,1,,150,100
6,37,837,0.7644993396653391,1,,150,100
7,44,844,1.8162417446578264e-10,0,,152,100
8,51,851,5.9935122833190056e-12,0,,150,100
9,56,856,7.322933736209748e-42,0,,151,100
10,59,859,0.9975593269324251,1,,150,100
11,67,867,2.6321113874912542e-05,0,,150,100
12,81,881,1.50736544041007e-47,0,,151,100
13,85,885,1.544741125842468e-18,0,,152,100
14,95,895,9.295528874748946e-59,0,,150,100
15,104,904,0.9936996941255842,1,,151,100
16,109,909,5.0794821752492935e-11,0,,150,100
17,113,913,2.6627881717586063e-07,0,,151,100
18,123,923,1.9028633686260837e-24,0,,151,100
19,134,934,1.837114097451295e-16,0,,151,100
20,138,938,8.94436257084588e-30,0,,152,100
21,147,947,3.1396985193811584e-22,0,,151,100
22,149,949,3.9099337154857204e-10,0,,152,100
23,165,965,0.46715660616340443,1,,153,100
24,168,968,0.0021199373411402277,1,,153,100
25,175,975,6.543735543656769e-07,0,,153,100
26,180,980,0.9854759628383166,1,,153,100
27,185,985,0.8668250918413236,1,,155,100
28,192,992,0.9933958415554677,1,,155,100
29,196,996,0.44460399967942954,1,,154,100
30,202,1002,0.7382741264134105,1,,155,100
31,218,1018,3.2758156459166802e-12,0,,155,100
32,226,1026,1.881532820114358e-06,0,,156,100
33,231,1031,0.6860553565291984,1,,155,100
34,236,1036,0.9136829034484956,1,,155,100
35,239,1039,0.6049586202789775,1,,154,100
36,250,1050,0.8478483839811156,1,,155,100
37,254,1054,0.9884804198097191,1,,156,100
38,258,1058,1.7888542350873727e-05,0,,156,100
39,268,1068,5.411224228252924e-07,0,,156,100
40,284,1084,0.9863820219766591,1,,155,100
41,286,1086,2.5354870146515985e-06,0,,157,100
42,302,1102,0.901382283344607,1,,157,100
43,305,1105,0.011208571234845347,1,,157,100
44,312,1112,0.9900497378511055,1,,158,100
45,317,1117,0.7792813495068669,1,,159,100
46,322,1122,0.956730102909569,1,,159,100
47,332,1132,0.8386595225885167,1,,159,100
48,336,1136,0.9472116396625231,1,,157,100
49,342,1142,1.932250922122904e-05,0,,157,100
50,358,1158,3.355206927404786e-06,0,,159,100
51,366,1166,0.9852785877152693,1,,160,100
52,371,1171,1.599482225119982e-17,0,,160,100
53,376,1176,0.7517756910670524,1,,162,100
54,379,1179,7.739806332934618e-06,0,,161,100
55,390,1190,0.9802341538112479,1,,163,100
56,394,1194,0.21909996037023854,1,,164,100
57,398,1198,0.9641306317077073,1,,162,100
58,408,1208,0.9932190301047014,1,,164,100
59,419,1219,0.9298808457985848,1,,163,100
60,422,1222,6.08795435241542e-06,0,,163,100
61,432,1232,0.95346223972148,1,,162,100
62,446,1246,5.052023436615009e-17,0,,164,100
63,453,1253,1.623056632301395e-06,0,,165,100
64,459,1259,7.151186001946208e-07,0,,164,100
65,469,1269,1.8002372209628848e-07,0,,165,100
66,478,1278,1.5565877042405012e-11,0,,165,100
67,483,1283,1.4746933999544028e-11,0,,166,100
68,487,1287,0.8978082086794981,1,,165,100
69,505,1305,0.7826644680019716,1,,165,100
70,507,1307,1.8997835082484734e-06,0,,165,100
71,515,1315,0.9220880730702544,1,,165,100
72,519,1319,0.2791914442305472,1,,166,100
73,524,1324,0.9282730488802193,1,,167,100
74,527,1327,3.3845421696337536e-05,0,,164,100
75,531,1331,2.070157691385096e-05,0,,164,100
76,546,1346,0.2506504856108438,1,,165,100
77,550,1350,0.9768422166524076,1,,163,100
78,560,1360,1.9185763784651183e-06,0,,163,100
79,566,1366,0.9416114135919292,1,,163,100
80,569,1369,2.857428044676962e-07,0,,163,100
81,573,1373,0.023924920631111783,1,,164,100
82,586,1386,8.953962319563308e-07,0,,167,100
83,590,1390,0.995852014745458,1,,167,100
84,593,1393,3.6807246124665264e-06,0,,167,100
85,598,1398,0.9992908816590784,1,,167,100
86,601,1401,0.7924233425839644,1,,168,100
87,609,1409,7.320227243185004e-11,0,,167,100
88,612,1412,0.9985954079402805,1,,168,100
89,620,1420,6.38056181706151e-21,0,,167,100
90,635,1435,4.672977097320226e-06,0,,166,100
91,643,1443,2.402256718884403e-06,0,,167,100
92,648,1448,1.138467762998421e-05,0,,166,100
93,653,1453,8.181078778079764e-22,0,,165,100
94,662,1462,4.428650895697632e-07,0,,164,100
95,670,1470,0.6162558709510485,1,,163,100
96,679,1479,1.4427613905768785e-16,0,,162,100
97,685,1485,1.0974029191995743e-05,0,,161,100
98,693,1493,1.021345246551495e-11,0,,160,100
99,706,1506,0.9987072427024185,1,,156,100
100,711,1511,0.7461017755106683,1,,156,100
101,720,1520,1.3648040315226708e-05,0,,154,100
102,723,1523,0.9600534552627954,1,,155,100
103,732,1532,0.9860366795099311,1,,152,100
104,735,1535,1.873509480996273e-05,0,,151,100
105,739,1539,0.9581657020178799,1,,151,100
106,749,1549,0.9823648609849596,1,,151,100
107,757,1557,0.8217858796561497,1,,148,100
108,761,1561,2.5237498410230983e-05,0,,150,100
109,774,1574,0.698468179371964,1,,146,100
110,778,1578,2.2399659592985916e-05,0,,144,100
111,782,1582,0.979397789904867,1,,142,100
112,786,1586,3.4610082028948296e-06,0,,140,100
