window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.015498315905272e-06,0,,165,100
1,5,805,0.0018465219711723494,1,,164,100
2,15,815,0.49523682000564906,1,,164,100
3,18,818,2.6899946724101992e-06,0,,163,100
4,22,822,0.48162055417217536,1,,162,100
5,29,829,1.646489030740244e-07,0,,161,100
6,32,832,0.6714886438958806,1,,161,100
7,36,836,1.6943404290582228e-09,0,,161,100
8,43,843,0.6546414651759436,1,,162,100
9,51,851,0.7268548671690124,1,,160,100
10,54,854,1.9588291488123342e-08,0,,160,100
11,60,860,0.8473958750600996,1,,160,100
12,63,863,4.0637633353500356e-12,0,,160,100
13,68,868,0.48039624105627177,1,,161,100
14,70,870,6.788562474451718e-15,0,,160,100
15,75,875,0.7069013970618054,1,,160,100
16,83,883,4.0184526044950914e-14,0,,161,100
17,90,890,7.584919818411359e-09,0,,160,100
18,100,900,0.25596598507508744,1,,162,100
19,109,909,3.630197497827998e-08,0,,162,100
20,116,916,2.948380443764168e-07,0,,163,100
21,125,925,3.1560375333869136e-31,0,,164,100
22,138,938,0.31098364630134107,1,,160,100
23,146,946,2.7949445373598325e-12,0,,162,100
24,150,950,0.2134674416774854,1,,162,100
25,154,954,2.0847199253280727e-13,0,,162,100
26,161,961,2.3445000514729518e-11,0,,164,100
27,170,970,8.876763155501937e-12,0,,164,100
28,178,978,2.7270404231127984e-14,0,,164,100
29,182,982,0.4333601818697268,1,,165,100
30,190,990,0.5985125478171011,1,,167,100
31,199,999,4.669240989167918e-10,0,,166,100
32,203,1003,0.12309729427750873,1,,165,100
33,210,1010,1.805344347052432e-09,0,,167,100
34,214,1014,1.1823644764600411e-11,0,,167,100
35,224,1024,3.212565456158271e-10,0,,167,100
36,227,1027,0.22034703943986245,1,,167,100
37,235,1035,3.9998556055782815e-06,0,,170,100
38,238,1038,3.928976111439268e-06,0,,171,100
39,248,1048,7.182162708613818e-08,0,,169,100
40,252,1052,0.567147790166319,1,,169,100
41,256,1056,3.0242473738236434e-07,0,,169,100
42,267,1067,0.4615886997731468,1,,168,100
43,270,1070,6.748576308914638e-06,0,,167,100
44,277,1077,5.018902146869278e-07,0,,167,100
45,281,1081,8.003404613288609e-09,0,,167,100
46,291,1091,5.766490522048932e-07,0,,169,100
47,296,1096,1.1949728380608556e-06,0,,169,100
48,309,1109,0.0001484269442555162,0,,169,100
49,313,1113,4.9451867679182454e-20,0,,169,100
50,317,1117,5.05182190133183e-07,0,,169,100
51,324,1124,1.122521101244032e-16,0,,169,100
52,331,1131,5.858781333616381e-11,0,,170,100
53,334,1134,1.278883863042262e-07,0,,168,100
54,345,1145,0.5686783760333348,1,,166,100
55,353,1153,0.39840112654949555,1,,167,100
56,356,1156,0.1122885041638353,1,,165,100
57,364,1164,0.27142813611647804,1,,164,100
58,367,1167,0.4890503610157357,1,,162,100
59,371,1171,0.009524307154192784,1,,164,100
60,383,1183,0.028960621518813057,1,,162,100
61,390,1190,0.010999017808955,1,,162,100
62,397,1197,5.558749201740256e-10,0,,164,100
63,405,1205,0.003940694001871708,1,,163,100
64,411,1211,0.08584678624102868,1,,163,100
65,414,1214,0.13709648586895912,1,,163,100
66,421,1221,0.43094846248245355,1,,162,100
67,424,1224,0.0015195907182529555,1,,162,100
68,426,1226,0.474730140825354,1,,162,100
69,435,1235,0.026932632836918848,1,,162,100
70,438,1238,0.498739389476891,1,,162,100
71,442,1242,0.023102149184587313,1,,162,100
72,449,1249,1.8585385227834953e-08,0,,162,100
73,457,1257,0.00039335763893678813,0,,162,100
74,463,1263,3.304712434578137e-06,0,,161,100
75,469,1269,1.409226640145112e-07,0,,163,100
76,477,1277,0.006514436957894189,1,,162,100
77,480,1280,0.41515024110006066,1,,162,100
