window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.710438134713503,1,,164,100
1,3,803,1.4382705736669797e-06,0,,163,100
2,13,813,4.3846377208802015e-05,0,,163,100
3,18,818,9.671168985632929e-10,0,,162,100
4,21,821,0.6520210805344214,1,,160,100
5,27,827,0.5773577707244872,1,,155,100
6,31,831,7.04632721640729e-06,0,,157,100
7,41,841,0.03771146144355012,1,,156,100
8,53,853,8.319963993810611e-05,0,,158,100
9,56,856,0.17600998029250253,1,,156,100
10,60,860,0.00039743303588592416,0,,157,100
11,69,869,8.290953868075806e-05,0,,159,100
12,76,876,0.00019817245251256777,0,,158,100
13,83,883,0.05381353021699213,1,,157,100
14,86,886,0.00031630637207876453,0,,156,100
15,95,895,0.5470730237438357,1,,157,100
16,100,900,0.7556582971000774,1,,155,100
17,103,903,0.5210870566567586,1,,155,100
18,107,907,0.7914859987945413,1,,155,100
19,114,914,0.89885286016137,1,,155,100
20,117,917,0.650688562026222,1,,155,100
21,123,923,0.5398996715292712,1,,156,100
22,131,931,0.9266895614909902,1,,156,100
23,134,934,0.9130313338566006,1,,157,100
24,142,942,0.8663882797111949,1,,157,100
25,152,952,0.6049237474656162,1,,158,100
26,156,956,0.3114000418917978,1,,157,100
27,160,960,0.7224870887042624,1,,158,100
28,167,967,0.8609581878356122,1,,158,100
29,170,970,0.8779874369796087,1,,159,100
30,179,979,0.606326576497813,1,,161,100
31,183,983,0.43627923247789263,1,,160,100
32,193,993,0.8236141646584433,1,,161,100
33,199,999,0.6859795663926754,1,,160,100
34,205,1005,0.5802556873969683,1,,161,100
35,210,1010,0.0017790394227740005,1,,161,100
36,220,1020,0.8202622949769891,1,,162,100
37,225,1025,2.1472032387197673e-09,0,,161,100
38,230,1030,0.4676730383106517,1,,161,100
39,239,1039,0.7956560386762401,1,,161,100
40,243,1043,0.676992200779264,1,,160,100
41,246,1046,0.6896730769513224,1,,160,100
42,253,1053,0.7311651216659292,1,,159,100
43,259,1059,0.5601822486442716,1,,160,100
44,263,1063,0.5043522785915088,1,,158,100
45,270,1070,0.6603105797568218,1,,158,100
46,273,1073,0.17317021322780438,1,,158,100
47,277,1077,0.7018131423760925,1,,158,100
48,284,1084,0.6633934304670062,1,,157,100
49,288,1088,0.613026645321366,1,,159,100
50,297,1097,0.3394167768439366,1,,160,100
51,301,1101,0.5581579764763147,1,,160,100
52,307,1107,0.7344233295411228,1,,159,100
53,315,1115,0.8322512272288757,1,,160,100
54,318,1118,0.8410344944917751,1,,160,100
55,324,1124,0.5254021197658554,1,,160,100
56,328,1128,0.8758708716476794,1,,161,100
57,333,1133,0.9104192197462734,1,,159,100
58,336,1136,0.4643573120220732,1,,159,100
59,343,1143,0.008628037933894647,1,,159,100
60,347,1147,0.4028833541659347,1,,159,100
61,350,1150,0.3206027093211791,1,,159,100
62,359,1159,0.06917629321355445,1,,158,100
63,363,1163,1.1844995197534869e-08,0,,159,100
64,371,1171,0.29560916166271356,1,,159,100
65,377,1177,0.49984509534398713,1,,159,100
66,379,1179,0.5116965241212709,1,,159,100
67,386,1186,0.5259827540670352,1,,159,100
68,394,1194,1.8438025458244737e-07,0,,159,100
69,397,1197,0.112768584391727,1,,158,100
70,401,1201,0.004112666973310762,1,,159,100
