window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6799645856894284,1,,218,100
1,4,804,0.7186164088346724,1,,215,100
2,7,807,0.9296562284591512,1,,215,100
3,11,811,0.9269701842759639,1,,216,100
4,21,821,0.8200009078218526,1,,218,100
5,25,825,0.027038252235208966,1,,217,100
6,33,833,0.7808589712531752,1,,218,100
7,37,837,0.5673423620165226,1,,219,100
8,44,844,0.8883019966456313,1,,221,100
9,48,848,0.7247992995239998,1,,223,100
10,52,852,0.71040729316473,1,,223,100
11,60,860,0.6533646070509679,1,,221,100
12,64,864,0.7617620543334479,1,,219,100
13,68,868,0.11527705355664171,1,,219,100
14,72,872,0.12331556914134226,1,,219,100
15,78,878,0.010966151006172846,1,,219,100
16,82,882,0.26805309335922556,1,,219,100
17,90,890,0.38626661742862084,1,,219,100
18,96,896,0.9856534692926036,1,,219,100
19,100,900,0.003915265979675796,1,,219,100
20,106,906,0.7652217845123587,1,,217,100
21,110,910,0.7756980574392953,1,,217,100
22,119,919,0.776524856194247,1,,218,100
23,123,923,0.9765172388526147,1,,218,100
24,128,928,0.9656302158954466,1,,216,100
25,132,932,0.7869469847533133,1,,217,100
26,137,937,0.9647875055355271,1,,217,100
27,140,940,0.7953245209913539,1,,217,100
28,144,944,0.7751922600291666,1,,217,100
29,150,950,0.9251881355924836,1,,216,100
30,154,954,0.28045585969457687,1,,216,100
31,158,958,0.8452959192845817,1,,216,100
32,165,965,0.007475547468745133,1,,217,100
33,168,968,0.021063379590731176,1,,217,100
34,172,972,0.17553824904407972,1,,218,100
35,178,978,0.8558326178761018,1,,222,100
36,183,983,0.3864754679173671,1,,223,100
37,187,987,0.7331169683012609,1,,223,100
38,192,992,0.32258049195390387,1,,223,100
39,195,995,0.18907966618897387,1,,223,100
40,199,999,0.8687701400109639,1,,222,100
41,208,1008,0.1220852997162507,1,,220,100
42,212,1012,0.663596855601086,1,,218,100
43,216,1016,0.8743085555414505,1,,218,100
44,220,1020,0.6957687399348854,1,,218,100
45,226,1026,0.6736234574938637,1,,218,100
46,230,1030,0.6173705135724379,1,,218,100
47,236,1036,0.7227125711313983,1,,217,100
48,239,1039,0.8668806073438345,1,,216,100
49,246,1046,0.8277602537509348,1,,216,100
50,250,1050,0.6354970387800608,1,,216,100
51,256,1056,0.8710042595808296,1,,216,100
52,260,1060,0.46501246949167746,1,,215,100
53,268,1068,0.3728927674844801,1,,213,100
54,272,1072,0.8368690876177237,1,,212,100
