window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4322950801749562,1,,262,100
1,6,806,0.46312725331028115,1,,262,100
2,12,812,1.1555468526683622e-05,0,,263,100
3,18,818,0.9792827041640108,1,,263,100
4,22,822,0.33399023091354607,1,,265,100
5,28,828,0.5288666991672494,1,,265,100
6,40,840,0.01491457767758751,1,,268,100
7,51,851,6.895535633196422e-06,0,,267,100
8,57,857,0.00016843526508274754,0,,267,100
9,61,861,0.00011246223518833367,0,,267,100
10,64,864,0.9106998095944228,1,,268,100
11,72,872,0.6680477557676344,1,,269,100
12,79,879,0.9696237337969459,1,,269,100
13,90,890,0.7223558449964055,1,,270,100
14,93,893,0.9358134624101926,1,,271,100
15,100,900,0.9683342238855998,1,,271,100
16,103,903,0.909730221848138,1,,272,100
17,110,910,0.0029505850629358596,1,,271,100
18,116,916,9.301756650186109e-07,0,,272,100
19,124,924,0.028492950965728566,1,,271,100
20,127,927,0.006202060455977217,1,,271,100
21,132,932,0.04970758215948073,1,,270,100
22,135,935,1.4025887470331908e-06,0,,270,100
23,141,941,3.129469243955789e-06,0,,271,100
24,149,949,0.0006490554100130078,0,,270,100
25,154,954,0.9563333831313929,1,,270,100
26,162,962,2.3525472726043783e-09,0,,272,100
27,175,975,4.931243215373105e-06,0,,272,100
28,183,983,2.0593008467922978e-09,0,,271,100
29,191,991,0.0010322423418017348,1,,268,100
30,196,996,0.5789251162880515,1,,266,100
31,199,999,0.5085647738748489,1,,266,100
32,207,1007,1.0233274907358735e-07,0,,263,100
33,210,1010,0.10756631959836123,1,,262,100
34,213,1013,2.571929939020193e-12,0,,261,100
35,221,1021,0.3752833093523256,1,,260,100
36,232,1032,2.130385075272407e-05,0,,256,100
37,237,1037,0.24009819474683375,1,,254,100
38,242,1042,0.024034872104943504,1,,252,100
39,248,1048,1.9793351269987707e-09,0,,251,100
40,254,1054,1.9654930153970635e-08,0,,249,100
41,257,1057,0.04282360544639686,1,,248,100
42,271,1071,3.167343891742104e-08,0,,243,100
43,274,1074,0.009973331966847408,1,,242,100
44,284,1084,1.6781365593429845e-07,0,,239,100
45,290,1090,1.1252516939271452e-07,0,,237,100
46,295,1095,0.0765981831892786,1,,236,100
47,301,1101,0.01783212787533963,1,,234,100
48,311,1111,0.047699778513298124,1,,230,100
49,321,1121,1.3522265100263062e-09,0,,229,100
50,326,1126,1.4894306535601842e-10,0,,227,100
51,335,1135,8.30051737067691e-08,0,,223,100
52,345,1145,7.85383271998283e-08,0,,219,100
53,349,1149,0.03625683083639664,1,,218,100
54,359,1159,1.082683472980539e-08,0,,215,100
55,364,1164,7.344017370720439e-09,0,,213,100
56,367,1167,0.029007595600614992,1,,212,100
57,373,1173,0.03747304527692813,1,,210,100
58,377,1177,2.69463147903202e-19,0,,209,100
59,385,1185,4.4352625564413163e-10,0,,207,100
60,394,1194,4.5119546129582665e-20,0,,205,100
61,401,1201,7.419921270471103e-05,0,,202,100
62,406,1206,4.460317750158522e-22,0,,201,100
63,409,1209,8.176506566068757e-13,0,,200,100
64,413,1213,2.4819034506499825e-09,0,,200,100
65,422,1222,8.021979152533708e-12,0,,195,100
66,428,1228,8.73431155535159e-18,0,,192,100
67,431,1231,1.1490854375456904e-08,0,,191,100
68,438,1238,2.250653273837449e-20,0,,188,100
69,443,1243,8.898593813687794e-10,0,,187,100
70,450,1250,1.4365077984120512e-23,0,,186,100
71,458,1258,9.778525055680449e-28,0,,184,100
72,467,1267,2.6697231333058688e-17,0,,180,100
73,474,1274,4.1675133057437284e-05,0,,179,100
74,481,1281,1.49323571286204e-16,0,,176,100
75,487,1287,9.72403748920695e-23,0,,174,100
76,493,1293,1.234544856474286e-24,0,,172,100
77,500,1300,4.808816446864011e-21,0,,168,100
78,512,1312,2.33833202364787e-22,0,,164,100
79,517,1317,3.6446473121630365e-20,0,,162,100
80,527,1327,1.8439476847574767e-31,0,,158,100
81,532,1332,9.182817232303581e-32,0,,156,100
82,540,1340,4.53769263882651e-19,0,,153,100
83,544,1344,2.5549355091167633e-36,0,,152,100
84,550,1350,2.21903689934165e-22,0,,148,100
85,558,1358,3.148110839751354e-12,0,,145,100
86,567,1367,1.898567000197272e-23,0,,142,100
87,579,1379,6.012423420242255e-12,0,,139,100
88,586,1386,1.5979128642699922e-17,0,,136,100
89,592,1392,4.179062857045732e-12,0,,135,100
90,599,1399,1.2098430711301495e-40,0,,134,100
91,606,1406,2.4218624470948372e-34,0,,132,100
92,615,1415,8.287094418755671e-20,0,,128,100
93,618,1418,2.6221969857330987e-14,0,,127,100
94,625,1425,4.64773821176754e-17,0,,124,100
95,634,1434,6.073109309774717e-11,0,,121,100
96,638,1438,8.433847839121622e-18,0,,120,100
97,646,1446,3.646226709441241e-11,0,,117,100
98,654,1454,4.346354577413698e-20,0,,114,100
99,658,1458,4.344519433940885e-13,0,,113,100
100,667,1467,2.618997158200045e-56,0,,110,100
101,678,1478,1.9264785121613244e-09,0,,105,100
102,682,1482,2.968860852851602e-09,0,,105,100
103,686,1486,6.512753644315545e-08,0,,103,100
