window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.6542836931238077e-32,0,,186,100
1,6,806,5.774194709611847e-22,0,,183,100
2,10,810,3.3205403085423866e-23,0,,185,100
3,21,821,4.3661668468608475e-21,0,,186,100
4,25,825,9.755436463639589e-21,0,,187,100
5,30,830,1.640294126796356e-24,0,,186,100
6,44,844,1.10035730699245e-35,0,,182,100
7,48,848,2.745633703086019e-37,0,,184,100
8,65,865,5.707092312445459e-39,0,,181,100
9,68,868,5.96988085155688e-28,0,,179,100
10,88,888,9.915768537313085e-20,0,,183,100
11,98,898,2.311249048089674e-24,0,,182,100
12,104,904,1.993586991882435e-25,0,,183,100
13,109,909,5.016037174145828e-30,0,,183,100
14,113,913,7.745245854583304e-34,0,,181,100
15,119,919,2.567244482327645e-41,0,,181,100
16,123,923,3.7862197855227564e-27,0,,181,100
17,134,934,2.3709641059630612e-32,0,,183,100
18,138,938,1.0444347070696806e-45,0,,182,100
19,143,943,1.2110444282218382e-54,0,,181,100
20,163,963,2.3593129606811164e-23,0,,178,100
21,167,967,2.7710271143186115e-19,0,,179,100
22,180,980,3.0984732603458623e-22,0,,180,100
23,183,983,1.6726650914902372e-19,0,,182,100
24,191,991,2.445130339583185e-28,0,,183,100
25,194,994,9.35890078522443e-24,0,,184,100
26,203,1003,4.565971676684436e-53,0,,183,100
27,205,1005,3.0607291486491686e-48,0,,182,100
28,213,1013,1.6605098567431027e-43,0,,182,100
29,215,1015,9.54084139038934e-47,0,,181,100
30,218,1018,4.5830467684269257e-38,0,,181,100
31,223,1023,1.0689371123425061e-17,0,,180,100
32,240,1040,1.1338767346838234e-05,0,,179,100
33,251,1051,2.7906487630526713e-22,0,,177,100
34,257,1057,1.1825311883943137e-08,0,,175,100
35,262,1062,3.260085752761701e-10,0,,176,100
36,266,1066,2.6706566694273654e-13,0,,176,100
37,276,1076,2.8394271693383643e-06,0,,176,100
38,282,1082,0.00026986966871210544,0,,177,100
39,285,1085,1.690768618519772e-20,0,,176,100
40,292,1092,0.1049134834360694,1,,176,100
41,303,1103,6.690163756713999e-28,0,,177,100
42,312,1112,3.1426384717104685e-38,0,,175,100
43,316,1116,7.360427215127477e-42,0,,176,100
44,326,1126,6.98976675814221e-60,0,,176,100
45,332,1132,3.0879902071589564e-39,0,,176,100
46,337,1137,9.692274911227882e-33,0,,176,100
47,340,1140,4.646929493714589e-39,0,,177,100
48,349,1149,3.104924839023867e-15,0,,177,100
49,353,1153,7.361803400893141e-46,0,,176,100
50,369,1169,1.2832580679977864e-42,0,,175,100
51,376,1176,7.432353657523702e-32,0,,175,100
52,384,1184,1.0946686520974968e-72,0,,176,100
53,390,1190,1.406764679768027e-75,0,,176,100
54,395,1195,8.001355637596995e-74,0,,176,100
55,399,1199,5.63914361139146e-35,0,,175,100
56,405,1205,6.335351936594486e-62,0,,176,100
57,408,1208,1.3023722536273186e-39,0,,175,100
58,412,1212,7.681910167186898e-22,0,,175,100
59,419,1219,2.78129662762063e-26,0,,175,100
60,426,1226,3.5301175641712733e-25,0,,175,100
61,430,1230,2.378768616792684e-22,0,,174,100
62,440,1240,2.197895346570485e-56,0,,173,100
63,446,1246,4.868949218592238e-147,0,,173,100
64,455,1255,4.9565925838691896e-136,0,,172,100
65,460,1260,7.018187943293577e-198,0,,173,100
66,469,1269,6.491033421871061e-207,0,,172,100
67,473,1273,2.9069399901290773e-195,0,,172,100
68,484,1284,4.4005891361465406e-173,0,,173,100
69,488,1288,5.3913019171179266e-89,0,,172,100
70,491,1291,6.267151539240053e-96,0,,172,100
71,495,1295,1.4836652448842828e-97,0,,171,100
72,501,1301,1.9362529771651165e-73,0,,171,100
73,514,1314,3.415521017688106e-64,0,,172,100
74,522,1322,4.219913961233733e-38,0,,172,100
75,527,1327,1.8908904022348192e-34,0,,172,100
76,532,1332,4.199897850797382e-41,0,,171,100
77,540,1340,1.4410580288164178e-19,0,,171,100
78,544,1344,7.428558054063743e-16,0,,170,100
79,548,1348,4.443541738060432e-13,0,,172,100
80,557,1357,1.0913368138789998e-11,0,,171,100
