window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.685067182505747e-20,0,,180,100
1,10,810,1.4987451425600093e-05,0,,181,100
2,12,812,2.8197354329342937e-36,0,,179,100
3,21,821,7.811089564648579e-48,0,,180,100
4,27,827,3.470550863191083e-39,0,,179,100
5,32,832,2.710325123282755e-40,0,,179,100
6,35,835,6.268187777168133e-34,0,,180,100
7,39,839,1.5732989453892934e-41,0,,180,100
8,50,850,1.4732272093798838e-29,0,,181,100
9,53,853,4.473528900511465e-56,0,,182,100
10,67,867,3.620059231222524e-51,0,,181,100
11,70,870,1.927477702424463e-46,0,,183,100
12,80,880,1.3616003549797959e-06,0,,182,100
13,83,883,7.244136079863828e-08,0,,182,100
14,95,895,3.971114131756056e-09,0,,181,100
15,99,899,2.679784303523312e-29,0,,180,100
16,104,904,1.86041112304294e-07,0,,181,100
17,113,913,1.4698102009783813e-12,0,,183,100
18,122,922,5.771227485714602e-11,0,,181,100
19,125,925,4.9647612380574454e-11,0,,181,100
20,135,935,1.2578319122174224e-13,0,,180,100
21,139,939,1.4961488703570352e-29,0,,181,100
22,147,947,3.584967135416407e-17,0,,180,100
23,150,950,3.026780299606199e-19,0,,180,100
24,158,958,5.973834654120864e-24,0,,181,100
25,161,961,5.920939613023298e-21,0,,179,100
26,164,964,9.124422815293404e-28,0,,181,100
27,168,968,2.1370467764814826e-22,0,,181,100
28,175,975,4.015487684650923e-15,0,,181,100
29,178,978,1.4997001648211578e-20,0,,182,100
30,182,982,8.915971932057126e-21,0,,181,100
31,188,988,3.9044568793358227e-26,0,,181,100
32,191,991,9.84040017293454e-26,0,,181,100
33,195,995,3.366630540570133e-14,0,,181,100
34,202,1002,4.463275249510179e-21,0,,182,100
35,212,1012,1.2653463685959915e-22,0,,181,100
36,215,1015,1.0960337147703174e-19,0,,182,100
37,225,1025,4.104381046657725e-21,0,,182,100
38,229,1029,2.899552347759618e-20,0,,182,100
39,232,1032,4.2006827486856575e-20,0,,182,100
40,241,1041,1.7584596018496213e-32,0,,182,100
41,245,1045,1.994523268975309e-39,0,,180,100
42,256,1056,2.2105576357985865e-33,0,,183,100
43,260,1060,4.501976256546672e-42,0,,182,100
44,262,1062,1.669466840660803e-39,0,,182,100
45,270,1070,5.6045948028219e-32,0,,183,100
46,273,1073,1.5001970652554094e-27,0,,184,100
47,287,1087,2.0830308615350436e-33,0,,181,100
