window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.90576311501557e-05,0,,165,100
1,5,805,9.995271069048976e-07,0,,164,100
2,15,815,1.2391111316273507e-08,0,,164,100
3,18,818,7.258880630561832e-09,0,,163,100
4,22,822,1.6583677729232467e-08,0,,162,100
5,29,829,5.581010184916125e-08,0,,161,100
6,32,832,3.181299254286424e-08,0,,161,100
7,36,836,1.7880032954165213e-10,0,,161,100
8,43,843,1.8242929906628608e-25,0,,162,100
9,51,851,4.40427496522264e-20,0,,160,100
10,54,854,1.4298445064945013e-22,0,,160,100
11,60,860,7.049303806611235e-19,0,,160,100
12,63,863,6.4785503408000035e-19,0,,160,100
13,68,868,8.309418780098697e-20,0,,161,100
14,70,870,2.219802731462595e-19,0,,160,100
15,75,875,2.6164088414707504e-19,0,,160,100
16,83,883,1.3735363062960129e-21,0,,161,100
17,90,890,7.4561453696085e-30,0,,160,100
18,100,900,8.713669779093047e-24,0,,162,100
19,109,909,8.345887852673291e-23,0,,162,100
20,116,916,4.39156435984112e-27,0,,163,100
21,125,925,1.0898973725596017e-23,0,,164,100
22,138,938,1.481011165241057e-35,0,,160,100
23,146,946,4.511140520690969e-33,0,,162,100
24,150,950,2.991102453664184e-36,0,,162,100
25,154,954,1.191589133226155e-40,0,,162,100
26,161,961,4.9232411084396705e-39,0,,164,100
27,170,970,1.9380509193971764e-52,0,,164,100
28,178,978,7.286361218856093e-47,0,,164,100
29,182,982,6.281108566892564e-48,0,,165,100
30,190,990,8.475253950935989e-44,0,,167,100
31,199,999,9.355364192055947e-47,0,,166,100
32,203,1003,3.934120538422642e-45,0,,165,100
33,210,1010,4.4754191366023087e-44,0,,167,100
34,214,1014,2.5988404089766138e-34,0,,167,100
35,224,1024,6.301857893763828e-33,0,,167,100
36,227,1027,5.483248292274325e-41,0,,167,100
37,235,1035,3.531592655522943e-27,0,,170,100
38,238,1038,3.137328524444981e-20,0,,171,100
39,248,1048,1.364692527177117e-41,0,,169,100
40,252,1052,1.0113542143388316e-30,0,,169,100
41,256,1056,1.8079717532722102e-25,0,,169,100
42,267,1067,2.1243420209955763e-30,0,,168,100
43,270,1070,5.726115287687487e-34,0,,167,100
44,277,1077,5.30152997366866e-38,0,,167,100
45,281,1081,3.333413517704291e-36,0,,167,100
46,291,1091,7.715969668676986e-36,0,,169,100
