window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.00020290395348465545,0,,164,100
1,3,803,0.0006686828118763904,0,,163,100
2,13,813,0.6058680494783804,1,,163,100
3,18,818,0.8343524374767635,1,,162,100
4,21,821,0.8238706085580814,1,,160,100
5,27,827,0.5394721312407599,1,,155,100
6,31,831,0.733232750609843,1,,157,100
7,41,841,0.012695700334038024,1,,156,100
8,53,853,0.3912303359101605,1,,158,100
9,56,856,0.577853319484688,1,,156,100
10,60,860,0.4295609293401681,1,,157,100
11,69,869,0.6227301307171765,1,,159,100
12,76,876,0.3114424827330522,1,,158,100
13,83,883,0.7661891105438632,1,,157,100
14,86,886,0.35365571576486143,1,,156,100
15,95,895,0.921227942672952,1,,157,100
16,100,900,0.2141009548913413,1,,155,100
17,103,903,0.03480590361563482,1,,155,100
18,107,907,0.0005374865032300695,0,,155,100
19,114,914,4.15722477170374e-09,0,,155,100
20,117,917,2.1569949915333218e-08,0,,155,100
21,123,923,1.9413546540668307e-07,0,,156,100
22,131,931,1.3142840190319497e-07,0,,156,100
23,134,934,1.0051359773956477e-11,0,,157,100
24,142,942,1.7231485808393564e-06,0,,157,100
25,152,952,2.5092296809768366e-05,0,,158,100
26,156,956,2.1982038606041056e-07,0,,157,100
27,160,960,2.2567865470032977e-06,0,,158,100
28,167,967,1.491930694530771e-05,0,,158,100
29,170,970,3.6361299422904647e-06,0,,159,100
30,179,979,0.05427731199449232,1,,161,100
31,183,983,0.01874214131725006,1,,160,100
32,193,993,0.02638946430066391,1,,161,100
33,199,999,1.255629351860547e-07,0,,160,100
34,205,1005,0.022097165227128592,1,,161,100
35,210,1010,0.11020519449712511,1,,161,100
36,220,1020,3.757446419138449e-05,0,,162,100
37,225,1025,0.0002031909076995662,0,,161,100
38,230,1030,0.01063457787389002,1,,161,100
39,239,1039,0.000863598372896325,0,,161,100
40,243,1043,3.313663183666981e-05,0,,160,100
41,246,1046,4.409326247148389e-05,0,,160,100
42,253,1053,7.987262758704558e-06,0,,159,100
43,259,1059,0.001634936593894099,1,,160,100
44,263,1063,9.343767271246911e-05,0,,158,100
45,270,1070,0.008224635855344156,1,,158,100
46,273,1073,0.1208119770672227,1,,158,100
47,277,1077,0.01858670998601109,1,,158,100
48,284,1084,0.07595597482997166,1,,157,100
49,288,1088,0.029147094777670895,1,,159,100
50,297,1097,0.018812213817497488,1,,160,100
51,301,1101,0.011167190150134055,1,,160,100
52,307,1107,0.01192716756096809,1,,159,100
53,315,1115,0.0034105935510877444,1,,160,100
54,318,1118,0.16990811018752167,1,,160,100
55,324,1124,0.003526263422175835,1,,160,100
56,328,1128,0.0003314967156087461,0,,161,100
57,333,1133,0.04164600039213778,1,,159,100
58,336,1136,0.18433856172491647,1,,159,100
59,343,1143,0.9637362100456751,1,,159,100
60,347,1147,0.8977714050146851,1,,159,100
61,350,1150,0.007929436932246294,1,,159,100
62,359,1159,0.0036564379262854396,1,,158,100
63,363,1163,0.10779181663501496,1,,159,100
64,371,1171,0.11460976195204461,1,,159,100
65,377,1177,0.11229581450832658,1,,159,100
66,379,1179,0.08610171472814306,1,,159,100
67,386,1186,0.11537326919152202,1,,159,100
68,394,1194,0.26912828462250343,1,,159,100
69,397,1197,0.09668327293956065,1,,158,100
70,401,1201,0.10661660487152741,1,,159,100
71,410,1210,0.09308534638866231,1,,157,100
72,413,1213,0.08751470431797725,1,,158,100
73,421,1221,0.13744102522921292,1,,158,100
74,430,1230,0.7161820409924546,1,,157,100
75,435,1235,0.1055686664033507,1,,157,100
76,440,1240,0.12302787409663989,1,,157,100
77,447,1247,0.12891399523766578,1,,157,100
78,455,1255,0.11440207759183743,1,,158,100
79,459,1259,0.09183380689361846,1,,159,100
80,466,1266,0.14282705496664155,1,,158,100
81,472,1272,0.10704608778650157,1,,158,100
82,478,1278,0.023600043050438342,1,,157,100
83,483,1283,3.202007195468304e-05,0,,157,100
84,486,1286,6.900098490267454e-05,0,,157,100
85,490,1290,0.000563249798697313,0,,156,100
86,502,1302,0.08731593792621382,1,,154,100
87,505,1305,0.2343043533606457,1,,153,100
88,510,1310,0.18059765472101758,1,,153,100
89,516,1316,0.5717624529503149,1,,154,100
90,523,1323,0.10139945047458186,1,,155,100
91,526,1326,0.29171203060279777,1,,155,100
92,529,1329,0.09194089172368852,1,,155,100
93,543,1343,0.62200244314058,1,,153,100
94,548,1348,0.2292552630488555,1,,152,100
95,552,1352,0.10479993448309938,1,,152,100
96,556,1356,0.00545926473812228,1,,152,100
97,560,1360,0.022652388210842818,1,,151,100
98,568,1368,0.23685624508844075,1,,153,100
99,575,1375,0.0002028917305879352,0,,152,100
100,580,1380,0.0010470468830879463,1,,152,100
101,585,1385,1.9801083703078393e-06,0,,152,100
102,589,1389,1.2317764543328737e-08,0,,153,100
103,597,1397,3.126726691388373e-05,0,,153,100
104,600,1400,0.03370907496430426,1,,153,100
105,606,1406,0.8922880820851704,1,,153,100
106,614,1414,1.0075717579632831e-10,0,,152,100
107,619,1419,3.9650130027454734e-05,0,,153,100
108,627,1427,0.6834266501550276,1,,154,100
109,639,1439,0.8263293548699805,1,,153,100
110,647,1447,0.06643080476269016,1,,152,100
111,652,1452,2.1865644708399204e-05,0,,152,100
112,658,1458,0.02584835744700493,1,,153,100
113,664,1464,0.030888594680350497,1,,154,100
114,668,1468,5.080565597212417e-07,0,,152,100
115,674,1474,1.1388908878795928e-06,0,,152,100
116,682,1482,6.083394407380147e-06,0,,153,100
117,686,1486,6.635533176823682e-07,0,,153,100
118,690,1490,3.7660375268615646e-08,0,,154,100
119,698,1498,6.69006546498115e-12,0,,154,100
120,701,1501,9.208569677733288e-06,0,,154,100
121,718,1518,0.8788990769713889,1,,156,100
122,721,1521,0.8705317639422356,1,,155,100
123,728,1528,0.8821460831263599,1,,155,100
124,734,1534,0.9263221792996253,1,,155,100
125,742,1542,0.9024084314732683,1,,156,100
126,754,1554,0.9189765202330197,1,,155,100
127,758,1558,0.9263687728158889,1,,156,100
128,769,1569,0.8855222690339432,1,,157,100
129,775,1575,0.8222891918650954,1,,157,100
130,780,1580,0.9211580431675662,1,,156,100
131,789,1589,0.8695410471295337,1,,156,100
132,795,1595,0.5929206169109575,1,,156,100
133,800,1600,0.7025827336119469,1,,155,100
134,807,1607,0.3390880308573548,1,,156,100
135,812,1612,0.9681324319529627,1,,158,100
136,816,1616,0.001989525673640962,1,,159,100
137,824,1624,1.5873114964023142e-08,0,,159,100
138,827,1627,2.816440769566214e-19,0,,158,100
139,831,1631,6.556369208306591e-11,0,,161,100
140,841,1641,1.21865846016191e-17,0,,160,100
141,848,1648,5.588894418568036e-17,0,,160,100
142,857,1657,0.006643542129786705,1,,160,100
143,861,1661,1.0077152506361567e-17,0,,160,100
144,866,1666,2.9570299344555006e-05,0,,160,100
145,869,1669,4.140250243671457e-17,0,,160,100
146,880,1680,0.016106174316176024,1,,162,100
147,888,1688,0.015662800944234397,1,,164,100
148,900,1700,0.0040123722097970705,1,,163,100
149,903,1703,0.0024400438528141663,1,,162,100
150,909,1709,0.001349067055960074,1,,163,100
151,915,1715,5.379130790085991e-07,0,,162,100
152,918,1718,8.794530762607694e-05,0,,161,100
153,921,1721,0.023913181792063434,1,,160,100
154,925,1725,1.165929879833583e-06,0,,160,100
155,931,1731,0.000559141073845503,0,,160,100
156,934,1734,3.7081991590860106e-07,0,,160,100
157,938,1738,1.0880751352050644e-10,0,,160,100
158,945,1745,9.301780782519112e-08,0,,160,100
159,948,1748,8.453991846799111e-07,0,,160,100
160,954,1754,1.891649136262851e-06,0,,160,100
161,957,1757,8.881650484708077e-09,0,,160,100
162,960,1760,0.00027493069007902533,0,,159,100
163,968,1768,9.203889284690338e-08,0,,158,100
164,972,1772,1.631725840106102e-16,0,,157,100
165,976,1776,4.562662724694432e-22,0,,157,100
166,979,1779,5.032033947606996e-25,0,,158,100
167,989,1789,6.312256225343158e-12,0,,159,100
168,993,1793,3.505110416001075e-21,0,,159,100
169,1005,1805,1.503438039807942e-41,0,,161,100
170,1012,1812,1.5290672509322472e-34,0,,160,100
171,1016,1816,1.6213070675596734e-12,0,,160,100
172,1027,1827,7.678997811803316e-11,0,,160,100
173,1030,1830,2.943542659446649e-11,0,,159,100
174,1035,1835,6.110613867504761e-16,0,,160,100
175,1046,1846,0.4926660141829545,1,,161,100
176,1050,1850,6.188229175262648e-15,0,,162,100
177,1061,1861,1.8238854258057707e-09,0,,162,100
178,1065,1865,9.102290946914964e-12,0,,161,100
179,1072,1872,8.432240756317781e-10,0,,161,100
180,1075,1875,0.022900469509879832,1,,161,100
181,1080,1880,0.018976896867542697,1,,160,100
182,1086,1886,0.22289768734685353,1,,160,100
183,1089,1889,0.031919545900188126,1,,159,100
184,1092,1892,0.1618975497037192,1,,159,100
185,1097,1897,0.5449022975984308,1,,158,100
186,1103,1903,0.12344407239200308,1,,160,100
187,1108,1908,0.00224799383414186,1,,159,100
188,1113,1913,0.060823628808566545,1,,159,100
189,1120,1920,0.5790830853129679,1,,159,100
190,1123,1923,0.1762267870132721,1,,159,100
191,1130,1930,0.0032327780942006355,1,,159,100
192,1136,1936,0.022612922259958364,1,,159,100
193,1143,1943,0.1303297787019275,1,,160,100
194,1147,1947,0.011480367687474628,1,,160,100
195,1158,1958,0.12012581259036506,1,,160,100
196,1168,1968,4.502304163141086e-11,0,,158,100
197,1176,1976,1.0561212630461543e-06,0,,158,100
198,1181,1981,3.2855527806197925e-07,0,,160,100
199,1189,1989,5.4436498049699195e-18,0,,160,100
200,1194,1994,8.130516265542804e-08,0,,163,100
201,1206,2006,2.6062557014466155e-14,0,,161,100
202,1211,2011,4.236375467628128e-26,0,,163,100
203,1223,2023,1.0793667670735913e-18,0,,162,100
204,1230,2030,1.4628400583028354e-12,0,,162,100
205,1234,2034,4.450976459276145e-10,0,,161,100
206,1237,2037,8.370408822938334e-29,0,,161,100
