window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.183367299259118e-34,0,,185,100
1,5,805,2.733872751221235e-32,0,,181,100
2,9,809,1.5807753297734293e-34,0,,181,100
3,14,814,2.654921251631177e-57,0,,179,100
4,17,817,1.3417120553125214e-66,0,,178,100
5,20,820,6.978566379080861e-62,0,,178,100
6,30,830,8.042830545831552e-47,0,,175,100
7,32,832,2.831841286125079e-51,0,,174,100
8,38,838,2.734022168081836e-45,0,,173,100
9,42,842,2.745410235912843e-32,0,,172,100
10,49,849,3.8432822339719986e-34,0,,168,100
11,54,854,1.0237769720773134e-29,0,,164,100
12,57,857,5.21505665478665e-19,0,,163,100
13,64,864,1.8383197908741732e-32,0,,161,100
14,67,867,6.100236846509001e-41,0,,160,100
15,70,870,2.3475905398988048e-27,0,,159,100
16,74,874,1.2876273966516962e-28,0,,158,100
17,79,879,3.0575564889693064e-24,0,,157,100
18,82,882,5.305529201806932e-25,0,,156,100
19,88,888,1.0539041211537126e-22,0,,156,100
20,98,898,1.1670378708959004e-26,0,,153,100
21,101,901,1.4699439936592148e-31,0,,152,100
22,109,909,3.798930578312036e-46,0,,150,100
23,112,912,5.569835612573887e-42,0,,150,100
24,119,919,2.748633373767572e-58,0,,147,100
25,123,923,4.07982578626517e-57,0,,146,100
26,129,929,1.0796271257710526e-21,0,,145,100
27,138,938,1.7395152827244858e-20,0,,141,100
28,143,943,1.2638976563567564e-42,0,,137,100
29,146,946,1.2066125688835142e-18,0,,136,100
30,156,956,1.1531132557122176e-18,0,,134,100
31,159,959,5.740828592449903e-16,0,,134,100
32,165,965,3.7061291662961257e-25,0,,131,100
33,168,968,2.2625190090482695e-20,0,,130,100
34,176,976,7.432318060155739e-38,0,,128,100
35,179,979,3.7727912495256285e-50,0,,127,100
36,182,982,1.0776565343217019e-50,0,,126,100
37,186,986,6.760367033037896e-57,0,,125,100
38,192,992,9.444544070151231e-58,0,,124,100
39,195,995,2.1865228723851722e-54,0,,125,100
40,209,1009,7.555217647587714e-89,0,,121,100
41,213,1013,2.7704928297656107e-74,0,,120,100
42,217,1017,1.8138264835774323e-88,0,,119,100
43,224,1024,9.298117398928122e-95,0,,118,100
44,231,1031,1.5468154632313555e-50,0,,113,100
45,236,1036,3.1564631606280178e-31,0,,109,100
46,241,1041,1.6192831297081263e-33,0,,106,100
47,248,1048,3.413396936887499e-31,0,,105,100
48,250,1050,1.0554553308802306e-36,0,,104,100
49,255,1055,1.3329575047304047e-37,0,,103,100
50,263,1063,1.3218313862249446e-32,0,,102,100
51,267,1067,8.385275122862514e-34,0,,102,100
52,274,1074,2.988688276331962e-27,0,,100,100
