window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.4536104666559753e-06,0,,162,100
1,6,806,0.002661142924633159,1,,160,100
2,8,808,0.000178371517949685,0,,159,100
3,16,816,0.00012335481932756494,0,,159,100
4,21,821,0.0007348719236194188,0,,157,100
5,24,824,3.619043418491965e-08,0,,156,100
6,26,826,4.519515949589341e-11,0,,156,100
7,35,835,6.564324870174447e-08,0,,153,100
8,40,840,2.771320519155158e-14,0,,150,100
9,45,845,2.6661499874641733e-09,0,,148,100
10,49,849,3.804556019958931e-13,0,,147,100
11,54,854,1.0960789143874162e-12,0,,147,100
12,61,861,3.0566217935288984e-21,0,,145,100
13,65,865,1.2594330545912552e-24,0,,144,100
14,70,870,4.257417639087321e-52,0,,144,100
15,81,881,9.596719033757015e-32,0,,140,100
16,87,887,1.386644940953833e-21,0,,139,100
17,93,893,1.0524915023372532e-31,0,,138,100
18,96,896,4.8867249418541175e-52,0,,137,100
19,102,902,5.23139146344893e-37,0,,136,100
20,106,906,2.882447724477259e-45,0,,136,100
21,114,914,7.238252548204961e-22,0,,134,100
22,119,919,3.5526329557852344e-35,0,,133,100
23,122,922,9.483907867894175e-24,0,,132,100
24,127,927,2.928327609814617e-51,0,,129,100
25,131,931,2.057373200464882e-92,0,,129,100
26,140,940,6.985351877347885e-95,0,,126,100
27,146,946,6.837732295071801e-95,0,,126,100
28,151,951,8.496431363501804e-82,0,,124,100
29,155,955,3.257942371947801e-79,0,,123,100
30,159,959,1.0161541498589903e-43,0,,122,100
31,165,965,2.58294483885258e-42,0,,121,100
32,167,967,1.4634493454844847e-25,0,,120,100
33,173,973,5.5608893139399715e-45,0,,117,100
34,182,982,3.3395051052517193e-40,0,,115,100
35,186,986,1.0480721442903085e-42,0,,114,100
36,190,990,1.3332183821929803e-31,0,,113,100
37,194,994,1.974474101543904e-36,0,,112,100
38,198,998,1.1174642551755671e-38,0,,111,100
39,201,1001,5.463805050406698e-25,0,,111,100
40,208,1008,1.3974667247572172e-40,0,,110,100
41,216,1016,4.059060304379134e-24,0,,106,100
42,220,1020,1.5585649031124248e-61,0,,105,100
43,226,1026,7.205270049114798e-17,0,,104,100
44,229,1029,5.113911308102406e-22,0,,103,100
45,233,1033,8.469256098765315e-17,0,,102,100
46,238,1038,4.9031658952393755e-17,0,,102,100
47,249,1049,1.5764537729227019e-30,0,,100,100
