window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9957706659528933,1,,262,100
1,6,806,0.9952370258570629,1,,262,100
2,12,812,0.9926642315565661,1,,263,100
3,18,818,0.9951904626151432,1,,263,100
4,22,822,0.9916943425049134,1,,265,100
5,28,828,0.9956478860807756,1,,265,100
6,40,840,0.9960031231904026,1,,268,100
7,51,851,0.9983404037612236,1,,267,100
8,57,857,2.125383127654715e-13,0,,267,100
9,61,861,6.114423295297763e-23,0,,267,100
10,64,864,4.145784944354501e-15,0,,268,100
11,72,872,5.011512246428002e-13,0,,269,100
12,79,879,3.079224352621295e-09,0,,269,100
13,90,890,0.5759791380622947,1,,270,100
14,93,893,0.6488132728658043,1,,271,100
15,100,900,0.9154441431688092,1,,271,100
16,103,903,0.7475831032531559,1,,272,100
17,110,910,0.2869417161710913,1,,271,100
18,116,916,0.6367605943270465,1,,272,100
19,124,924,0.002359509172535156,1,,271,100
20,127,927,0.0027854649211806696,1,,271,100
21,132,932,0.002355396521791656,1,,270,100
22,135,935,5.363381819566092e-05,0,,270,100
23,141,941,0.0011556742356074359,1,,271,100
24,149,949,0.0001715119013480576,0,,270,100
25,154,954,0.015332760193821115,1,,270,100
26,162,962,2.6663671765297806e-05,0,,272,100
27,175,975,1.2760020558971337e-12,0,,272,100
28,183,983,6.02905733722613e-20,0,,271,100
29,191,991,1.0606420933373885e-120,0,,268,100
30,196,996,7.342311327613338e-93,0,,266,100
31,199,999,3.821718917285754e-60,0,,266,100
32,207,1007,1.874774571391589e-95,0,,263,100
33,210,1010,8.060861711345538e-103,0,,262,100
34,213,1013,2.0637886466562547e-80,0,,261,100
35,221,1021,1.4205738094701159e-56,0,,260,100
36,232,1032,1.2785303282085744e-18,0,,256,100
37,237,1037,1.4921961558718417e-30,0,,254,100
38,242,1042,1.9114090645874675e-36,0,,252,100
39,248,1048,3.385171174938699e-44,0,,251,100
40,254,1054,9.863147590373433e-48,0,,249,100
41,257,1057,6.84637139453768e-62,0,,248,100
42,271,1071,2.2788875385376043e-95,0,,243,100
43,274,1074,2.13728663956969e-91,0,,242,100
44,284,1084,1.8268087696210331e-84,0,,239,100
45,290,1090,7.06687750802675e-94,0,,237,100
46,295,1095,1.1044611888390202e-79,0,,236,100
47,301,1101,2.827579762813596e-81,0,,234,100
48,311,1111,6.534991144690803e-94,0,,230,100
49,321,1121,7.791421051873049e-85,0,,229,100
50,326,1126,9.870326309815194e-94,0,,227,100
51,335,1135,5.631697938349373e-240,0,,223,100
52,345,1145,4.57742417911428e-252,0,,219,100
53,349,1149,4.3356443901340014e-52,0,,218,100
54,359,1159,6.405741568044996e-56,0,,215,100
55,364,1164,4.097388032422932e-74,0,,213,100
56,367,1167,3.106797491883596e-68,0,,212,100
57,373,1173,3.7722150627797893e-67,0,,210,100
58,377,1177,1.4604162597643818e-63,0,,209,100
59,385,1185,4.807139076521181e-58,0,,207,100
60,394,1194,1.7804849561936363e-57,0,,205,100
61,401,1201,1.8883624286887706e-46,0,,202,100
62,406,1206,2.000892194803721e-38,0,,201,100
63,409,1209,1.326334540184187e-33,0,,200,100
64,413,1213,1.0499133251363075e-33,0,,200,100
65,422,1222,3.865165730735029e-29,0,,195,100
66,428,1228,8.137716508093099e-26,0,,192,100
67,431,1231,1.3332380868041113e-27,0,,191,100
68,438,1238,4.348745255633121e-27,0,,188,100
69,443,1243,5.741751246435052e-26,0,,187,100
70,450,1250,1.0554849868058138e-24,0,,186,100
71,458,1258,2.01121790226121e-18,0,,184,100
72,467,1267,1.1070914009696766e-169,0,,180,100
73,474,1274,9.151458382652685e-69,0,,179,100
74,481,1281,8.316029486548245e-66,0,,176,100
75,487,1287,6.783102227181998e-64,0,,174,100
76,493,1293,8.141410583612592e-71,0,,172,100
77,500,1300,1.3656189577243086e-77,0,,168,100
78,512,1312,1.8015885179218243e-59,0,,164,100
79,517,1317,1.977947768995981e-62,0,,162,100
80,527,1327,1.5679357077402152e-59,0,,158,100
81,532,1332,2.834388755042985e-35,0,,156,100
82,540,1340,7.668771778222533e-57,0,,153,100
83,544,1344,1.8011960974258576e-78,0,,152,100
84,550,1350,1.2598713136263668e-58,0,,148,100
85,558,1358,2.7852684031581183e-57,0,,145,100
86,567,1367,2.6636877770036294e-51,0,,142,100
87,579,1379,4.166734773763439e-68,0,,139,100
88,586,1386,9.918312437254163e-64,0,,136,100
89,592,1392,3.468975450206119e-67,0,,135,100
90,599,1399,2.9231328923951524e-73,0,,134,100
91,606,1406,1.3704276871885391e-70,0,,132,100
92,615,1415,7.005384676375756e-97,0,,128,100
93,618,1418,3.141200447622893e-84,0,,127,100
94,625,1425,1.116804872123061e-82,0,,124,100
95,634,1434,1.116743516393697e-137,0,,121,100
96,638,1438,6.43564871452325e-126,0,,120,100
97,646,1446,9.704331652220939e-157,0,,117,100
98,654,1454,1.045365002533406e-145,0,,114,100
99,658,1458,1.1150836173940485e-158,0,,113,100
100,667,1467,9.802893554780511e-144,0,,110,100
101,678,1478,2.117569657072818e-147,0,,105,100
102,682,1482,6.070664141528835e-120,0,,105,100
103,686,1486,3.1592471658914236e-82,0,,103,100
