window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.1688376605316923e-10,0,,177,100
1,5,805,1.1210351396269697e-07,0,,178,100
2,11,811,7.393126201771565e-08,0,,178,100
3,15,815,1.4593656596423711e-09,0,,178,100
4,21,821,1.5404173830715149e-22,0,,177,100
5,27,827,4.4534319859719146e-20,0,,178,100
6,31,831,1.5035114189511563e-21,0,,178,100
7,35,835,2.8632378402399004e-21,0,,178,100
8,43,843,1.5145621887958753e-21,0,,180,100
9,51,851,9.217922057404233e-23,0,,181,100
10,57,857,0.00039229467243740595,0,,180,100
11,60,860,3.575482882674681e-10,0,,179,100
12,65,865,0.0005549976516444033,0,,179,100
13,76,876,0.0010050237822185127,1,,180,100
14,78,878,0.04746562903723527,1,,179,100
15,82,882,0.013385514129393514,1,,180,100
16,90,890,0.01954483550104059,1,,181,100
17,100,900,0.0005315593940112397,0,,182,100
18,103,903,1.7726188625711173e-05,0,,182,100
19,112,912,0.001904365814949555,1,,181,100
20,116,916,0.002755412145370506,1,,183,100
21,126,926,0.005483099759445764,1,,184,100
22,129,929,0.0060159527331491245,1,,182,100
23,133,933,0.00713402803987571,1,,183,100
24,145,945,0.10952639185750256,1,,184,100
25,150,950,3.827627591717874e-05,0,,184,100
26,154,954,0.0031483090819062892,1,,183,100
27,158,958,0.0001845639392507374,0,,183,100
28,162,962,3.661926946193536e-05,0,,183,100
29,170,970,2.0270002212430464e-07,0,,183,100
30,178,978,2.1236516078600648e-07,0,,181,100
31,182,982,5.1783494526500794e-06,0,,180,100
32,185,985,2.314953713867235e-07,0,,180,100
33,189,989,1.0635494168788186e-07,0,,180,100
34,197,997,7.95861504003606e-07,0,,180,100
35,200,1000,2.750862412127087e-08,0,,180,100
36,202,1002,2.8134194737872495e-11,0,,180,100
37,208,1008,1.8116926907818776e-06,0,,181,100
38,214,1014,7.290253027726898e-12,0,,181,100
39,219,1019,5.2636632137217024e-11,0,,180,100
40,227,1027,1.8215158911566957e-13,0,,181,100
41,235,1035,2.8416361807656517e-09,0,,182,100
42,240,1040,6.461237031914134e-13,0,,182,100
43,248,1048,9.70095908949111e-11,0,,182,100
44,251,1051,9.003974953073004e-14,0,,182,100
45,255,1055,1.9661878119940685e-12,0,,182,100
