window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9950474228875626,1,,153,100
1,12,812,0.8598008518341661,1,,152,100
2,15,815,0.05319096066090916,1,,152,100
3,22,822,0.1419948148567771,1,,154,100
4,31,831,0.0834840165686991,1,,152,100
5,36,836,0.027346901174198107,1,,152,100
6,39,839,0.03624716187578222,1,,151,100
7,47,847,2.3593630177750357e-07,0,,151,100
8,50,850,0.0017925333897976072,1,,151,100
9,54,854,0.998876477138745,1,,151,100
10,61,861,0.9973599396677593,1,,153,100
11,71,871,0.9615983298193759,1,,152,100
12,73,873,0.9282212494667644,1,,152,100
13,78,878,0.7744454543856121,1,,151,100
14,81,881,0.9916519537934747,1,,151,100
15,86,886,0.9902175770913848,1,,151,100
16,95,895,0.9988512641024156,1,,152,100
17,99,899,0.9989058650587841,1,,152,100
18,110,910,0.9997881847390802,1,,153,100
19,124,924,0.9997658586503466,1,,155,100
20,130,930,0.9999110427304512,1,,154,100
21,135,935,0.9992693440903377,1,,154,100
22,148,948,0.9951390369157191,1,,155,100
23,151,951,0.9936042882961083,1,,155,100
24,156,956,0.9952041013902387,1,,154,100
25,159,959,0.9957849706556742,1,,153,100
26,163,963,0.9922410158079072,1,,154,100
27,172,972,0.9925724037487598,1,,155,100
28,180,980,0.9907485650104081,1,,155,100
29,193,993,0.9962341717706958,1,,156,100
30,203,1003,4.2690370756362805e-05,0,,157,100
31,211,1011,0.9952194359157988,1,,158,100
32,222,1022,0.9953053178986049,1,,157,100
33,226,1026,0.9986947264896605,1,,157,100
34,233,1033,0.00019994254409272174,0,,156,100
35,236,1036,0.9999084846445103,1,,155,100
36,241,1041,0.9977625967355641,1,,153,100
37,247,1047,0.627823702526606,1,,151,100
38,255,1055,0.9997044154695237,1,,149,100
39,262,1062,0.9870263967518998,1,,147,100
40,271,1071,0.9480221032830981,1,,146,100
41,283,1083,0.9896555363387773,1,,145,100
42,295,1095,0.9993807277745741,1,,141,100
43,302,1102,0.9992101077743606,1,,139,100
44,307,1107,0.9977412078791155,1,,139,100
45,314,1114,0.9985602824910326,1,,137,100
46,317,1117,0.9190830258302453,1,,136,100
47,321,1121,0.9905190385941792,1,,135,100
48,331,1131,0.9875461241603517,1,,133,100
49,335,1135,0.9989272651971158,1,,132,100
50,338,1138,0.9977228876300803,1,,132,100
51,345,1145,0.9987722030253746,1,,130,100
52,353,1153,8.109773781238137e-05,0,,129,100
53,356,1156,0.9985408146676779,1,,129,100
54,361,1161,4.4506582075796834e-05,0,,127,100
55,365,1165,0.99878036469177,1,,126,100
56,374,1174,0.9982871569322715,1,,125,100
57,377,1177,0.998086547100572,1,,126,100
58,387,1187,0.9989666656818958,1,,123,100
59,390,1190,0.9985155229838083,1,,122,100
60,393,1193,0.9983051071292494,1,,121,100
61,397,1197,8.091793826002726e-05,0,,119,100
62,405,1205,0.9984518593920887,1,,118,100
63,408,1208,0.6672620300067067,1,,117,100
64,412,1212,0.9981161537996149,1,,116,100
65,422,1222,0.9979024343186665,1,,115,100
66,435,1235,0.9955381127838598,1,,111,100
67,439,1239,0.9944675075485684,1,,110,100
68,445,1245,0.9867305726378238,1,,109,100
69,455,1255,0.995339596840309,1,,108,100
70,462,1262,0.9999179811113331,1,,107,100
71,466,1266,0.9965151637842422,1,,106,100
72,471,1271,0.9935413838124125,1,,105,100
73,482,1282,0.9989117050152984,1,,104,100
74,489,1289,0.9990385393538105,1,,103,100
75,495,1295,0.9838406044086563,1,,102,100
76,498,1298,0.9662851260388107,1,,101,100
77,507,1307,0.9680531746104502,1,,100,100
